,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.484645611563407,0,0,0,0,0,0,0,0,0,-0.0378050253632196,0.299304895052099,0,0,0,0,0,0,0,0.140509584475606,0.0333851183521936,0,0,0,0.0260235868617672,-0.00610027062742781,0,-0.0242476915008369
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21376195127983,0,0,0,0,0,0,0,0,0.189463527219169,0.0229720749728717,0.0433461958407071,0,0,-0.00129263602599456,0.0386452991207529,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309830224340647,0,0,0,0,0,0,0,0,0.361737171787206,0.32667346428414,0,0,0.00341228669816687,0.018156652597656,1.73472347597681e-18,0
X601628.CH.EQUITY,0,0,0,0.0461424446367428,0,0,0,0,0,0,0,0,0,0,0,0,0.0531562616440053,0,0,0.451859110194423,0,0,0,0.162869821338223,0,0,0,0.0123087489082994,-0.0176293740467778,0.0350315080483736,0
X3328.HK.EQUITY,1.14248487109906,0,0,0,-0.206522075238292,0,0,0,0,0,0.104833777346124,0,0,0,0,0,0.120163549404285,0,0,0.0757528437572122,0,0,0,3.46944695195361e-18,-0.0520247954842405,0,0,0,0.0100210654395186,0.0398580998241666,0
X601328.CH.EQUITY,0.217001374197179,0,0,0,0.105480934475022,0,0,0,0,0,0,0,0,0,0.0454990207309594,0,0,0,0,0.123213963530184,0.104204628059826,0.053324948901165,0,0,0,0.0495769271963898,0,-0.00683452257841264,-0.0032683495877831,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.319542811796841,0,0,0,0,0,0,0.145338603423879,0.040381716623001,0,0,0,0,0.171842907174886,0,0,0,0,0,0,0,-0.00763702467479547,0.0179639469531352,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.19962287472942,0,0,0,0,0,0,0.100009053255485,0,0,0,0.349510110079036,0,-0.122867992221145,0,4.33680868994202e-19,-0.037095027533445,0,0.0418971643564627
X600000.CH.EQUITY,0.120459117271692,0,0,0,0,0,0,0,0,0,0.10836304758693,0,0,0,0.0222757108701019,0,0.116032748495322,0,0,0.199497193589387,0,0,0.109293324575517,0,0,0,0,-0.00335926538118692,0.00891356576722052,0,0.0295157046523361
X601601.CH.EQUITY,0,0,0,0.209073797117754,0,0,0,0,0,0,0.102339902525532,0,0,0.0970916220525582,0,0,0,0,0,0,0.35423620927501,0,0.0718641729157277,0,0,-0.0232726264154026,0,-0.0171171766556229,0.0235873934443662,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.117390612232785,0,0.579651400859779,0,0,0,0,0,0,0,0,0,0,-0.276538372745391,0.549144050623438,0,-0.295891209062739,-0.00474447927658164,0,0,-0.00289893324753627,0,-0.00130811672454498,0.0209285313693715,0.111741743880309,0
X11.HK.EQUITY,-0.0477510896315987,0,0,0,0,0.0130599983184082,0,0,0,0,0.127094381239863,0,0,0,0,0,0.030363761454274,0,0,0,0,0,6.93889390390723e-18,-0.125421603507983,0.433855777131989,0,0,-0.00137443688154094,0.0347834766086348,0.0708498446037403,0.0501810605264449
X16.HK.EQUITY,0,0,0,0.04492229295866,0,0,0.100151246191374,0,0,0,0,0.275154635356024,0,0,0,0,0,0,0.0191825060829557,0,0,0.141037349948752,0,0.114254804696174,0.403428423805226,0.14306276634405,-0.384822090130856,-0.0855977568184267,0.0351363103854604,0.068206765467906,0
X600030.CH.EQUITY,0,0,0.178070297142587,0,0.0952859830765502,0,0,0,0,0,0,0,0,0,0.519137264218902,0,0,0.576377867674224,0,0,0,0,-0.14486838059399,0,0.114961148464249,0.0689168394006567,0,-0.0153341051999358,-0.0251678251186504,0.0611682026082953,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.346740877489781,0,0,0,0.145739243062956,0,0,0,0,0,0.0395469654320367,0,0,0,0.426978510052804,0.137109035492448,0,0,0,0,-0.00687276687366046,0.00842665038977838,0.0857184888454374,-0.0242292472666501
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098312857470323,0,0,0,0,0,0,0,0,0,0,0,0.0319794101317362,-0.0395494530033216,-0.863601669647726,-0.600316505422998
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0531239478567873,0,0,0,0,0,0,0,0.229309215228052,0,0,0,0,0.0692867968125274,0.14650471472938,0,-0.142140882073977,0.000421124443509112,0,-0.306958354158284
VXFXI.INDEX,0,0,0,0,2.52412513211946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814135734016186,0,-0.259051899187147,-0.200867803037528,0,0.177371482561984,-5.77671527477486,0,0.113371677533548,-0.234561385420852,-1.53677430189309
TED.SP,0,0,-2.00639075330298,0,0,0,0,0,0,0,0,0,0,0,0,-1.83960941820175,0,-0.309493674579454,0,0.840180593301325,0,0,-0.180696132161175,0.10491073363157,0.867337748969262,-0.749104166209763,-2.77555756156289e-17,0.0761729230309953,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252088306472372,0,0,0.0674250771151746,0,0,-0.876702645753485,0,0.00905738052823872,0,0,-0.644526598612241
CREDIT.SP,-0.0985521245272068,0,0,0,0,0,0,-0.167052866911707,0,0,0,0,0,0,0,0,0,0,0,0.210240261191709,0,0,0,-0.208014903989926,0,-0.548930968606054,0,-0.0069283086015904,-0.0183709850365001,-0.634708113144142,0
