,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238367769816582,0.284567203826739,0.180488602913276,0,0,0,0.0331040292504229,0,0,0,0,0,-4.33680868994202e-19,-0.00576024018199892,0.0716420093521641,0.244606863208314
X1299.HK.EQUITY,0,0,0.169750928125499,0,0,0,-0.125101006802694,0,0,-0.0644482669803765,0,0,0,0,0,-0.0322446578716761,0,0,0,0.350610778056129,0.21911948222336,0,0,0.268624823915134,0,0.0488587759774886,0,0.0124320952589982,0,0,0
X601628.CH.EQUITY,0,0,0.165649495630428,0,0,0,0.08538031240431,0,0,0,0,0,0,0,0,0,0.076359328258178,0.253453340022585,0,0,0,0,0.657105982417234,0,0,0,0,0,-0.0154428820299973,0.0914329780859468,0
X2628.HK.EQUITY,0,0,0.0576848757752743,0.478217264008422,0,0,0,0,0,0,0,0,0.190980315695453,0,0,0,0,0,0,0,0,0.0421049325698345,0,0.0483954843254356,0,0,0,3.46944695195361e-18,-0.00674857980604079,0,0
X601328.CH.EQUITY,0,0.32274307840467,0,0,0,0,0,0,0,0,0,0,0.00971459414487784,0,0,0,0.230564938357098,0,0,0,0,0,0,0,0,0,0,0.00963910903624272,-0.0173630971170132,0.0091458438635658,0
X3328.HK.EQUITY,0,1.21040205235884,0,0,0,0,0,0,0,0,0.0448440805881534,0,0,0,0,0,0,0,0,-0.145232799936541,0,-0.0150926380039898,0,0,0,-0.0827021059547507,0,0.0125755009352652,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.169096475339286,0,0,0,0,0,0.150073442248219,0,0,0,0,-0.0905998218014702,0.391966494444621,0,0,0.0351099207473808,0,0,0,0,-0.0574832471620332,0,0,-0.0287250412782478,0
X601319.CH.EQUITY,0,0,0.263532942099703,0,0,0,0,-0.272186370217763,0,0,0,0,0.0930037887462335,0,0,0,0,0,-0.16204829792084,0,0,0.15141287982356,0,0,0,0,0,-0.0568438874020142,-0.131813327213221,-0.00776701741451817,-0.349237035512015
X600000.CH.EQUITY,0,0,0,0,0.28390248049997,0,0,0,0,0,0.181819355288367,0,0,0,0,0.104668578978183,0.0613409315142111,-0.210722350942831,0,0,0,0,0.108356287341111,0,0,-0.0993347670300744,0,-0.0128832905987742,-0.03077927662454,-0.0859664914047109,0.0533037252954067
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.390298380133343,-0.000844280353274404,0,0,0,0,-0.00662763956107413,0,0,0,0,-0.00156099897747997,0.418915507953533,0,0,0,0.0214996436823096,0.0892118748983762,0.00886960616401672,-0.0207771303350315
X11.HK.EQUITY,0,0,0,0.181476470562896,0.257115954446968,0,0,0.11194481927563,0,0,0,0,0,0,0,0,0,0.0795163818220134,0,0,0,0.055117784543126,0,0.035026668847339,0,0.0197999936137727,0,0,0.0119333902764094,0,0
X000002.CH.EQUITY,0,0,0.357019150651049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375344350089985,0.0193228690703387,0,0,0,0,0,0,0,0,-0.175649862843193,0,-0.138290271574791,0.0958421701329258,-0.0696395115804073
X601601.CH.EQUITY,0,0,0.386121280828149,0,0,0,0,0,0,0,0,0.107447175118283,0.151707476003061,0,0,0,0,0.0621998983274751,0.0300860884391574,0,0,0,0,0,0,0.030534233540736,0,0.0109391740351798,-0.00686850128651166,0,0
X388.HK.EQUITY,0,0,0,0,0,0.0656178987062967,0,0,0,0,0,0.456431623026524,0,0.0871142656444897,0,0.0335416020082658,0,0,0,0,0,0,0,0,0,0.0428102832767011,0,-0.025776579833522,-0.0277565896213011,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0771204098389123,-0.127937026917067,0,0.0210617826939628,0,0.342842991076551,0,0,0,0,0,0.0608203685851217,-0.0494486766550893,0,0,0,0,-0.00398409933647008,0,0.0415245021651304,-0.0650845649475874
CGB3M,0,0.181315841104557,0,0,0,0,0,0,0,0,0,-0.219289564467684,0,0,0,0,0,0,-0.145124016861437,0,0,0,0,0.141913483016864,0,0,0,-0.0236869147454095,-0.00823381203139845,-0.84696505248575,-0.326702212135811
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.244623649781297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251299467896091,0.0069315053996439,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.656491014115393,-0.470124274193711,-0.956788416342225,0,0,0.280757228392458,0,-0.211399404249367,0,0,0,-0.133824048739249,0,0,0,0,-3.89863879900646,0,0.154125564389417,0.349482914390016,-0.0338824144967087
TED.SP,0,0,-1.29345536154591,0,0,-2.50667288639327,0,0,0,0,0,0,-1.25643811408559,0,0,0.42298507213593,0,0.28059635750235,0,1.4137360867726,1.03858184622088,0,0,0,-0.574999370792392,1.33540622902955,-1.03900833554076,-0.187356375001868,0,2.10702134421705,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.151949295570816,0,0,0,0,-0.0362529057644188,-0.225447554010014,0,0,0.0394164131571911,0,0,0,-1.08334527500694,0,0.00677349499971852,-0.0181742837326323,0,-0.352789855088554
CREDIT.SP,0,0,0,0,0,0,0,-0.112884702868973,0,0,0,8.67361737988404e-19,0,-0.136339843698847,0,-0.226094530342396,0,0,0,0,0,-0.0789933632989905,0.357637048725839,0,0,-0.451359192405026,-0.163295733365968,-0.0874355039648207,-0.0123461176378966,-0.401547495468949,0
