,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X16.HK.EQUITY,0,0,0,0.122632475022843,0,0,0,0,0,0,0,0,0.0608061376517999,0.145910934203677,0,0,0,0.0569640711185063,0.0531329918934116,0,0,0,0.478612147460277,0.0976837616722518,0,0,-0.0224860299300427,0,0,0,0.228920555448215
X000001.CH.EQUITY,0,0,0.0314537886770421,0,0,0,0,0,0,0,0,0,0.134093485482307,0.315334845623077,0.273887209343909,0,0,0,0,0,0,0,0,0,0.175865386633719,0.0371974761204432,0,0.00332103581121909,0.00534737535527956,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.115892453900139,0,0.128809882672207,0,0,0,0,0,0.0672634225082487,0.191995203600979,0,0,0.0869220718861744,0,-5.42101086242752e-20,0,-0.00992159614400235,-0.0015878340382778,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.391576151539724,0,0,0,0,0,0.0821738407302222,0,0.0410882484232147,0,0,0.439015231026079,0.0458739197719156,0,0.0217169371656379,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.177381525974156,0.141169781145639,0,0,0,0,0,0,0,0.210103602736772,0,0.303490889113453,0,0.0363141295217453,0,-0.00989655616786536,0.0171881867381871,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515981575810835,0,0,0,0,0.631824607231437,0,0,0,0,0.070650470961656,0,0,0,0.0038920398098438,-0.0741999497359067,-0.643845518353559,0
FXI.US.EQUITY,0,0,0,0,0,0.151656470627532,0,0,0,0,0,0.23510745701366,-0.150444845055877,0,0,0,0,0.0533022709590227,0,0,0,0,0,0,-0.284967628594445,0.0206085737149392,0,-0.201953683526534,0.0183424639446273,0,-0.00363780000585099
VXFXI.INDEX,0,0,0,0,0,1.10303150529937,0,0,0,0,0,0,-0.105125406779316,0,0,0,0,0,0,0,0,0,0,0,-1.24907040445968,0,-4.71029339261958,0,0.11609314922054,-0.0318544457500535,-0.263499880616438
TED.SP,0,0,0,0,0,-0.181783301773047,0,0,0,0,0,0,0,-0.348155581629562,0,0,0,0,0,0,0,0,0,0,0,-0.372019584110061,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.378766802007261,0.0819722844980353,0,0,0.285201705056877,0,0.169717278684026,0.1326150087188,-0.864919523484713,-0.00551221505496956,0,0.010717461570654,0,-0.393544179891614
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.0324772516869778,0,0.472716919023555,0,0,0,-0.0265546281546368,0,0,0.0434045832549083,0,0,0,-0.245899538656654,-0.598592778012356,-0.0935069906305326,0,-0.0645960549152074,-0.617535021244511,0
