,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.380272080196792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817872079941592,0.300063555544185,0,0,0,0,0.197471650564965,0,0,0,0.0143449486467962,0.00716073592635273,0.0121751231464115,-0.0416339975133883
X601628.CH.EQUITY,0,0,0.217376069499921,0,0,0,0,0,0,0,0,0,0.175140169910086,0,0.206152260980939,0,0,0,0,0,0.00773474966771342,0.0143833243423742,0,0,0.0885901336334674,0,0,0,-0.00764628102110277,0.14896602993466,0
X2628.HK.EQUITY,0,0,0.163445649624351,0,0,0,0,0,0,0,0,0.139717244754185,0,0.203305685458254,0,0,0,0,0,0,0.0310508120100251,0.0727192423784502,0,0,0,0,0,0,0.00876485823147042,-0.0183929021727702,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0201112944056941,0,0,0,0,0,0,0,0.140264234251043,0,0.294362696283705,0.393718900701887,0,0,0,0,0,0.0124382211962674,-0.0682442585661643
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.235439189176227,0.111312267949595,0,0,0,0,0,0,0,0,0.372096216300867,-0.0639638081449514,0,0,0,0.15640739338548,0,-0.0177478137667918,0,0,0
X601328.CH.EQUITY,0.042051258803995,0,0,0,0,0.0528406406741545,0,0,0,0,0,0,0.111329723074367,0,0.117890705429679,0,0,0.032216893490648,0,0,0,0,0,0,0.0890747697693015,0,0,0,0.000513634734737997,-0.0262003138391895,0.0475548969132464
X3328.HK.EQUITY,0,0.109869231876925,0,0,0.228780028069904,0,0,0,0,0,0,0,0,0,0.13541020770623,0,0,0,0,0,0.152783858285099,0.0777489468087683,0,0.112886842676432,0,0.0326987818509879,0,-0.00572497269162234,0,0,0
X600000.CH.EQUITY,0,0,0.0338931414928042,0,0,0,0,0,0,0,0.337797476902852,0,0,0,0.21993179628986,0,0.131023500597172,0,0.0797460211668455,0,0,0,0,0,0,0,0,0.0103821889055366,-0.0341848225940346,0,0.0929046076186087
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.233331391874477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37113153221975,-0.102643363904176,0.164716009844737,-0.0104846261273683,0.0381118072404712,-0.297597167080357,0
X000002.CH.EQUITY,-0.246247852542683,0,0,0,0,0,0,0.242689980987051,0,0,0,0,0.156967875326501,0,0,0,0,0,-0.0977274213038426,0,0,-0.0104686113981834,0.170988683506709,-0.172011559076843,0.44960404040073,0,0,0.012546228150559,0.0821983181513175,-0.125858119183107,-0.13350453799722
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0884227218340868,0.321242429966042,0.0231845304340373,0,0,0,0.249869604338466,0,0.0672001052635478,0,0,0,0.183241110885159,0,0,0,0,-0.0497639492694527,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365917170494079,0,0,0,0,0,0,0,0,0.134954500545648,0.42450975080482,-0.0388060012878251,0.0745262369728008,0,-0.0316894248150651,0.0183219980406825,0.0428138090638305,-8.67361737988404e-19
X388.HK.EQUITY,0,0,-0.454540258910769,0,0,0,0,0,0,0,0,0,0,0.258142427077172,0,0,0,0,-0.158425676042718,-0.067940739209347,0.411160485976906,0.322665080101255,0,0,-0.0332571110946879,-0.0377984156909486,0,0.048114808775092,0.0450230219573349,-0.132558769386479,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.34222169394544,0,0,0,0,0,0.540721028336589,-2.77555756156289e-17,0,0,0,0,0,-0.296583795749086,0,-0.0832054443501462,0,0,0,0,0.0175004505629559,0.00151969324219495,0,0
X601319.CH.EQUITY,0,0,1.01732296664491,0,0,0,0,0,0,0,-0.549745992654384,0,0,0,-0.101898610752269,0,0,0,0,0.120789970155645,-0.0151764069474656,0,0,0,0,0.136108834219261,0,0.0239886330192643,-0.0780905004079168,0,-0.179625144705018
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.0141261046215606,0,0,-0.0567028354173699,0,0,0,0,0,0,0.101221302588022,0,0,-0.0226081396456726,0,0,0.0621768918276051,0,-0.852681080725713,-0.539702981495003
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.109469521515833,0,0.215664936911963,0,0,0.0126366144632718,0,0.00620387822309139,8.67361737988404e-19,0,0,0.0217533237406845,0,0,0,-0.102315683143504,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.784995716707716,0,0,0,0.551775530221665,0,0,0,0,0,0,0,0,0,-5.46140577141458,0,-0.0319042921390349,-0.234863545655534,0
TED.SP,0,0,0,0,0.870097461304943,0,0,0,0,0,0,1.09807682561202,0,0,-0.392884497648567,0,0,0,0,0,0,0,0,0,-1.92399558710799,-0.334207028155304,0,0.0496918493808758,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104362096711776,0,0,-0.0255403764943272,-0.770066333560759,-0.0884489200814436,0.0395273843614551,0,0,-0.594338962303851
CREDIT.SP,0,0,0.254747071750811,0,0,0,0,0,0,0,0,0.0457599446952692,0,0,0,0,-0.244587840790498,0,0.121028174246409,0,0,0.0777715380424478,0,-0.0365518441349371,0,-0.820176954305115,0,-0.0155889456147739,0.0247611331915871,-0.843273135213053,0
