,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.274211997266564,0,0,0,0.108844571460087,-0.0700963235319979,0,0,0,0,0.234455420872665,0,0.122251249717173,0.274597570200023,0,0,0,0,-6.93889390390723e-18,0,0.00185832260950321,0,8.67361737988404e-19,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.031786719356295,0,0,0.032376178874741,0,0,0.107784960033715,0,0,0,3.46944695195361e-18,0,0,0.789847002837183,0,0,0,0.0207910574788182,0.0231002095162391,0.0441853010484884,-0.0239767505524257
X601628.CH.EQUITY,0,0,0,0.189541028681256,0,0,0,0,0,0,0,0,0,0.307335572008596,0,0,0,0.0926627517725665,0,0.0683881845358164,0,0,0,0,0.0993494257230256,-0.142062924069217,0,0.0302091695733264,-0.0129919171037255,0.0855246163690961,0
X2628.HK.EQUITY,0,0.0456413945163485,0,0,0,0,0,0,0,0,0,0.0728135947127813,0.322227965585233,0,0,0,0,0,0,0,0,0.126720932719321,0.0835078292271021,0,0,0,0,-0.00069366149551216,-0.0137857692560622,0,0.0537174778075446
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.452708861983343,0,0,0,0,0,0,0,0,0.155624235972282,0,0,0,0,0.211975605538501,0,0,0.0069251660646229,-0.00400888849865614,-0.00222512498457237,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0161116516631292,0,0.0636547313539911,0,0,0.180721261976315,0,0.0966960244403767,0,0,0.00333788262859253,0,0.0613618609293966,0,0,0.00609172809697997,0.0232604648157068,-0.0224839248474238,0.0177176779934024
X3328.HK.EQUITY,0,0.170727511891164,0,0,0.096311937123786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235913371998926,0.173810928139847,0.00561551919205337,0,0,0,0,0.0200610647143581,0.0113466713208826,0,0
X600000.CH.EQUITY,0,0,8.67361737988404e-19,0.220013032696054,0,0,0,0,0,0,0.262648536382916,0,0,0,0,0,0,0,0.0340521785830219,0.184391804597052,0,0.0377921527439652,0,0,0.0424307210076778,0,0,0,0.0160600954907919,-0.0192675642326466,0.0867535632020922
X000002.CH.EQUITY,0,0,0,0,0,0,-0.194057622191634,0,0,0,0,0,0,0,0,0,0,0,0,0.0498179429380113,0,0,0.0103466892988258,0.358586172933723,0.207240591872234,0,0,0.00202499368378513,0.0215331998484542,-0.0917405686367673,-0.0225416437941526
X000001.CH.EQUITY,0,0,0,0.280561656539372,0,0,0,0,0,0,0.34269486593095,0,0,0,0,0,0,0,0.258491648079891,0,0.298939049317547,-0.0657702232376884,0,0,0,-0.116364904202791,0.12873683485782,0,0.0358737418884072,-0.232853997969746,-0.120943632126562
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.28180981515121,0,0.23425216714188,0,0.414120766490084,-0.115017974397789,0.00479341221610672,0,0,0,0.138780033018901,0,0.0973658471350905,0,0,-0.0514257476874576,0.0163510950184639,-0.0101247910733638,0.0596902440481227
X16.HK.EQUITY,0,0,0,0,0.295262559741323,0,0,0.24561378530737,0,0,0,0.823380692476785,-0.218703503735092,0.315072776978018,-0.0429717754784551,0,0,0,0,0,0,0,0.0917221587244095,0,-0.108688876698673,0.0352921761478041,0,-0.0869295047730349,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.167116236443181,0,0.400773698554094,0,0,0,0,0.321399412869049,0,0,0,0,0,0,-0.114635506071248,0,0,0.0130180135156601,0,0.0633177130406465
X388.HK.EQUITY,0,0,0,0,0,0.188598129165569,0,0,0,0,0.0918458513839942,0.328348883964509,0,0.142851512300023,0,0,0,0,0.0723834742249989,0,0.0323760138415103,0.0414324548183923,0.0410377884907795,0,0,0.00254070806243351,0,0.000373640044383136,0,0,0
X601319.CH.EQUITY,0,0,0,0.100926729873922,0,0,0,0,0,0,0,0,-0.267431618612936,0,0,0,0,0.325979294101287,0.559668833999139,0,-0.0415071788865351,0,0,-0.308604632231276,0,0.877317819839405,0,0.0194327614347049,0.035445423501671,0.751021909449832,-0.00725684345316377
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125293213276732,0,0.0546909333463032,0.0614090501881282,0,0,0,0,0,-0.044369192373101,-0.0195077067044236,-0.947183887261368,-0.806194763214271
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103628820531088,0,0,0.101797890046754,0,-0.0640667614738162,-0.0512681056315109,0,-0.16714249245953,-0.0507574173352427,-0.0981464204105311,0
VXFXI.INDEX,0,1.88999299590575,0,0,0,0,0,0,0,0,0,0,-1.14931344304337,0,0,0,0,0,-0.217217024789775,0,-0.417964093317443,0,0.783459749935994,0,-0.376650386298386,-0.74192225949364,-4.88657462290235,0,-0.265516666225248,-0.718833851317777,0
TED.SP,0,0,0,0,2.06001927147106,0,0,0,0,0,0,-0.749180481136094,0,0,0,0,0,-0.181183611223439,2.46231020297662,-1.20499748961821,0,0,0,0,0.582997184498106,-0.123408917367336,0,-0.0478585917723083,0,0,0.442477764003817
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.744544474029003,0,-0.0406768838418926,0.00389122626518216,0,-0.512136326048846
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0.0177067193180376,0.293597342434071,0,0,-0.240549421917476,0,0,0,0.0517997025763405,0.00728981398314989,0,0,-0.0993606170931519,-0.845203380384542,0,-0.0509227356693831,0.00308168988967311,-0.793746997026075,0
