,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X2548.TT.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X601108.CH.EQUITY,X6005.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X000783.CH.EQUITY,X2505.TT.EQUITY,X2820.TT.EQUITY
X6005.TT.EQUITY,0,-0.524851142895806,0,0,0,0.00241853690667534,0,0,1.38036308470711,0,0,0,-0.30889171372854,0,-0.0631829776371949,0,1.345735435298,0,-1.36483208460007,-0.534497003976647,0.233944231947383,0,0,0,-1.49314881724479
X2885.TT.EQUITY,0,0,0,0.0332496484921602,0,-0.02734981113124,1.70876747186252,0,0,0,0,0,0,0,-0.0373511311752885,0,0,-0.124271087160094,0.320725088302854,0.0390325776473915,0.0805275826365433,0,0,0,0
X601878.CH.EQUITY,0,0.026912922911606,0,0,0,0.0033453089810454,0,0,0,0.283516275179737,0.290076030879564,-0.00988293848562199,0.014982067881506,0,0,0.0592057733643954,0,0,0,0,-0.0230690161653014,0,0,0,0
X2867.TT.EQUITY,0.760132977051408,0,0,0.731853175665028,3.74041636554714,0.208902575294797,0,0,-10.8607819842697,0,0,-0.460496337100799,0,0,0,0,0,-7.08060075414684,0,3.84782712158787,3.44417872279172,0,0,0,-7.26864422197143
X2501.TT.EQUITY,0,0,0,-0.0218139940512937,0,-0.0112704376799874,0,0,0,0,0.87804422661324,0,0.204669744364579,0,0.00385036810498657,0,0.0173436563981945,0.63484005334171,0.309000593946431,0.175956469916891,-0.144038449955406,0,0,0,0
X3040.TT.EQUITY,0,0.139172106869631,0,-0.0167675334998734,0,0.00967607105448352,0,0,0.271986083530603,0,0.698332036313357,0,0.151288831924547,0,-0.015227978654699,0.084289926495883,0,0.0768863093451853,0,-0.157938345245465,0.0342907590617053,0,0,0,0
X2905.TT.EQUITY,0,0.0815398109712451,0,0,0,0.00383769766729122,0,0,0,0,0,7.1926840773267e-05,0,0,0.00884060752897464,0.0467065721140577,0.145059299787548,0,0.00659310257515144,0.0586475752334021,0.0384102300042433,0,0,0,0
X2855.TT.EQUITY,0,0,0,0.0431773174704552,0.566700123308224,0.00969542304368995,0.0524368455080892,0,0,0,0.234777240046775,0.0207871564621378,0.055388300611324,0,-0.0229749647161925,0,0.0199540169225218,0,0,-0.0453464502303535,0.0578552503152525,0,0,-0.702873239372642,0
X9940.TT.EQUITY,0.255678232140367,0,0.428405224435671,0,0,-0.0196898927674389,0.0754033041353942,0,0,0,0,0,0,0,0.00494151465697726,0.129574141260716,0.0383947957067117,0,0,0,0.0291031238257021,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0.0344377110378569,0,0,2.2526128508382,0,0,-0.0976467415663691,0,0,0.0670116131544156,0,0.350943044876938,1.7897904215497,0,-0.334940419761853,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.0188656090338769,0,-0.00445239792023027,0,0,0,0.0281585851069159,0,0.00166534715848269,0,0,0.00296678462638674,0,0.0242993817028446,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,0,0.00623860522564554,0,0,0,0,0.155374228377014,-0.00709197838649247,0.0588634052210124,0,0.0056522456494392,0.0300687028915803,0.0555196152782355,0,0,0.0187448306979681,-0.038590598846219,0,0,0.0340589044923581,0
X2505.TT.EQUITY,0,0,0.0127819096121238,0.0108413302997135,0,-0.0177814760686073,0.189675042302806,0.0212232064459604,0,-0.173927829605843,0,-0.0135560785911976,-0.0395096309606,0,0.00698439680604476,0,0.0714833089758584,0,0,0,0,0,0,0,0.0263014149814212
