,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.315742014582649,0,0,0,0.138682880835882,-0.0737646024944634,0,0,0,0,0.249180190183275,0,0.120918253149167,0.253229773397446,0,0,0.0220353249964256,0,0,0,0,-0.00921084880351829,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477342987154376,0,0,0,0,0,0,0.140517194846255,0,0,0.0806942741747991,0.518519586196178,0,0,0.0161623341320322,0.0461044373818863,0,-0.0790726655350275
X601628.CH.EQUITY,0,0,0.268809675158221,0,0,0,0,0,0,0,0,0,0,0.271245096113502,0,0,0,0.0640837520773472,0,0.0633907327586622,0,0,0.116486751200004,0,0,-0.135997174222246,0,0.00206792084955785,-0.014840127956042,0.0741230116597276,0
X2628.HK.EQUITY,0,0.0456669352794928,0,0,0,0,0,0,0,0,0,0.072830334680572,0.322220449436391,0,0,0,0,0,0,0,0,0.126701734985744,0,0.0835066798907624,0,0,0,-0.000694626192647476,-0.0137843435693449,0,0.053725908979043
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.226602729294189,-1.73472347597681e-18,0,0,0,0,0,0,0,0.160698414626438,0.121134253468223,0,0.164346822916701,0,0,0,0,0.00231791721041388,-0.00342971235546948,-0.00408391924052543,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0145594416383099,0,0.0569042248200139,0,0,0.14616016863082,0,0.0960806822871795,0,0.0490273850769426,0.0496818266712162,0,0,0,0,0.00505488126999241,0.026146778037924,-0.0275043453771635,0.0132407826173453
X3328.HK.EQUITY,0,0.283029561694694,0,0,0,0,0,0,0,0,0,0.0122940132863084,0,0,0,0,0,0,0,0,0.242342227716974,0.167466230213129,0,0,0,0,0,0.0179179579742508,0.0066966938682619,0,0
X600000.CH.EQUITY,0,0,0.141192637484191,0,0,0,0,0,0,0,0.187373737017911,0,0,0,0,0,0,0,0.0645249575523451,0.173455445934105,0,0.0456660499685558,0,0,0,8.67361737988404e-19,0,0,0.0386900182329839,-0.0102646628135265,0.0265216031417901
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052198380796892,0.178766861251002,0,0.0928399301144393,0,0,0.115430047814802,0,4.33680868994202e-19,0.0381580079244782,0,-0.138168663395015
X000001.CH.EQUITY,0,0,0.238776509165863,0,0,0,0,0,0,0,0.382765902460491,-0.101531681218388,0,0,0,0,0,0,0.297351646384192,0,0.35878446601476,-0.0229827404419575,0,0,0,-0.128655633464664,0.112617808596667,0,0.0308550009379535,-0.245373138669943,-0.110615332322384
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0469456735715796,0.280128218359661,0,0.154719506866738,0,0.509231640564473,-0.0391184540426026,0,0,0,0,0,0.0140546375215503,0,0,0,-0.0593859133539814,0.00779030913894734,0,0
X16.HK.EQUITY,0,0,0,0,0.149836049289,0,0,0.320492331050324,0,0,0,0.734490145459261,-0.166284621874727,0.27284324801567,-0.0485503354152585,0,0,0,0,0,0,0,-0.109906289232729,0.0393758498276301,0,0,0,-0.0695336409998328,-0.011841878458559,-1.73472347597681e-18,0
X601319.CH.EQUITY,0,0,0.221139156164678,0,0,0,0,0,0,0,0,0,-0.357668327851571,0,0,0,0,0.198624915558166,0.589204774275284,-0.0293913749469438,0,0,0,0,-0.282565016627761,0.914484635579471,0,0.019779467421073,0.0291820015430533,0.754474646349398,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.225509172228575,0,0.348132147990994,0,0,0,0,0.224854988243034,0,0,0,0,0,0,-0.0879075376799026,0,0,0.0232670911823654,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.564270354773943,0,0,0,0,0,0,-0.0462786160547103,0.0278951294321428,0,0,-0.0404895119287388,0,0,0,0,0.0186108855543563,0.0750663653532094,-0.047180662360691,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701477873437365,0,0.0713068465940558,0.0580938074099335,-0.0286300171312164,0,0,0,0,-0.0449090437637259,-0.0260808619584286,-0.92954535106484,-0.797452317760751
FXI.US.EQUITY,0,0,0,0,0,0,0,-0.0119182212796217,0,0,0,0,0,0,0,0,0,0,0,-0.112867694186025,0,0,-0.0540631362200139,0.120044336392285,0,-0.0479349908194785,0,-0.166620658077706,-0.053306565607958,-0.093721111078675,0
VXFXI.INDEX,0,1.30760334779178,0,0,0,0,0,0,0,0,0,0,-0.646608545145335,0,0,0,0,0,0,0,-0.489525287799301,0,-0.506020670566282,0.596391566630561,0,-0.627948871326847,-4.90904297005017,0,-0.267807817816624,-0.659899184062434,0
TED.SP,0,0,-1.1893798815353,0,0.710681917624068,0,0,0,0,0,0,0,0,0,0,0,0,-0.201582539219851,1.26932795058307,0,0,0,0.0752234034110831,0.42505479369091,1.35149435233438,-0.0706466958455997,0,-0.164222710995501,0,0,0.497447196733524
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.744544474029003,0,-0.0406768838418931,0.00389122626518184,0,-0.512136326048847
CREDIT.SP,-0.036247811066032,-0.0638905205353303,0,0,0,0,0,0,0,0,0,0,0,0.396369537914232,0,0,-0.111950467847502,0,-0.0179624798352584,0,0,0,-0.135957027735465,0,0,-0.89290075162786,0,-0.0518696675526172,0.00932997587763103,-0.818894712173416,0
