,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.302365333663016,0,0,0,0,-0.0202539677420391,0,0,0,0,0.244633891744448,0,0.194208121263054,0.204394475606446,0,0,0.0278004600012329,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221254449065763,0,0,0,0,0,0.0215991062098711,0.0802857091878217,0.184019648224683,0.0666227604567424,0,0.554752878643473,0,0,0.0101305507632932,0.0270255665079639,0,0
X601628.CH.EQUITY,0,0,0,0.249817838008564,0,0,0,0,0,0,0,0,0,0.254945869388894,0,0,0,0,0,0,0,0,0.170830491399383,0,0,-0.0627884598755541,0,0,-0.0481358360065254,0.0714309182889498,0
X2628.HK.EQUITY,0.0274545077665954,0.0860573139145302,0,0,0,0,0,0,0,0,0,0.0894138466178699,0.307209196511182,0,0,0,0,0,0,0,0,0.0699892379209834,0.0154110129557134,0.110112707921745,0,0,0,-0.00159210634348938,0,0,0.051036599398809
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.423003359305534,0,0,0,0,0,0,0.121218957046276,0,0.111072073315235,0,-0.0329632098335807,0.253691173502919,0,0,0,0.0220035751127088,0.0132645386434965,-0.0152681213260488,0,0
X3328.HK.EQUITY,0,0.353167979832306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618941954897337,0.214917143147543,0.142112810807118,0,0,0,0.0115704449154896,0,0.0129173209317332,-0.00354368974366142,0,0.00233746408024795
X601328.CH.EQUITY,0,0,0,0,0.0363836309069272,0,0,0,0,0.0890211997332086,0,0,0,0,0.0166553048496959,0,0,0.228598125327046,0,0.0863886164285179,0,0,0.0229917219379273,0,0,0.00617039582725763,0,0.00161056499828114,0.0162498029382198,-0.0172315592342038,0
X600000.CH.EQUITY,0,0,0,0.218901084358929,0,0,0,0,0,0,0.202202198452028,0,0,0,0.165072382236997,0,0,0,0.130535602336705,0.0893315255773574,0,0.0534286175955211,0.0102105139907096,0,0,0,0,0.00639283188678943,0.0153678495527636,-0.0158968485167416,0.096895480096804
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.102530050171699,0,0,0,0,0,0,0,0,0,0.18375122988147,0,0.0771874669101782,0.147168664397308,0.447708128451343,0.0189448402518832,0,0.00698015530548707,-0.0115515300358563,-0.00765500584707879,0
X000001.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.479351580132055,0,0.0948657662983622,0,0,0,0,0,0.314191715473896,0,0,-0.0224412898907043,0.0112022361946711,0,0,0,0.339199377824551,0.0632265888836839,0.032542582794617,-0.136716465972516,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0282308029236373,0.281873967559577,0,0.166451506198817,0.402519613092765,0,0,0,0,0,0,0.0707724451914431,0.206746144370774,0,0,0,-0.00627002859594077,0.0282860365830623,-0.0186275324502527,0.0548408162968662
X16.HK.EQUITY,0,0,0,0,0,0.241135179794761,0.0858239124904076,0.0965560646003759,0,0,0,0.951765629257541,-0.0684448364042418,0.0228257858759777,0,0,0,0,0,0,0,0,-0.108859129436722,0.150875118304279,0,0.174410417428597,0,-0.0110916255329671,0.0775581256002604,0,0.0744501493313861
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23060670086208,0.489419028549311,0,0,0,0,-0.252142664751896,0,0.460612151556644,0,0.0106716100004186,0.0156620414415378,0.381596183090917,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.258751722890578,0,0.172245108157626,0,0,0,0,0.343731870428143,0,0,0,-0.0237870269771035,0,-4.33680868994202e-19,-0.097692178576353,0,0,-0.00778545484858,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0587671764553355,0.350564100335012,0,0.144772378181389,0,0,0,0,0.0626682240099585,0,0.00149451007178496,0.0640028529543044,0,0.093723282189787,0,0.0356534217474083,0,0.00946673979259439,0,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214359213943952,0,0,0,0,0,0,0,0,0.0639234309489548,0,0,0,0,0,0,-0.0142462830584544,-0.877252387991206,-0.543800804917818
FXI.US.EQUITY,0,0,0,0,0,0,0,-0.0778356373915809,0,0,0,0,-0.0468932906130668,0,0,0,0,0,-0.140050605610032,-0.0378860362960748,0,0,-0.0251792854274671,0,0,-0.133564615070627,0,-0.175370928037235,-0.0200211897270341,-0.185612000594933,0
VXFXI.INDEX,0,1.94202370458694,0,0,0,0,0,-1.90399273283429,0,0,0.225663030519106,0,-1.1026199355132,0,0,1.10157250272505,0,0,-0.585749855354237,0,0,0,-0.549967831862425,0,0,0,-5.07797042837161,0,-0.07642292975654,-0.0437101223879039,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.540439167583505,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.0419593209512982,0,0,0,0,0,0,-0.00494108487199153,0,0,0,0,0,0,-0.765024889109871,0,-0.0323428537260829,0.00472590965176013,0,-0.550902331215194
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0.034151179618222,0.17751844794728,0,-0.0756844185881121,0,0,-0.162567317476196,0,-0.105498184269477,0.0285128181899526,-0.0801111763031055,0,0,-0.720180711701555,0,0,0,-0.716609212811129,0
