,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X601377.CH.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X2880.TT.EQUITY,X000656.CH.EQUITY,X2501.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X2520.TT.EQUITY,X000783.CH.EQUITY,X600848.CH.EQUITY
X2855.TT.EQUITY,0,0,0,0,0,0,0.0122826741011475,0,0.269873068607143,0,0,0,0,0,0.0106796465164576,-0.0252907668247512,0.0372475473005466,0,0.23194315457597,0,-0.199968063706377,1.73472347597681e-18,0,0,0
X2867.TT.EQUITY,0,-1.26170022115294,0,-0.0408814511988125,0,-0.794934050300312,0.353525163457416,0,-1.9539341573584,0,0,0,0,0,0,0,1.56898514812649,0,0,-11.415052982206,3.46770060524221,-2.49528199412974,10.7454398371204,0,0
X2885.TT.EQUITY,0,0,0,0.0326290197900772,1.06235128133612,0,-1.73472347597681e-18,0,0,0,0,0,0,0.301304101567645,-0.041737091106204,0,0.0370081757398959,0,0,-0.197786496884562,0,0.00583608867333439,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0.0774683588429295,0,-0.489110269767863,0,2.31775808684077,0,0,0.370513978009026,0.0547521133218305,0,0,0.476263595074046,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0.374001973345994,0,-0.00308512474645765,0,0,0.00374599616329258,0,0,0,0,0,0,0,-0.0203193863784107,0,0.0762058110957785,0,0.717917991974952,0,-0.0773865711907365,0.122744814796242,0,0,0
X601108.CH.EQUITY,0.0151338915830201,0.00500647197893662,0,0,0,0.28432104152297,0.00041338622526799,0,-0.0141613845693657,0.0140167808848037,0.0623011339388899,0,0.0937008459133486,0.232816415063109,0.00184482140199587,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,-0.00411954107950351,0,0,0.0158164802634904,0,0.00927883888791277,0,0,0,0,0,0.00758258986977792,0,0.0658020243562628,0.134519990277407,0,0,0.0576550956559815,0,0,0,0
X9940.TT.EQUITY,0,0,0,0.0512442403340171,0,0,-0.0530630826756313,0,0.229464990578041,0,0,0,0.378989019995502,0,0.0353356983477347,0.14834922961588,-0.0571508462049681,0,0,0,0,0.11283882664161,0,0,0
X1463.TT.EQUITY,0,0,0,0.045083181722193,0.23847655470237,0,-0.000869184021526071,0,0,-1.91538420547526,0,0,0.355618558495733,0,0.0562860692877572,0.451856960143175,-0.392931997217853,0.430265842806363,0,1.46016354824851,-0.144886670323911,0,0,-0.262337328918008,0
X2520.TT.EQUITY,0,0,0.0219460491522001,0,0,0,0.00225009127094749,-4.33680868994202e-19,0,0,0,0,-3.46944695195361e-18,0,0.0182477142096216,0.0806158730803167,0.0835612387654587,0.0597353107093272,0,0,0.105757201639327,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,0,0,0.00304443901312258,0,0,0.0396274049866224,0,0,0.0224565380355607,0.0757734879958818,0.00349623854760796,0.116987403005725,-0.0370188811914936,0.0377019390391302,0.0573468847782831,0,0,0,0,0,0
X600848.CH.EQUITY,0,0.0284842249803762,0,0,0,0.0312767363917945,-0.00375531745401718,-0.00688094535116641,0,0,0,0,0,0,0,0,0.00423614346849348,0.0831390758723158,0,0,0,-0.00860726251043925,0,0,0
