,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X2905.TT.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X601108.CH.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X2501.TT.EQUITY,X2505.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X000656.CH.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X601878.CH.EQUITY,0,0,0,0,-0.00280404234657642,0.00191227410221893,0,0,0.474387072393532,0.287289876040352,0,0,0,-7.63071526568217e-05,0,0,0.031706620279195,-0.0723300685968375,0.0176567481099682,-0.0162784789540137,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.0572302125319722,0.493940859864904,-0.0255005986027354,-0.0167190111259678,0,0,0,0,-0.257905949369747,0,0,-0.0130591040434486,-0.0307815510170425,-0.0534419193290157,0,0.543915955854766,0,0.0311827775445309,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0.0490864728918952,0,0,0,0,0.599962517323829,0,0,0,-0.00460034139483421,0,-0.281536902700906,0.0446749264641535,1.07950402661484,0.376919440980439,0.0615652149060714,0,0,0,0,0
X2867.TT.EQUITY,1.27358113179961,0,0.791229882756574,8.83364678301927,-0.325599319472749,0.205991202486632,-8.9665948488954,-9.8150396412247,0,0,0,-7.95047976171178,0,0,0,3.21528773537922,-5.55111512312578e-17,0,0,3.62380863755383,0,0,0,0,-5.43972638073185
X2855.TT.EQUITY,0,0.0530344441365468,0.00769294183986411,0,0,0.0207379007279772,0,0,0,1.21886394850061,0,0,-0.0109862124596734,-0.0123562301278838,0,-0.0555153072059548,0,0,0.412973055751186,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.0405269932465474,0,0.00193808465002552,-0.012130400444676,0,0,0,0,0,0.340474406300153,0,0.0332633034312422,0.41923172909797,0,0.351278760773575,0,0,0.163564023676577,0,0,0,0,0
X2501.TT.EQUITY,0,0.0182077777480459,0,0,-0.010543312473128,-0.0115165993084716,0,0,0,0.405216354696217,0,0,0.052621774533021,-0.00758282143676023,0.220778852924329,0,0,0,0.36703502498003,-0.0651876832447043,0,0,0,0,0
X2505.TT.EQUITY,0,0,0.0106500177067809,0.198917482400222,-0.00399992490463681,-0.0228637394572975,0,-0.113503526370765,0,0,0,0,0.153600044823492,0.0145791475457734,0,0.110619682280668,0,0,0,-0.0120937264561914,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.0291155794008912,0.0547463004759723,-0.0433191846872643,-0.0148300554807333,-0.206513656728574,0,0,0,0,1.48264200592466,0,-0.0438050522496297,0.604599573636067,0.148217138938582,0,0,0,0.0531230483844418,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,-0.0775709504913317,0.0319065602604608,1.04292163143923,2.61181917539362,0,0,0,0,0.360263359805183,0.0427854344564339,0,-0.945713124943833,0,0,0.044801662281407,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,-0.0079635376034405,0.00142689019882325,0,0,0,0.112190255948389,0,0,0.0489171801987913,0.00330197301416082,0,0.0260986769177608,4.33680868994202e-19,0,0.048980139441155,-0.0233945551217607,0,0,0,0,0
X601162.CH.EQUITY,0,0,0.0311458764523145,0,-0.0182110519904257,0,0,0,0,0.316713660549609,0,-0.0120935916945646,0.0411848660305465,-0.00415204039534893,-0.0473988712439321,-0.0698005821508498,0,0,0,-0.00483271662944491,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,-0.0103369226249624,0,0.05662823736889,0,0,0,-0.0429491598611294,0,0,0.000251305076598159,0,0,0.0185867039769086,0,0,-0.0113824845185564,0,0,0,0,0.0289697070314221
X600848.CH.EQUITY,0,0,0.0186332859020566,0,0.0055290055613992,-0.00446236041244221,0,0,0.0335467418037573,0,0,0,0.0250563398432347,0.0064039351149799,0,0,0.00599511361328616,-0.0518366210381705,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,-0.427986975582451,-0.0279900822787303,0,0,-0.216516891553693,-0.20453802513374,0,0,0,0.072114641995135,0.000613312329189613,0,0,0,0.183472520251423,0.299757838165045,-0.0431147502063839,0,0,0,0,0
