,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X3040.TT.EQUITY,X600369.CH.EQUITY,X600061.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X5876.TT.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X000002.CH.EQUITY,0,0,0.0440650753971818,0,0,0,0,0,0,-0.051550251017285,0,0.0209718227114462,0,0.157639308003146,0,0,0,0.104303761483732,0,0,0,0,0,0,0,0,0,0.0203244330507005,0.0190511285266242,0.0129951090601792,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.140203944546561,0,0.0131812913695521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392599237283368,0,0,0,-0.0514479829958499,0.0151669397835523,-8.67361737988404e-19,-0.0346689672668735
X600919.CH.EQUITY,0,0.0940732133057778,0,0,0,0,0.078610857208443,0,0,0,0,0.0764370152327997,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.297501898166397,0,0,0,0,0.0374983046011164,-0.0235822803568101,0
X601066.CH.EQUITY,0.149350942341744,0.466476229490679,0,0.283177869518475,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0631323982984444,0.159283844075024,0,0.15037328413123,0,0,0,0,0,0,0,-0.0757422910322305,0,0,-0.0513047884354929,0,0
X2905.TT.EQUITY,0,0,0,0.247229747207735,0,0.015823805791755,0,0.570387052756879,0,-0.195141091702485,0,0,0,-0.312957624549462,0,0,0.155019935775286,0,0,0,0,0,0,0,0,0,0,-0.109521353427992,-0.0444130868661415,-0.0121277596065773,0
X600848.CH.EQUITY,0,0,0,-5.42101086242752e-20,0,0,0,0.0379363136278845,0.315863752025691,0,0,0,0,0.0905003446555363,0,0,0,-0.0432054500190875,0.297748350672,-0.0180792102224353,0,0.0876893449544693,0,0,0,-1.0842021724855e-19,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0.181502310598726,0,0.0521120379102908,0,0,0,0,0,0,0.0152087442965275,-0.0237846957514727,0,0,0,0,0,0,0,0,0.239525980906688,0,0,-0.0386824129220022,0,0,0
X300059.CH.EQUITY,0.249598712651984,0.0314827395778949,0,0.288082187125175,0,0,0.267071676349264,0,0,0.260009142761264,0,0,0,0.026361069546219,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0829430348207729,-0.00491631599229091,0.156467873310769,0
X601328.CH.EQUITY,0,0,0.0741439970974462,0,0,0,0,0.0626279309504945,0,0,0,0,0.0757658218444046,0,0,0.099083176601653,0,-0.0150517595443399,0,0,0,0,0,0.209554665133271,0,0,0,0,0.000231415325184455,0,0
X002142.CH.EQUITY,0,0,0,0.190702976728556,0.128568706126397,-0.0404868134569263,0,0.116407352606657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341008664359773,0.230478119742477,0,0,0,-0.0368906844782528,0,0,0.239773982786188
X3266.TT.EQUITY,-0.0865458853869381,0,0,0,0.0494609934810159,0,0,0.0191910224728315,0.0232299884689118,0.00120260473183057,0.0132272855455226,0.136784522214252,0,0.0592276915711406,0,0,0,0,0,0,0,0,0,0,0,-0.00151784862718867,0,-0.0307827064748988,0,0,0
X601166.CH.EQUITY,0,0,0,0.0588971833977906,0,0,0,0,0.0469446888057535,0,0,0.416403580984344,0,0,0,0,0,0.0798614021371324,0,0,0,0,0,0,0,0,0,0.0490481814390132,0.011330255812893,0.00152618744963401,0
X601155.CH.EQUITY,-0.0712788507121784,0,0,0.0816208554975118,0.175512494058368,0,0,0,0,0.0524887149900423,0,0,0,0,0,0,0,-0.0554580942962597,0,0.332257746189657,0,0,0,0,0,0,0,-0.0509233758211317,0.0417762657239114,0,0
X600036.CH.EQUITY,0,0,0.407480157683382,0,-0.00562098587631603,0,0,0,0,0,0,0.292216913017726,0,0.0385663548361789,0,0,0,0,0,0.0513105314484723,0,0,0,0,0,-0.0370543649853497,0,-0.025742994403119,0.0137751520193788,0.0158206151960251,0
X5876.TT.EQUITY,0,0,0,0,0.166155386631126,0,0,0,-0.168523509119733,0,0,0,0,0.281457470537394,0,0,0.0839431270343267,0.148807136987207,0,0,0,0,0,0,0,0,0,-0.093582266071375,-0.0413210406019311,0.00059510135026837,-0.00961720701607769
CGB3M,0.148585877620562,0,0,0.0534589202439245,0,-0.548223451545908,0,0,0,0.0135840420961648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633308141816292,0,-0.815804834868659,0
FXI.US.EQUITY,0.078569384094738,0,0,0,0,0,0,0.0612106412321896,0,-0.00512763220542175,0,0,0,0,0,0,0,0.0434708463769667,0,0.0116834002670089,0,0,0,0,0,0,0,-0.159943738281321,0.00239644621777637,0.00451193806538135,0
VXFXI.INDEX,0.327174136541552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292194081382628,0,-0.0771655780235645,0,0,0,-0.0424854918262457,0,0.0590683092197777,-2.47203118732142,0,0.0374289209053426,0,-0.191830824133084
TED.SP,0,0,0.624148117591022,0,0.340514860819516,0.0874930466350376,0,0,0,-0.248488431383176,0,0,0,0,0,0,0,-0.514370387057707,0,0,0,0,0.275824371747535,0,0,-0.436762758809413,0,0.0590101476704663,0,0,0
CN3M10YSLOPE,0,0,0,0.0886283943337174,0,0,0,0,0,0,0,0,0,0.264627594541678,0,0,0,0,0,0,0,0,0,0,0,-0.872794761149025,0,0,-0.0313357815354794,0,-0.375942585183049
CREDIT.SP,0,0,0,-0.247550255580636,0.05060299154182,0,0.273430611345524,0,0,0.0677991042937486,0,0,0,0,0,-0.0518569100587038,0,0,0,0.0799924228327964,0,0,0,0,-0.220593961692733,-0.379681855985504,0,-0.172366094010106,-0.0106122162782358,-0.316276985261634,0
