,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0,0,0,0,0.0931689325196093,0,0,0.308053978334305,0.328492654701941,0,0,0.206827533729843,0.133697527349195,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.0393238718680457,0.0764725095096457,0
X600036.CH.EQUITY,0,0,0,0,0,0.475453296301396,0,0,0,0.00740675465336914,0,0,0.0810572811324105,0,0,0,0,0,0,0,0.0537041516576,0,0,0,0.113778008217339,-0.0286481241680277,0,0,0.00495520442877723,0,0.0209588535637003
X1299.HK.EQUITY,-0.129233574460348,0,0,0.494572077229047,0,0,0,0,0,0,0.083196120656758,0,0,0.471348514771476,0.25499268222834,0,0,0,0,0,0,0,0,0,0,0.031463464648311,0,0,0.00510554219532892,0,0.109878773034389
X5.HK.EQUITY,0,0.160511961847878,0,0,0,0,0,0,0,-0.0681447899461864,-0.213483934085438,0,0.529949092283891,0,0,0,0,0,0,0,0,0.29192976078494,0,0,0,0.0946913029716726,0,-0.0744188985606683,0,0.0926134026553299,0.0649719340808675
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.2812598609043,0.152122577955318,0,0,0.0759888523442611,0,-0.0704385799725167,0,0,0,0,0,0,-0.133285091613813,-0.0911893664438266,0,0,0.145008009222234,-0.0749337634975152,-0.0440211473965701,0.0104272183384764,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.12560349740134,0.216109426910021,0,0,0,0.0926658583541469,0,0,0,0,0.363843863868257,0,0,0.256694650206626,0.110221802080102,0,0.0418424360336565,0,0.066344007074171,-0.0156755424563183,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.790438035351445,0,0.0609725696200858,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0241764674242078,0.0336315373026273,0,0.0822538297883762,0,0,0,0,0.00542798775711318,5.42101086242752e-20,-0.0138309837114175
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0.0344646602548919,0,3.46944695195361e-18,0,0.220558960618848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387043897091598,-0.0241935976858922,0.0221366300332794,-0.0349066664108911
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.18666351588277,0,0,0,0.0413629211444373,0,0,0,0,0.126811753904966,0,0.0895921965608381,0,0,0,0,0.0147044321517631,0,-0.00202541413625242,-0.0291549295525543
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.201022955010925,0,0,0,0,0,0.00634488568018082,0.949315872597133,0,0,0,0,0,-0.157467960709974,0,0,0,0.0669738586409021,0.104289918228537,0,-0.014778936241049,0.0863446902503299,-0.00145944777902529
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0743014137668474,0,0.264716957156073,-0.136297365142948,0,0,0,0.2021986598013,0,0.0738942182225331,0,0,0,0,0.246841957347762,0,0,0,-0.0265386588362694,-0.0173200921130903,0.0140599585754388,0
X000002.CH.EQUITY,0,0,0,0,0,0.00855571105557482,0,0,0,0,0.0966307468980204,0,0,0.0232886103695584,0,0,0.074868526433149,0,0,0,0,0,0.209951522880817,0,0,0,0,0,0.00417744957871735,0.0166260690475031,-0.0566730384111372
X601319.CH.EQUITY,0,0,0,0,0,0.311575735684361,6.93889390390723e-18,0,0.194158364456763,0,0.0127043577517535,0,0,0,0,0.109488832193473,0,0,0,0,0,0,0,0,0.45830031331919,0,0,0.0347227554807739,-0.0275660632792786,0,-0.0296861502245013
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0170701993665217,0.0929769071455958,0.204581457467376,0,0.0391539185729872,0,0.0286296830961265,0.199856292618601,0,0,0,0.101991401412191,0,0,0,0,0,0,-0.0327415676481546,-0.0138951960554582,0.00395592133938302,-6.93889390390723e-18
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0809043236855176,0.412118372843609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297455664796198,0.11057786589589,0
CGB3M,0,0,0,0,0,0,0,0.299596580217845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839970092304793,-0.708318622907009,-0.0379890954202106
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.136383905440996,0,0.0719592738358582,0,0,0,0,0,0,0,0,0.0929807998474132,0,0,0,0,0,0,0,-0.099698795645985,-2.71050543121376e-20,0.0309617249992822,0
VXFXI.INDEX,0,0,0,0,0,0,0,0.105096479513616,0.209626473514338,0,0,-0.757051268852634,0,0,0,0,0,-0.573848256746186,0,0,0,0.712943826143977,0,0,0.634818216665734,0,-2.6728610346219,0,-0.0206388519278788,0,0
TED.SP,-0.824910728957898,0,0,0,0,2.26705152520495,0,0,0,0,0,0,-2.67631119729591,2.52793543492562,0,0,0,0,0,0,0,-0.433706820425885,-0.690426188779828,0,2.06500470525076,-0.597014553081819,-2.17235208874844,0.0965780895292002,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,-0.130027706697977,0.289068930564462,0,0,0,-0.22985085157879,0,0,0,0,0.169622416575525,0,0,0,0,0,-0.97957015171752,0,-0.0379882798304998,-0.00779658432819637,0,-0.749157304604446
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0.285252618064713,0,-0.0905156848627331,-0.304634103539235,0,0,0,0,0.0324490954218219,0,0,0,0,0,-0.820776389067948,0,0,0.0141547417974591,-0.815898798018498,0
