,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.410607576093733,0,0,0,0,0,0,0,0,0,0,0,0,0.299700330876318,0,0,0,0,0,0,0.083253279117338,0,0,4.33680868994202e-19,0,0.027858180142217,-0.00593512185360306,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.236617525858723,0.0151696495768711,0,0,0,0,0,0,0.0334336304869735,0,0.175343863579697,0,0,0,0,0,0.0353650915324403,0.00608150470326373,0
X601628.CH.EQUITY,0,0,0.349747694557717,0,0,0,0,0,0,0,0,0.110273998930501,0,0,0,0,0.0950238432277099,0,0,0.177050468976047,0,0,0,0,0,0,0,0.00039148553078315,-0.010655663530482,0.0834023847380459,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344257607679165,0,0,0.244388748960539,0,0,0,0,0,0.335745813585124,0,0,0,0.0139456241663176,0.0301780660558818,-0.00146926030196459
X601328.CH.EQUITY,0,0,0,0,0.0997749935844315,0,0,0,0,0,0,0,0,0,0,0.0880932994764711,0,0.238911569118952,0.0558758192053118,0,0,0,0.000280209048182922,0.243317631930336,0,0.0832466772385319,0,-0.0163446448161904,-0.0192748180242653,0,0
X3328.HK.EQUITY,0,1.05185197405054,0,0,0,0,0,0,0,0,0.263916579971833,0,0,-0.0498916752927051,0,0,0.000193626606901355,0,0,0.143669474166613,0,0,0,-0.116139684601021,0,0,0,0,0.0254477016539468,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0601566093339255,0,0,0,0,0.0596227969131915,0,0,0,0,0,0,0,0,0.457128798927924,0,0,0,0,0,0,0,-0.00801238236039046,0.0139324180886941,-0.012623436682852,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.13932506388912,0,0,0,0,0.0686546520764903,0.187072981617216,0,0,0.141501609498295,0,0,0.106978381456621,0,0,0,0,-0.00395922305764857,0.000768600834901071,0.0154206487855033,0
X601319.CH.EQUITY,0.152280696785146,0,0.136268328867277,0,0,0,0,0,0,0,0,0,0,0.387223459581934,0,0,0,0,0,0.45272331344374,-0.155052056944608,0,0,0.11768207752987,0,-0.0366814892801879,0,-0.0119934985644096,-0.0205375825899445,0,0.155134608689493
X601601.CH.EQUITY,0,0,0.209073797117755,0,0,0,0,0,0,0,0.102339902525532,0,0.0970916220525578,0,0,0,0,0,0,0,0,0.35423620927501,0.0718641729157273,0,0,-0.0232726264154026,0,-0.0171171766556229,0.0235873934443661,0,0
X11.HK.EQUITY,0,0,0,0,0,0.10228488994648,0,0.364493904341997,0,0,0,0,0,0,0,0,0,0,-0.100267276321163,0,0,0.0926615910446986,0.201418010464839,0,0,-0.0779367778192536,0,0,-0.00139225738715675,0,0.057626673645097
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.201850025392231,0,0,0,0,0,0,0.165192740227377,-0.150756943605219,0,0,0,0.382748650978486,-0.112125559455068,0,-0.194749257033901,0,-0.214849116968691,0,0,4.33680868994202e-19,-0.00581765866767017,0.166538149693437,0
X16.HK.EQUITY,0,0,0.034861693636811,0,0,0,0,0,0,0,0,0.24096158805249,0,0,0,0,0,0,0,0,0.519981995473526,0.109100240052492,0,0.422320889317543,-0.133315434958364,0.0780598896990068,-0.345075373213146,-0.0854432776873085,0.0363706076265759,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.137756571420363,0,-0.039322153764941,0,0,0,0,0,0,0,0,0,0.186573326507142,0,0.147543228598651,0,0,-0.012986267738774,-0.00531046549469437,0.0459683488022665,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.616995390692249,0,0,0,0.302939226936491,0,0,-0.0484725979524831,0.155251305964666,0.0160113611750024,-0.332427906313357,0,0,0,0,0,0,0.0243213373780659,0.016358903686126,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292474122991702,0,0,0,0,0,0,0,0,0,0,0,0,0.035510459310412,-0.077414088366754,-0.834682194097977,-0.426853418703618
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295026408080828,0,0,0,0,0,0.171766099393964,0,-0.135883713919829,0.00790763803450371,0,-0.169067767898164
VXFXI.INDEX,0,0,0,0,3.53848894685322,0,0,0,0,0,-0.168261780665113,0,-0.445190523846486,0,0,0,0,0,-0.0277956757648183,0,0,1.38703392038218,-0.167033521454962,0,0,0.615649490720815,-5.76383599724941,0,0.0789678432023972,0,-0.710625488660878
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.896762795381331,0,0,0,0,0,0,-1.13045941173732,0,0.105294967457464,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-0.0604611255087626,0,0,0,0,0,0,0,0,0,0,0,0.0601512828103018,0,0,-0.969468802155836,0,0.034096639795134,-0.0149612990572776,0,-0.786975040368028
CREDIT.SP,0,-1.38777878078145e-17,0,0,0,0,0,-0.166948764576486,0,0,-0.141257091036039,0,0,0,0,0,0,0,0,0.122545630643124,-0.309328323744728,0,0,0,0,-0.602141797257585,0,-0.024393748519663,-0.0124255570176291,-0.624795870046961,0
