,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0,0,0.116130274631386,0,0,0,0,0,0,0,0,0,0,0.344031812995372,0,0,0,0.334000811141058,0,0,0.396624799724413,0,0,0,0.0373243704426783,0,-0.00968267992333838,0.0123422108386312,0,0
X3328.HK.EQUITY,0,0,0,0.123567555442275,0,0,0,0,0,0,0,0,0,0,0,0,0.0132395303150067,0,0.125963851601226,0.0598293796633139,0,0.261660596648756,0,0.0334401994859932,0,0.0509993154541719,0,0.00335556451715411,-0.022452098244148,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568046136685958,0.0249398077441793,0,0,0,0.1732213472015,0.253348124516485,0.0928136163372882,0,-0.0228586007918432,-0.0308897626441304,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0589732997431978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431035022451888,0,0,0,0,0,0,0,-0.00941023948281946,0.0125107890884621,-0.00492122903401412,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.141980075024686,0,0,0,0,0,0.317902695970071,0,0,0.0951158206426526,0.0821299060627919,0,0.0601432715637279,0,0,0.0351015218174908,0,0,0.0094048490737606,-8.67361737988404e-19,0
X601319.CH.EQUITY,0.068152420767961,0,0,0,0,0,0,0,0,0,0,0.0751698396630217,0.400508642130367,0.418682225848988,0,0,0,0,0,0.107608618630395,0,-0.147665298577558,0,0.0444610652837416,0.0512325319054786,-0.0159578717057495,0,-0.0221110145219176,-0.0464491155770121,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.452612739391732,0.044156639244741,0,0.226900692437978,0,0.199650421582867,0,0,0,0,0,0,0,0.224435778366857,0.349805958124659,0,-0.0134231822247129,0,-0.022892568488962,0.00112215663664201,0,0.039340017111839
X16.HK.EQUITY,0,0,0,0,0,0,0.084335690213387,0,0,0,0,0.141545093720298,0,-0.313694323040006,0,0,0,0.18420445592316,-0.052292887178225,0,0,0.516324944510189,0,0,0.467195488878137,0.0762610876548143,-0.150497760995976,-0.0553759121616812,0.0215487391800971,0.0578090210428549,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.37407539468972,0,0,0,0,0,0,0,0,0.0176466840025428,0,0,0.0428043442325857,0,-0.013908058086174,0,-0.00750457231503372,0.0495980879012371,0.0235480991041115,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0684121061138677,0,0.451874984031146,0,0,0,0,0,-0.0230075401277576,0,0,0,0,0,0.49947877912472,-0.216927714806173,-0.0483564373948005,0,0.0306125246701889,-0.261295291479571,0,0,-0.0202832989735247,-0.0100460658041883,0.088281722941951,0
X000001.CH.EQUITY,0,0,0.521650044435302,0,0,0,0,0,0,0,0,0,0,0.200366855694317,0,0,0.299695701753505,0,0,-0.0461913614720384,0.0575014860295173,0,0,0,0,0,0,0,0.00714345951071347,-0.0316966271823085,0.0386408101206028
X267.HK.EQUITY,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0.286438668365645,0,-0.0283486988004799,0.0136452696797487,0,0,0,0,0.11971868503892,0,0.200277505125431,0.236889652642942,0,-0.135041435781745,0,0,0,0.00748412541806317,-0.00716282794593081,0.0101363034315627,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137227856940553,0,0,0,0,0,0,0,0,0,0,0,0.000315664205110569,0,-0.95528104033806,-0.863891165891029
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295026408080827,0,0,0,0,0,0.171766099393964,0,-0.135883713919829,0.00790763803450381,0,-0.169067767898164
VXFXI.INDEX,0,0,0,0,1.75228654299353,0,0,0,0,0,0,0,0,1.21129567912987,0,0,0,-0.657908333627141,-0.0928306100379583,0,0,0,1.16906005366972,0,0,0.656308299524223,-6.01211756201202,0,0,0,-0.573327599807943
TED.SP,-1.25386090590608,0,0,-2.21663445335313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570753825555836,0.282301311141142,0,0.191337171628417,0,0,-1.18244774190317,-0.647895823569302,0.0372546419571107,0,0,0.0777304881179957
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274847149216923,0,-0.807842933724464,0,-0.0207787342839922,0.00697198856818217,0,-0.938216505269534
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.12721778441664,0,0.167326337994979,0.0439003818555837,0,0,0,0,0,-0.604865695438267,-0.155582881338735,-0.0393919113906373,0.0094110771894426,-0.858182963094182,0
