,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X601108.CH.EQUITY,X9940.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X1463.TT.EQUITY,X1808.TT.EQUITY,X2520.TT.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY
X601878.CH.EQUITY,0,0,0.0190677443835849,0,0,0,0.00492911097352433,0,0,-0.0101671784239895,0,0.140384214023558,1.73472347597681e-18,0.0644617099012495,0,0.0300891599040848,0.35374668759777,0,0,0,0,-0.0278049340036671,0,0,0
X601377.CH.EQUITY,0.0315843837847819,0,0,0,0.0195952156381196,0,0,0,0,-0.0172644405919973,0,0,0.129625804974608,0.0582858156814936,0.00453641989777863,-0.0693956310207631,0.13824229420681,0,0,0,0.00399015292820012,0.022464637311182,0,-0.0673946787097057,0
X3040.TT.EQUITY,0.498901774275992,0,0,0,-0.0066241893395632,0,0,0,0,-0.0117448931916309,0,0,0,0,-0.0249004361573013,0,0.14473855384604,0,0,0,0.132849739881979,0.0323490676862149,0,0,0
X2501.TT.EQUITY,0,0,0,0,-0.0150085818976781,0,-0.0127512638064896,0,0,0,0,0,0.0687364648709881,0,0,0,0.893722547487861,0.204462815280289,0.226241084039703,0.595768381491375,0.0862428808653,-0.116171305230352,0,0,0
X2867.TT.EQUITY,0,-0.7276995706529,0,0,0,0,0.470686178114794,0,-10.7384054196561,-0.306078668709463,0,0,0,0,0,0,0,1.9671018386111,-6.39195368594483,0,-1.6071105998544,2.50830012422283,7.19698146095355,0,0
X2885.TT.EQUITY,0,0,0,0,0.0347415403623873,1.0181478767191,0,0,0,0,0,0,0,0,-0.043461812075232,0,0,0,-0.216925550933663,0.240916489015835,0,0.0464716709605986,0,0,0
X601108.CH.EQUITY,0.00582321268684112,0.0509487926675744,0,0,0,0,0,0,0.0884826300653403,-0.0115663945218175,0.0611718425881482,0.148198147128532,0,0.12441532042849,0,0,0,-0.0556631471554378,0,0.0937547173364501,0,0,0,0,0
X9940.TT.EQUITY,0.182978786967124,0.214774846158799,0,0,0.0647595498516866,0,-0.0697051562844893,0,0,0.0281642561782375,0,0,0,0.329273301390375,0.00583971681452072,0,0,0,0,0,0.0734276523411285,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,-0.000625364800795626,0,0.00921268177508193,0,0,0,0,0,0.147922061462372,0,0.00827733342516063,0,0,0.0792965646610108,0,0,0,0.0657116012610977,0,0,0
X2855.TT.EQUITY,0,0,0,0.0618566919837875,0.0342186398092538,0,0.0105156261247545,0,0,0.00124677387109428,0,0,0,0,-0.0266874465947218,0.180010238066825,0.669776504895366,-0.0504789314241046,0,0,0,0.0341423409197877,0,-0.459459556904018,0
X1463.TT.EQUITY,0,0,0,0,0,0,-0.0132622468373721,0,0,0.0125557950622338,-0.042721236075091,0,0.292194509414616,0.710103711981833,0.0816379604791795,0.430281340218168,0,0.240996548240255,0.835940779897959,0,0,-0.342644313920954,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0.0344377110378569,0,2.2526128508382,-0.0976467415663691,0,0,0.350943044876938,0,0.0670116131544156,0,0,-0.334940419761853,1.7897904215497,0,0,0,0,0,0
X2520.TT.EQUITY,0,0,0,0,0.0218507094243926,0,0,0,0,0,0,0,0.0862516206099293,0,0.019290594185673,0.0873509676972981,0,0.0834398181281047,0,0.0160908957150753,0,0.0713542598770608,0,0,0
