,X5880.TT.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X83.HK.EQUITY,X2548.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2867.TT.EQUITY,X601108.CH.EQUITY,X2855.TT.EQUITY,X2885.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X2505.TT.EQUITY,X000656.CH.EQUITY,X1808.TT.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X2820.TT.EQUITY
X2867.TT.EQUITY,2.15299597441116,0,0,9.46794558092753,-0.287233397878999,0.804901747299783,-10.9130720794546,0.197989952880753,-7.93542718388774,0,0,0,-8.79042371669615,0,0,0,0.513870914835553,0,3.00801931857738,0,0,3.69417346378023,0,0,-5.74906304832432
X601108.CH.EQUITY,0,0.019998283486793,0.0920153916255776,0,0,0,0.15667619588178,-0.00816733735069199,0,0.0749320246520936,0,0.0346642059799741,0,-2.16840434497101e-19,0,0.013488612140833,-0.0105457648529198,0.0670477474366001,-0.0525485608849057,0,0,0,0,0.0695559626978754,0
X2855.TT.EQUITY,0,0,0.198799589954121,0,0.0346305718243065,0.0220432752723819,0,0.0169666634418936,0,0,0,0.0528019704204591,0,0,0.412592841604274,0,0.362021288363925,0,-0.123513939289803,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0.0571094628598146,0.00213882712291669,0,-0.0204363999831304,1.69067618341319,0,0,0,-0.0227603822627302,-0.0351177057352944,0,0.193051007313634,0,0,0.13802493277608,0,0,0.0870262403306068,0,0,0
X2501.TT.EQUITY,0,0,0.045834250791293,0,0.00948823087650012,0,0,-0.019124941311613,0,0,0,0.226388911962808,0,0,0,0.318880075454847,0.16677131898166,0,0,0,0,-0.0771042705170642,0,0,0
X9940.TT.EQUITY,0,0.437970373143877,0,0,0.00236651851252413,0.0328043485574779,0,0,0,0,0,0,0,0.0192788627981218,0,0.44695009347835,0,0.282381544558671,0,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0,-0.00675947845301462,0.00508344504451677,0,-0.0156169415920563,0.195824935870341,0,0,0.065803512545144,0,0.0167018871845796,0,0.0333873719829652,-0.0265020605829746,0,0,0,0,0,0,0,0.155220926085818
X000656.CH.EQUITY,0,0,0.00745974102113869,0,0,-0.0357116381581892,0,-0.00233053777352912,0,-0.0127956181098024,0,0.0447562117111004,0.104140906401501,0.00206678724695207,0,0,0,0,0,0.0337586552117236,0,-0.0352573783189441,0,0,0.0287707354563896
X1808.TT.EQUITY,0,0,0,-0.669604667145928,-0.0851071201466924,0,2.40241419886998,0.0407689255926225,0,0,0,0.381863893307508,1.76177514639983,0.0632878067414897,0,0,0,0,-0.0564135083577878,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,-0.0071717799401585,0,0,0.00381492793514411,0,0,0,0.0586680235066128,0,0.00453920644714427,0.147003962845836,0,0.0526046312378269,0.00795810237380066,0.0299582095510849,0,0,-0.0308096833460444,0,0,0
X601162.CH.EQUITY,0,0,-8.67361737988404e-19,0,-0.00957250680066952,0.0239342117730501,0,0,0,0,0,0.0455191217666426,0,-0.00296450779577614,0.324596386954766,-0.0693403850961252,0.00482318698385961,0,-0.0671261197062389,0,0,-0.00303721215006256,0,0,0
X2820.TT.EQUITY,0,-0.0449037623691995,0,-0.287528048014641,-0.0436697112088389,0,-0.0873510743654288,0.0175377983806854,0,0,-0.0854842461843995,0,0,-0.00660507596899711,0,0,0.328853719546612,0,0,0.205526401797875,0,-0.0668280043836084,0,0,0
