,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964941966634737,0,0.283671269210877,0.139692638370587,0,0.168495231413483,0.144164409407076,0,0,0,0.041492399882546,0.0103840199973214,0.0157413203451106,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0969384460919378,0,0,0.194298943279819,0,0,0.40927430780644,0,0,0,0.027825828509451,0.257500949825459,0.200943786545969,0,0,-0.00868541283144765,0.00546191649152397,0,0
X601628.CH.EQUITY,0,0,0,0.264446814286111,0,0,0,0,0,0,0,0,0,0,0.160931608367771,0,0,0.106769625691451,0.162314609496509,0,0,0,0,0,0,0,-0.113168956213704,0,-0.00572829417449973,0.150209614057112,0.0208125069260186
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.036547189455849,0.139658122814126,0,0,0,0.137521600431123,0,0,0,0,0,0,0.0660999775558973,0.262600858589854,0.127095808018661,0,0,0.021059598509933,0,0.0606636766479376,-0.086122364924481
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.103008432340803,0,0,0,0,0,0.0771408691088186,0.189695128237352,0.250852950995746,0,0,0,0,0.105633572042213,0,-0.0335648188446993,0.0142354127551232,0,0
X3328.HK.EQUITY,0,0.0578782874776102,0,0,0,0,0,0,0,0,0,0.0567830641188956,0,0,0.0140136335966603,0,0,0,0.137582608382975,0.0318918015499834,0,0,-1.73472347597681e-18,0.25655290864187,0.0575323971957109,0.107596595279281,0,0.00260698017207894,-0.0468640230997459,0,0
X601328.CH.EQUITY,0,0,0,0,0.120229793762227,0,0,0.0582927685388659,0,0,0,0.0735516714602458,0,0,0.0703555287960074,0,0,0.112372405415436,0.0915270672538466,0.0712034536705788,0,0,0,0,0,0,0,-0.00243303689326386,0,-0.00833685139720974,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.228094614916197,0,0,0,0.255341192500204,0,0,0,0.0112451408133893,0.137914839226621,0.0884727779229464,0,0,0,0,0,0,0.0100152613138594,-0.0490144439270652,0,0
X601319.CH.EQUITY,0,0,0,0.137034549742488,0,0,0,0,0,0,0,0.0602151394739856,0.170968238051157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00712194882386674,-0.0490720913121914,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.238502928085194,0,0,0,0,0,0,0,0.372556481345753,0,0,0.111327929046343,0.0532519096356598,0,0,0,0.679953566601722,-0.00776911065245017,0.0608578583654741,-0.258146512192475,0
X601601.CH.EQUITY,0,0.218791633094629,0,0,0,0,0,0,0,0,0.182710129861368,0,0.181258574682466,0,0,0.464559499943413,0,0,0,0.0562620164920863,0,0,0,0,0,0,0,-0.010809831305749,-0.0160385519563675,0,0.0610888667961908
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.421253090355831,0,0,0,0.239724233690368,0,0,0,0,0,0,0.188389886168393,-3.46944695195361e-18,0,0,0,-0.31127594117509,0.0171800197225655,0,0,-0.0295354468282788,0,0,-0.0693827925124536
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0851990288046586,0,0.224681025129003,0,0,0,0,0,0,0,0,0,0.562433753549278,0,0,0,-0.0267114042443427,0.0551850181184055,0.0179754412882724,0
X11.HK.EQUITY,0.0638709849993658,0,0,0,0,0,0,0.524863959399894,0,0,-0.259355803493342,0,0,0.546653299144764,0,0,0,0,0,0,-0.0437005673827401,0,0,0,0,0,0,0.00850796779005087,-0.00406951103220971,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534300518129887,0,0.329464316997458,0,0,0,0,0,0,0,0,0,0.0203715575495715,0,0,0.0530611867531141,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089304010880481,0,0,0,0,0,0.0478936391842013,-0.0212409527660377,-0.765386900883826,-0.704233241116951
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.218632346305767,0,0,0.153430004996805,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.110542529122355,0.00631575703407729,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0.165147165799331,0,0,0,0,1.32024752368045,0,0,0,0,0,0,0,0,0,0,-5.74738615586608,0,0,-0.285974458780636,0
TED.SP,0,0,-0.184832739065101,-0.0458089470314883,0,0,0,0,0,0,0,0,1.85012327800058,0,0,0,0,0,-2.33778969237396,-0.673324553194959,0,0,0.250160403962933,0,0.115726443501916,0,0,0.084751119958192,0,0.146839171816843,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0620561894439777,0,0,0,0,0,0,0,0,0,0,0,-0.769136089813596,0,-0.0550839615987581,0,0,-0.723104534962321
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0655784903215699,0,0,0,0,0,0,0,-0.14109993628534,0,-0.693134902622678,0,-0.0450698589448027,0,-0.780808242069939,0
