,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X601878.CH.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X2548.TT.EQUITY,X5.HK.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X1808.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X601108.CH.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X000656.CH.EQUITY,X2520.TT.EQUITY,X600109.CH.EQUITY,X5871.TT.EQUITY,X600848.CH.EQUITY
X1808.TT.EQUITY,0.00734059379464074,0,0,0,-0.0701154086289351,0,0.634992812246532,0.0366270578495086,0.067614954282651,-0.234500383256651,0,0,0.104626047705756,0,0.0115913994431258,0,0.00723433138424777,-0.277714397282151,-0.112619218954421,0,0,0,0,0.659845180607319,0
X2880.TT.EQUITY,0.113780149557316,0.817426128089776,0,0,0.0271040330794894,0,0,0,0.0343513823356035,0.449699928893083,-0.193632675634292,0,0.113857984605171,0,0,-0.148849760829151,0,0,0,-0.0488673354014246,0,0,0,0,0
X2501.TT.EQUITY,0.195513561146968,0.427943027155945,0,0,-0.0882901389101295,0,0.0089869398457112,0,0,0,0.161943662116845,0.0607454769261456,0,0,0.0894947786660117,0,-0.0139603994674539,0,0.121791620013852,0,0,0,0,0,0
X601108.CH.EQUITY,0.052601706135396,0,0,0.0197883847062984,0,0.362178382514021,0,-0.000466910293145597,-0.0533200331525813,0,-0.0195775431718814,-1.73472347597681e-18,0.0454557089796923,0,0,0.232690895498488,0.00645435166059622,0,0,0.0376208205634549,0,0,0.0887068159560001,0,0
X1463.TT.EQUITY,0,-0.31208295892264,-0.5828653117157,-1.00033198545658,0.0304998769909088,0,0.301477941072525,0.10714242345764,-0.313851188402929,0,0.229334561195225,-1.73472347597681e-18,0.322948459316629,0,0,0,0.0941791244757266,0.993187942336247,0,0.244132306259573,-2.63294551658647,0,0,0,0
X2855.TT.EQUITY,0.115584457187758,0.101871859628257,0.0275215203909078,0,-0.00789805699354124,0,0,0,0.153638851174501,0,0.0917956374929153,0,0,0,0,0,0.0364967882097312,0,-0.320913011808022,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,-0.58610862794409,0.149947151902985,-0.579467175446489,0,0.00537879038705196,0,0,0.420889077875384,-0.244829448884075,0,0,0.133406179919819,1.36383250393564,0,0,0,0,2.82842857548512,0,0,0.495191518632981,0
X2885.TT.EQUITY,-0.179302882872426,0,0,0,0.0224604447283688,0,0,-0.00352021030246563,-0.0300972448642634,0,0,0.340297613172245,0,-0.0411875261865274,0,0,0.0123747375640271,0,-0.00597380071913733,0.260068951009139,0,0.561083498435551,0,0.28956301123349,0
X9940.TT.EQUITY,0.125298023586604,0,0,0,0,0,0,0.0269247666447416,0.196623961556079,0,0.109500100858754,0.0475946547886029,0.164256433018583,0,0.0268251485889564,0,0,0,0,0.150014306931559,0,0,0,0,0
X3040.TT.EQUITY,-0.250968227873741,0,0,0,0.0265049701163836,0.784098726752107,0,-0.0217748740369406,0,0,0.164242444337711,0.0876277595964004,0.21063946403443,0,0.0759752646160655,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,-0.0540515430366758,0.0165543891191371,0,0,0.0215376162858741,0,-0.0218168111346674,-0.0569909993573314,-0.0311146972689256,0.0936395819616307,0,0,0,0.00391934388741022,-0.0445829654228976,0,0.0727346725032838,0,0,0,0,0
X2520.TT.EQUITY,0,0,0.0446614677481749,0,0.000820737131577712,0,-0.0168609753672224,0,0.0226844065062805,0.054651718596177,0,-0.0222325802120749,0,0,0.0440631761077562,0,0.00203172711802423,-0.0123807245119428,0.00892631518211652,0,0,0,0,0,0
X600109.CH.EQUITY,0.0164487564578438,0,0,0.0980056135349976,0.000990604164456384,0,0,0.0285823183943984,-0.0491959196329793,0,0,0,0.00430610328066604,0.23255483383547,0.0233663884804833,0,-0.000410357657849579,0,0,0.0951855805250393,0,0,0,0,0
X5871.TT.EQUITY,0.0288664253368448,0.0424410260932115,0,0,0,0,0,0.0238157474695724,0.0482303425281207,0,0,0.0954770513071028,0.00744021671990889,0,0,0,0.0179473894784843,0.0342241011054265,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.0114514597439096,-0.00821364162884329,0,0,0.0188423626869537,0,-0.0276662499173652,0.0320914297286569,0,0,0,-0.00860687522413609,0,0,0,0,0.0225923348834705,0,-0.103255886388616,0,0,0
