,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5.HK.EQUITY,X6005.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X000656.CH.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X1463.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X2520.TT.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X1463.TT.EQUITY,0,-0.163303386897821,0,-0.107113844444342,0.109981427962561,0,1.05077315551339,0,-3.46944695195361e-18,0,0.661582056578809,0,0,0,0,0,0.698146232943156,-1.76254799783614,0,0.0321696354834614,0,0,0,0,-1.14520315364818
X2867.TT.EQUITY,0,0,0,0.253215690633253,-0.0513347943975241,-1.61995629644311,0,0,-1.69855261600988,-1.43856080575713,0,0,0,1.22111294873422,-2.32763742415435,0,0,0,3.62446289285396,0,0,-11.1421366396176,11.757156205562,0,0
X2885.TT.EQUITY,0,0,0,0,0.0456915064579218,6.93889390390723e-18,1.1554530153899,0,0,0,0,0,0.396031161340306,0.253563575482888,0,-0.0429875640139629,0,0,0,-0.215630420450592,0,-0.065202898509671,0,0,0
X601878.CH.EQUITY,0,-8.67361737988404e-19,0.013528675376354,0,-0.0303207860165596,0,0,-0.055727071412664,0.462789449993956,0,1.73472347597681e-18,0,0,-0.0510625555498128,0,0,0.0282918775961161,0,0,0,0.390136692003129,0,0,0,-0.0398833564003052
X9940.TT.EQUITY,0.218149931289159,0,0,-0.00426126530176773,0.0327439964691985,0.115396349223305,0,0,0,0,0.218964911636043,0,0,0.129688683654563,0.0233763226024278,0.0203790309282773,0.0638372963456292,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0.0574726835570005,0,0.00246455363202392,-0.0177217383944459,0,0,-0.0723989559082114,0.240879541515661,0,0.0270763832137125,0,0,0.171516221624715,0.161262054468698,-0.0173571573224564,0,0,0,0,0.170135521213039,0,0,0,0
X601108.CH.EQUITY,0.00305400931179778,0.00650617013791684,0,0.00101368279553784,0.0153823299451053,0,0,0,0.342014331543122,0,0.058500037115129,0,0.237452110550959,0,0,0.00459819922663488,0.0155277591711962,0.00674743475911115,0,0.0554179081299601,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0.00126767794917977,0,0.0227053872415329,0,0,0,0,0,0,0,0.0804135948290061,0,0.011232418965393,0,0,0.0887879454655256,0.161226071207464,0,0,0,0,0
X2520.TT.EQUITY,0,0,0,0.00115876011128794,-0.0123784029006095,0,0,0,0,-0.0622430937725038,0.00470990348503916,0,0,0.0738443020009249,-0.0478759867758004,0.0142636872081937,0.0784906696751184,0,0.0896579704798937,0,0,0,0,0,0
X600848.CH.EQUITY,0,0.0153960893798788,0,-0.00128638420533904,0,0,0,-0.0374575661641635,0.087742539840573,0,0.0299343608064445,0,0,0.022784019953755,-0.00790717861130671,0,0,0,0,0.0660121608767444,0,0,0,0,0
X2820.TT.EQUITY,0,0,0.48196310329453,-0.00847308544852013,-0.0193140505320038,-0.145564384840043,0,-0.156742291522228,-0.479978019840954,0,0,0,-0.124137335090362,0,0.0445865611761101,-0.0174853934605491,0,-0.219554625318221,0.218251383428839,0.00875347674670093,0,0,0,0,0
