Date,SHIBOR3M,AA10Y,AA+10Y,A10Y,A+10Y,AA-10Y,AAA10Y,AAA2Y,A2Y,A+10Y,AA-2Y,AA2Y,A+2Y,AAA6M,CGB6M,CGB3M,CGB2Y,CGB10Y
2019-03-18,2.814,5.5572,4.8996,11.5721,9.6417,7.6533,4.4532,3.4632,10.0872,8.0593,6.0658,4.0524,3.7292,3.0577,2.2368,2.148,2.6261,3.1325
2019-03-19,2.823,5.5596,4.8941,11.5614,9.6303,7.6604,4.4682,3.4608,10.0562,8.0251,6.0443,4.0168,3.697,3.0405,2.2768,2.1509,2.6206,3.1347
2019-03-20,2.833,5.5411,4.8949,11.5421,9.6257,7.6385,4.4805,3.4667,10.0195,8.0278,6.0184,4.024,3.6917,3.0914,2.2426,2.1812,2.6466,3.1435
2019-03-21,2.838,5.5556,4.8648,11.5562,9.6195,7.5701,4.4488,3.4592,10.0455,8.0143,6.0079,4.0159,3.6934,3.0825,2.1502,2.1755,2.616,3.1305
2019-03-22,2.837,5.5712,4.8295,11.5378,9.5963,7.5532,4.4466,3.4498,9.9852,7.9981,5.9986,4.0236,3.6738,3.0761,2.2407,2.1937,2.6065,3.1132
2019-03-25,2.836,5.5748,4.8395,11.4655,9.6102,7.5769,4.4528,3.4471,9.9427,8.0142,6.0072,3.968,3.6699,3.0121,2.2365,2.1395,2.624,3.0883
2019-03-26,2.828,5.5826,4.8271,11.5092,9.5847,7.5948,4.4256,3.4103,9.9821,7.9848,6.0117,3.9796,3.6525,2.9748,2.2514,2.1448,2.6095,3.0582
2019-03-27,2.819,5.5686,4.8199,11.601,9.5587,7.5973,4.4176,3.4223,10.0482,7.9957,6.0196,3.9796,3.6337,2.9932,2.2819,2.1146,2.5762,3.0929
2019-03-28,2.807,5.5671,4.8041,11.6059,9.532,7.5826,4.3966,3.4131,10.0338,7.9946,6.0151,3.9789,3.6394,2.9411,2.2767,2.1429,2.567,3.0633
2019-03-29,2.801,5.5477,4.8096,11.5789,9.5326,7.5834,4.382,3.3853,10.0153,8.0073,5.99,3.9594,3.628,2.9112,2.2152,2.1666,2.5761,3.0633
2019-04-01,2.795,5.581,4.842,11.5899,9.5067,7.5638,4.4339,3.3874,9.9994,7.9415,5.9888,3.9836,3.6401,2.8827,2.2529,2.1644,2.5974,3.1332
2019-04-02,2.786,5.5839,4.843,11.6041,9.5229,7.5712,4.4435,3.4251,9.976,7.9296,5.966,3.9588,3.6409,2.8894,2.0737,2.1196,2.6413,3.1729
2019-04-03,2.767,5.6459,4.8396,11.6541,9.5267,7.6072,4.4531,3.4633,10.017,7.947,6.0105,3.959,3.6911,2.913,2.2488,2.1308,2.7236,3.2427
2019-04-04,2.758,5.6786,4.8562,11.6534,9.5206,7.6424,4.4486,3.4834,9.9826,7.9256,5.9817,3.972,3.6784,2.9037,2.2113,2.1332,2.7468,3.2729
2019-04-05,,,,,,,,,,,,,,,,,,
2019-04-08,2.754,5.685,4.8792,11.6882,9.5603,7.6443,4.4823,3.516,10.018,7.9785,5.9724,3.9987,3.7039,2.8926,2.2426,2.1409,2.7119,3.2532
2019-04-09,2.751,5.7408,4.9125,11.716,9.5743,7.6844,4.4915,3.5781,10.0333,7.9754,5.9848,4.0284,3.7367,2.8891,2.2381,2.1565,2.7148,3.2832
2019-04-10,2.755,5.7464,4.9152,11.7088,9.6419,7.6879,4.5348,3.6255,10.0306,8.0177,5.9787,4.0163,3.7327,2.9408,2.2656,2.1034,2.7537,3.3033
2019-04-11,2.76,5.7524,4.9668,11.6743,9.6739,7.7176,4.5492,3.6373,10.0001,8.03,5.9895,4.0154,3.7901,2.9358,2.2412,2.1481,2.6978,3.2836
2019-04-12,2.761,5.727,4.9638,11.6855,9.6682,7.713,4.5514,3.6337,10.0033,8.0656,5.99,4.0174,3.7785,2.9418,2.2467,2.1577,2.7412,3.3145
2019-04-15,2.768,5.7208,5.0121,11.7803,9.7731,7.7348,4.5979,3.6889,10.0957,8.0714,6.0387,4.0761,3.8318,3.0427,2.3604,2.1357,2.7928,3.3638
2019-04-16,2.774,5.756,5.0466,11.7761,9.7298,7.7481,4.6322,3.729,10.1049,8.0289,6.043,4.0966,3.8603,3.081,2.2848,2.2172,2.845,3.4026
2019-04-17,2.787,5.7563,5.0543,11.7483,9.771,7.7753,4.6571,3.7425,10.0973,8.0567,6.0713,4.1087,3.893,3.0891,2.3408,2.2449,2.8727,3.3839
2019-04-18,2.806,5.7825,5.0605,11.7775,9.7536,7.7811,4.6382,3.7616,10.1377,8.0707,6.1009,4.112,3.8958,3.0942,2.4556,2.2619,2.9331,3.3637
2019-04-19,2.817,5.7757,5.0514,11.8041,9.702,7.78,4.6012,3.7311,10.1695,8.0574,6.1015,4.117,3.8687,3.0947,2.4497,2.23,2.8557,3.3666
2019-04-22,2.822,5.7777,5.0507,11.7838,9.7451,7.8016,4.607,3.7207,10.1583,8.0834,6.1297,4.1242,3.8638,3.0731,2.4356,2.1789,2.8589,3.4036
2019-04-23,2.833,5.7818,5.0477,11.7873,9.7401,7.8083,4.6176,3.7458,10.1623,8.0574,6.1091,4.1092,3.8586,3.0995,2.371,2.0879,2.8596,3.4046
2019-04-24,2.855,5.7787,5.0544,11.8035,9.7066,7.8071,4.6275,3.743,10.1616,8.0121,6.1214,4.1135,3.8684,3.1146,2.3774,2.1486,2.8514,3.4434
2019-04-25,2.88,5.8069,5.0418,11.8023,9.7402,7.8188,4.6299,3.7515,10.127,8.0406,6.1345,4.1259,3.9063,3.1806,2.3861,2.1595,2.8422,3.4192
2019-04-26,2.896,5.7816,5.0477,11.8084,9.7559,7.8035,4.5985,3.7294,10.13,8.0589,6.1114,4.1198,3.9123,3.1739,2.4067,2.1625,2.8057,3.409
2019-04-29,2.923,5.7945,5.0637,11.7562,9.7823,7.7986,4.6712,3.7557,10.0587,8.1041,6.1098,4.103,3.9575,3.2634,2.4268,2.1823,2.8897,3.4243
2019-04-30,2.93,5.7299,5.0367,11.7738,9.7207,7.7523,4.6152,3.673,10.0589,8.0168,6.0381,4.0313,3.9073,3.2569,2.4796,2.2688,2.8856,3.385
2019-05-01,,,,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,
2019-05-06,2.934,5.7072,5.0172,11.7072,9.7572,7.7172,4.5972,3.6382,10.0261,8.0506,6.0223,4.0122,3.8439,3.2309,2.3981,2.2482,2.8266,3.3452
2019-05-07,2.922,5.6694,4.9794,11.6694,9.7194,7.6794,4.5594,3.6164,9.989,8.014,5.9782,3.9936,3.8204,3.1827,2.4599,2.2217,2.8844,3.3553
2019-05-08,2.91,5.6545,4.9645,11.6545,9.7045,7.6645,4.5445,3.6203,10.0191,8.0459,5.9981,4.0363,3.8056,3.1548,2.4255,2.2348,2.8793,3.3456
2019-05-09,2.903,5.6167,4.9267,11.6167,9.6667,7.6267,4.5067,3.5839,9.9743,8,5.9646,3.997,3.7724,3.1897,2.4406,2.2336,2.8579,3.3306
2019-05-10,2.895,5.6119,4.9219,11.6119,9.6619,7.6219,4.5019,3.5907,9.9586,7.984,5.9269,3.9885,3.7584,3.1542,2.4593,2.235,2.8406,3.3163
2019-05-13,2.889,5.5894,4.8994,11.5894,9.6394,7.5994,4.4794,3.584,9.946,7.9715,5.9461,3.9977,3.763,3.1664,2.4355,2.2872,2.868,3.2758
2019-05-14,2.891,5.5921,4.9021,11.5921,9.6421,7.6021,4.4821,3.5674,9.9373,7.9628,5.9225,3.9458,3.7212,3.1745,2.5243,2.3549,2.8847,3.2829
2019-05-15,2.893,5.5831,4.8931,11.5831,9.6331,7.5931,4.4731,3.5592,9.9097,7.935,5.8876,3.9246,3.7082,3.1771,2.5172,2.3347,2.8602,3.2761
2019-05-16,2.896,5.5803,4.8903,11.5803,9.6303,7.5903,4.4703,3.5614,9.9122,7.9377,5.9285,3.9197,3.6897,3.1854,2.4897,2.3214,2.8325,3.2664
2019-05-17,2.9,5.5775,4.8875,11.5775,9.6275,7.5875,4.4675,3.563,9.9183,7.9438,5.9072,3.9082,3.6834,3.189,2.4456,2.314,2.8404,3.2662
2019-05-20,2.9,5.5702,4.8802,11.5702,9.6202,7.5802,4.4602,3.5544,9.8995,7.9246,5.8942,3.8948,3.6955,3.1933,2.4465,2.3011,2.8385,3.2715
2019-05-21,2.9,5.5691,4.8791,11.5691,9.6191,7.5791,4.4591,3.5564,9.8874,7.912,5.8813,3.8985,3.7088,3.205,2.4233,2.2867,2.8507,3.296
2019-05-22,2.903,5.5834,4.8934,11.5834,9.6334,7.5934,4.4734,3.5687,9.9014,7.9262,5.8775,3.8567,3.7223,3.21,2.4035,2.2926,2.8501,3.3236
2019-05-23,2.901,5.5373,4.8873,11.5773,9.6273,7.5873,4.4673,3.5941,9.913,7.9379,5.8866,3.8734,3.7441,3.2201,2.4117,2.3117,2.8607,3.3044
2019-05-24,2.902,5.5259,4.8759,11.5659,9.6159,7.5759,4.4559,3.5974,9.9192,7.9448,5.891,3.8747,3.7427,3.1764,2.4174,2.326,2.8498,3.3072
2019-05-27,2.904,5.5536,4.9036,11.5936,9.6436,7.6036,4.4836,3.6182,9.9688,7.9948,5.9156,3.9072,3.7692,3.2057,2.3943,2.3049,2.8875,3.356
2019-05-28,2.915,5.544,4.894,11.584,9.634,7.594,4.474,3.6354,9.9324,7.9584,5.9154,3.8894,3.7732,3.2145,2.4317,2.3716,2.914,3.3146
2019-05-29,2.917,5.5442,4.8942,11.5842,9.6342,7.5942,4.4742,3.6458,9.9018,7.9269,5.9394,3.8922,3.7849,3.2116,2.5262,2.3969,2.8389,3.2879
2019-05-30,2.916,5.5447,4.8947,11.5847,9.6347,7.5947,4.4747,3.636,9.9022,7.9277,5.9213,3.8931,3.7978,3.1861,2.5523,2.411,2.8287,3.2748
2019-05-31,2.912,5.52,4.87,11.55,9.6,7.56,4.45,3.6179,9.8755,7.9014,5.8704,3.8694,3.7615,3.1878,2.5707,2.4128,2.783,3.2697
2019-06-03,2.904,5.5276,4.8776,11.5576,9.6076,7.5676,4.4576,3.6127,9.9096,7.9363,5.8904,3.8822,3.7558,3.1941,2.4724,2.4222,2.8416,3.2432
2019-06-04,2.902,5.5309,4.8809,11.5609,9.6109,7.5709,4.4609,3.6012,9.8985,7.9249,5.8843,3.8651,3.7455,3.1936,2.4776,2.405,2.8335,3.2104
2019-06-05,2.916,5.5179,4.8679,11.5479,9.5979,7.5579,4.4479,3.6003,9.8876,7.9136,5.8785,3.8641,3.7286,3.2141,2.4746,2.4064,2.8354,3.2102
2019-06-06,2.924,5.5162,4.8662,11.5462,9.5962,7.5562,4.4462,3.6167,9.8918,7.9182,5.8831,3.8666,3.7315,3.2093,2.468,2.3834,2.8303,3.2049
2019-06-07,,,,,,,,,,,,,,,,,,
2019-06-10,2.932,5.5316,4.8816,11.5616,9.6116,7.5716,4.4616,3.6022,9.8974,7.9239,5.8749,3.882,3.7265,3.2147,2.453,2.4382,2.8538,3.22
2019-06-11,2.94,5.5446,4.8946,11.5746,9.6246,7.5846,4.4746,3.6156,9.9219,7.949,5.8907,3.9197,3.7358,3.2225,2.4701,2.4348,2.8642,3.2602
2019-06-12,2.943,5.5243,4.8743,11.5543,9.6043,7.5643,4.4543,3.6057,9.9,7.9266,5.8919,3.899,3.7341,3.2249,2.4727,2.4512,2.8661,3.2597
2019-06-13,2.944,5.5185,4.8685,11.5485,9.5985,7.5585,4.4485,3.6143,9.8934,7.9192,5.8923,3.8794,3.7376,3.2402,2.4963,2.4567,2.867,3.248
2019-06-14,2.947,5.5241,4.8741,11.5541,9.6041,7.5641,4.4541,3.6289,9.9045,7.9307,5.9219,3.9058,3.7641,3.241,2.5261,2.3941,2.8764,3.2301
2019-06-17,2.947,5.5555,4.8955,11.5655,9.6155,7.5755,4.4755,3.6359,9.9557,7.9832,5.9815,3.9487,3.778,3.2217,2.5136,2.4602,2.856,3.2255
2019-06-18,2.943,5.5544,4.8944,11.5644,9.6144,7.5744,4.4744,3.6319,9.9649,7.9921,5.9664,3.9737,3.7812,3.1998,2.5477,2.483,2.8539,3.2428
2019-06-19,2.929,5.5635,4.9035,11.5735,9.6235,7.5835,4.4835,3.6041,9.9758,8.0042,5.9222,3.9465,3.7319,3.0932,2.5448,2.4528,2.8491,3.2426
2019-06-20,2.911,5.5458,4.8858,11.5558,9.6058,7.5658,4.4658,3.5641,9.9892,8.0184,5.9378,3.954,3.703,2.9957,2.4991,2.3454,2.8178,3.2319
2019-06-21,2.895,5.5432,4.8832,11.5532,9.6032,7.5632,4.4632,3.5701,10.0011,8.0298,5.975,3.9772,3.7104,2.993,2.446,2.3544,2.8038,3.2365
2019-06-24,2.859,5.5216,4.8616,11.5316,9.5816,7.5416,4.4416,3.5365,9.9648,7.9928,5.945,3.9349,3.6656,2.9193,2.4129,2.2952,2.8339,3.2458
2019-06-25,2.809,5.5024,4.8424,11.5124,9.5624,7.5224,4.4224,3.5265,9.9367,7.9632,5.9602,3.965,3.6438,2.9872,2.3908,2.3163,2.8289,3.2351
2019-06-26,2.758,5.4849,4.8249,11.4949,9.5449,7.5049,4.4049,3.5103,9.9305,7.9576,5.9247,3.9376,3.6389,2.9336,2.404,2.249,2.828,3.2451
2019-06-27,2.722,5.4555,4.7955,11.4655,9.5155,7.4755,4.3755,3.4947,9.9354,7.9631,5.9556,3.9276,3.6243,2.9362,2.393,2.3093,2.8432,3.2553
2019-06-28,2.708,5.4431,4.7831,11.4531,9.5031,7.4631,4.3631,3.4715,9.9734,8.0013,5.9555,3.941,3.6617,2.9089,2.3708,2.3019,2.8251,3.2303
2019-07-01,2.681,5.4375,4.7975,11.4675,9.5175,7.4775,4.3775,3.4896,9.9431,7.9709,6.0067,3.9692,3.6685,2.8747,2.3742,2.2208,2.8383,3.2199
2019-07-02,2.657,5.4207,4.7807,11.4507,9.5007,7.4607,4.3607,3.4822,9.9282,7.9565,5.9791,3.9433,3.6331,2.7923,2.3436,2.2063,2.8095,3.171
2019-07-03,2.641,5.4016,4.7616,11.4316,9.4816,7.4416,4.3416,3.4397,9.9142,7.9416,5.9695,3.9682,3.6162,2.8818,2.3421,2.1827,2.775,3.1511
2019-07-04,2.627,5.4164,4.7764,11.4464,9.4964,7.4564,4.3564,3.4095,9.8935,7.9211,5.9348,3.9395,3.6208,2.8153,2.2765,2.0639,2.7704,3.1505
2019-07-05,2.606,5.4127,4.7727,11.4427,9.4927,7.4527,4.3527,3.4099,9.8837,7.9113,5.9069,3.9352,3.5826,2.7987,2.242,2.0725,2.7964,3.1654
2019-07-08,2.603,5.4308,4.7908,11.4608,9.5108,7.4708,4.3708,3.4362,9.8836,7.9104,5.9415,3.9387,3.6088,2.8527,2.2366,2.2233,2.8142,3.1803
2019-07-09,2.601,5.4158,4.7758,11.4458,9.4958,7.4558,4.3558,3.4501,9.9094,7.9362,5.9438,3.9569,3.6215,2.8585,2.2145,2.0767,2.8225,3.1704
2019-07-10,2.6,5.4171,4.7771,11.4471,9.4971,7.4571,4.3571,3.4356,9.907,7.9334,5.9371,3.9543,3.615,2.894,2.2744,2.067,2.813,3.1708
2019-07-11,2.6,5.4102,4.7602,11.4402,9.4902,7.4502,4.3602,3.4119,9.9115,7.9381,5.9617,3.9778,3.6266,2.8945,2.2975,2.0446,2.7901,3.1616
2019-07-12,2.6,5.4214,4.7714,11.4514,9.5014,7.4614,4.3614,3.4363,9.932,7.9589,5.9708,3.9835,3.6176,2.9296,2.2696,2.0673,2.7907,3.1577
2019-07-15,2.6,5.3973,4.7473,11.4373,9.4873,7.4473,4.3473,3.4386,9.9143,7.941,5.9581,3.9707,3.6156,2.8953,2.2832,2.0639,2.8068,3.1762
2019-07-16,2.609,5.3853,4.7553,11.4253,9.4753,7.4353,4.3353,3.4247,9.9046,7.9313,5.9425,3.9412,3.6153,2.9106,2.2741,2.0533,2.8053,3.1779
2019-07-17,2.613,5.3863,4.7563,11.4263,9.4763,7.4363,4.3263,3.4377,9.9401,7.9668,5.9373,3.9614,3.6208,2.91,2.2673,2.068,2.8084,3.1768
2019-07-18,2.623,5.3874,4.7574,11.4274,9.4774,7.4374,4.3274,3.4424,9.9429,7.97,5.9343,3.9694,3.6229,2.9008,2.3092,2.1431,2.8025,3.1636
2019-07-19,2.631,5.386,4.756,11.426,9.476,7.436,4.326,3.4251,9.9626,7.9901,5.9671,3.9642,3.6101,2.8943,2.3077,2.1848,2.8024,3.1609
2019-07-22,2.628,5.3805,4.7505,11.4105,9.4605,7.4205,4.3205,3.4345,9.9749,8.0029,5.9653,3.9632,3.6094,2.8852,2.3134,2.1679,2.7953,3.1527
2019-07-23,2.628,5.3822,4.7522,11.4122,9.4622,7.4222,4.3222,3.4222,9.9463,7.974,5.9629,3.9611,3.5993,2.8835,2.3115,2.1958,2.7929,3.1479
2019-07-24,2.625,5.3847,4.7547,11.4147,9.4647,7.4247,4.3247,3.4221,9.9442,7.9719,5.9491,3.9466,3.5906,2.8862,2.3011,2.1971,2.8113,3.1662
2019-07-25,2.625,5.3772,4.7372,11.4072,9.4572,7.4172,4.3172,3.4181,9.924,7.9513,5.9384,3.9334,3.5762,2.8858,2.3087,2.2095,2.798,3.166
2019-07-26,2.629,5.3756,4.7356,11.4056,9.4556,7.4156,4.3156,3.4118,9.9344,7.9621,5.9265,3.9352,3.5726,2.9016,2.322,2.2282,2.8005,3.1635
2019-07-29,2.631,5.3821,4.7421,11.4121,9.4621,7.4221,4.3221,3.412,9.9155,7.9419,5.917,3.9366,3.566,2.9281,2.3488,2.2339,2.8002,3.1858
2019-07-30,2.636,5.3893,4.7493,11.4193,9.4693,7.4293,4.3293,3.4134,9.9303,7.9571,5.94,3.9405,3.5544,2.9035,2.3231,2.202,2.8054,3.1813
2019-07-31,2.644,5.3855,4.7455,11.4155,9.4655,7.4255,4.3255,3.4009,9.9051,7.9322,5.9048,3.9227,3.5422,2.8744,2.2947,2.2395,2.7943,3.1562
2019-08-01,2.646,5.3647,4.7247,11.3947,9.4447,7.4047,4.3047,3.3795,9.8818,7.9082,5.8956,3.9205,3.5341,2.8791,2.3379,2.2221,2.7847,3.1465
2019-08-02,2.649,5.3387,4.6987,11.3687,9.4187,7.3787,4.2787,3.376,9.858,7.8847,5.879,3.8686,3.5093,2.8832,2.3584,2.2024,2.7645,3.1012
