Date,FXI US EQUITY,VXFXI INDEX,CN10YR,CN2YR
2019/6/26,42.32,22.07,3.34,2.752
2019/6/27,42.79,21.96,3.348,2.761
2019/6/28,42.77,22.56,3.348,2.743
2019/7/1,43.4,18.68,3.338,2.739
2019/7/2,43.29,17.88,3.305,2.732
2019/7/3,43.13,17.47,3.274,2.697
2019/7/4,37.92,32.845,3.267,2.684
2019/7/5,42.63,17.78,3.277,2.693
2019/7/8,42.31,18.56,3.294,2.727
2019/7/9,42.06,18.93,3.282,2.711
2019/7/10,42.18,17.77,3.276,2.703
2019/7/11,41.97,17.49,3.275,2.69
2019/7/12,42.13,16.93,3.284,2.693
2019/7/15,42.25,16.89,3.305,2.713
2019/7/16,42.18,16.6,3.315,2.709
2019/7/17,42.13,16.91,3.307,2.715
2019/7/18,42.24,17.61,3.283,2.709
2019/7/19,42.47,18.04,3.268,2.717
2019/7/22,42.08,18.97,3.271,2.702
2019/7/23,42.32,18.74,3.267,2.702
2019/7/24,42.46,18.3,3.276,2.715
2019/7/25,42.17,19.11,3.281,2.71
2019/7/26,42.23,19.54,3.281,2.715
2019/7/29,41.92,19.49,3.3,2.734
2019/7/30,41.66,19.76,3.299,2.728
2019/7/31,41.1,18.75,3.275,2.713
2019/8/1,40.17,22.32,3.271,2.714
2019/8/2,39.86,21.59,3.227,2.694
2019/8/5,38.3,28.51,3.181,2.664
2019/8/6,38.66,25.78,3.167,2.667
2019/8/7,38.85,24.69,3.17,2.665
2019/8/8,39.18,22.29,3.165,2.652
2019/8/12,38.26,24.65,3.154,2.661
2019/8/13,38.87,22.97,3.134,2.664
2019/8/14,37.67,26.9,3.12,2.666
2019/8/15,38.19,25.19,3.121,2.666
2019/8/16,38.6,23.7,3.131,2.678
2019/8/19,39.15,21.95,3.117,2.671
2019/8/20,39.01,21.28,3.119,2.665
2019/8/21,39.35,19.98,3.137,2.687
2019/8/22,39.05,20.68,3.159,2.681
2019/8/23,38.34,25.63,3.165,2.677
2019/8/26,38.89,23.58,3.143,2.669
2019/8/27,38.9,23.79,3.148,2.68
2019/8/28,38.85,23,3.15,2.681
2019/8/29,39.13,22.05,3.138,2.684
2019/8/30,39.12,22.22,3.156,2.691
2019/9/2,37.92,32.845,3.17,2.698
2019/9/3,39.13,22.05,3.184,2.702
2019/9/4,40.05,20.41,3.175,2.696
2019/9/5,40.53,19.79,3.133,2.661
2019/9/6,40.61,19.59,3.123,2.653
2019/9/9,40.69,18.73,3.122,2.659
2019/9/10,40.71,18.7,3.145,2.673
2019/9/11,41.33,18.09,3.149,2.667
2019/9/12,41.48,17.79,3.175,2.68
2019/9/16,41.46,19.76,3.203,2.68
2019/9/17,41.26,19.43,3.198,2.663
2019/9/18,40.98,18.91,3.226,2.675
2019/9/19,40.69,18.5,3.232,2.662
2019/9/20,40.54,18.44,3.225,2.662
2019/9/23,40.53,18.42,3.221,2.648
2019/9/24,40.04,19.96,3.222,2.656
2019/9/25,40.18,20.08,3.233,2.656
2019/9/26,39.91,20.08,3.24,2.657
2019/9/27,39.45,21.98,3.25,2.653
2019/10/8,39.69,22.59,3.243,2.655
2019/10/9,40.25,22.08,3.23,2.649
2019/10/14,41.15,19.42,3.284,2.683
2019/10/15,41.54,17.87,3.275,2.68
2019/10/16,41.52,17.87,3.275,2.682
2019/10/17,41.69,18.1,3.264,2.666
2019/10/18,41.24,17.65,3.277,2.673
2019/10/21,41.72,17.76,3.315,2.699
2019/10/22,41.38,18.44,3.335,2.709
2019/10/23,41.26,18.39,3.325,2.701
2019/10/24,41.23,18.51,3.316,2.696
2019/10/25,41.49,18.2,3.324,2.694
2019/10/28,41.88,18.87,3.364,2.728
2019/10/29,41.46,19.19,3.389,2.758
2019/10/30,41.33,19.05,3.437,2.8
2019/10/31,41.15,19.04,3.397,2.777
2019/11/1,42,19.5,3.37,2.761
2019/11/4,42.51,20.36,3.394,2.774
2019/11/5,42.77,20.18,3.372,2.751
2019/11/6,42.69,19.57,3.343,2.737
2019/11/7,43.05,19.04,3.35,2.745
2019/11/8,42.74,19.31,3.36,2.759
2019/11/11,42.08,20.65,3.342,2.745
2019/11/12,41.71,21.4,3.344,2.753
2019/11/13,41.15,22.16,3.334,2.75
2019/11/14,41.04,21.55,3.326,2.767
2019/11/15,41.13,20.28,3.328,2.759
2019/11/18,41.26,19.97,3.28,2.731
2019/11/19,41.68,20.18,3.233,2.705
2019/11/20,41.45,19.76,3.227,2.684
2019/11/21,41.39,19.92,3.218,2.679
2019/11/22,41.32,19.37,3.221,2.677
2019/11/25,42.01,19.33,3.244,2.704
2019/11/26,42.11,19.46,3.247,2.71
2019/11/27,42.07,19.36,3.241,2.71
2019/11/28,37.92,32.845,3.24,2.712
2019/11/29,40.94,19.89,3.234,2.705
2019/12/2,40.95,19.69,3.266,2.716
2019/12/3,40.71,20.63,3.267,2.722
2019/12/4,40.88,20.47,3.247,2.705
2019/12/5,40.9,19.28,3.245,2.696
2019/12/6,41.24,19.3,3.252,2.706
2019/12/9,41.05,19.67,3.261,2.711
2019/12/10,41.21,19.48,3.237,2.699
2019/12/11,41.98,19.75,3.228,2.691
2019/12/12,42.78,21.19,3.227,2.68
2019/12/13,42.6,18.68,3.245,2.679
2019/12/16,42.34,17.23,3.242,2.692
2019/12/17,42.88,17.44,3.261,2.702
2019/12/18,43,17.31,3.26,2.694
2019/12/19,42.91,16.79,3.253,2.687
2019/12/20,43.08,16.64,3.228,2.66
2019/12/23,43.04,16.33,3.215,2.636
2019/12/24,43.12,16.2,3.214,2.614
2019/12/25,37.92,32.845,3.205,2.607
2019/12/26,43.55,17.47,3.184,2.594
2019/12/27,43.71,18.3,3.184,2.583
2019/12/30,43.49,18.59,3.222,2.592
2019/12/31,43.63,19.54,3.216,2.584
2020/1/2,44.88,18.28,3.231,2.584
2020/1/3,43.91,19.57,3.224,2.552
2020/1/6,44.12,19.55,3.211,2.533
2020/1/7,44.01,18.75,3.21,2.53
2020/1/8,43.98,18.34,3.208,2.529
2020/1/9,44.38,17.47,3.201,2.519
2020/1/10,44.52,18.28,3.177,2.512
2020/1/13,45.28,17.48,3.17,2.517
2020/1/14,44.82,18.05,3.182,2.523
2020/1/15,44.57,17.49,3.184,2.522
2020/1/16,44.9,17.49,3.181,2.507
2020/1/17,45.11,16.47,3.174,2.492
2020/1/20,37.92,32.845,3.141,2.48
2020/2/3,40.13,26.38,2.891,2.334
2020/2/4,41.21,25.09,2.912,2.334
2020/2/5,41.35,24.25,2.924,2.338
2020/2/6,41.63,24.44,2.917,2.312
2020/2/7,41.26,24.49,2.887,2.238
2020/2/10,41.5,22.55,2.857,2.204
2020/2/11,42.3,21.7,2.899,2.213
2020/2/12,42.87,20.54,2.919,2.216
2020/2/13,42.31,22.1,2.905,2.21
2020/2/14,42.27,21.39,2.921,2.211
2020/2/17,37.92,32.845,2.959,2.221
2020/2/18,42.18,21.29,2.963,2.215
2020/2/19,42.47,20.11,2.949,2.222
2020/2/20,42.02,20.92,2.977,2.232
2020/2/21,42.02,22.75,2.951,2.222
2020/2/24,42.02,22.75,2.933,2.197
2020/2/25,40.14,27.48,2.921,2.189
2020/2/26,40.72,27.36,2.92,2.188
2020/2/27,40.41,32.57,2.881,2.177
2020/3/2,41.08,30.19,2.843,2.163
2020/3/3,40.82,30.86,2.844,2.178
2020/3/4,41.26,25.87,2.806,2.14
2020/3/5,41.08,30.01,2.788,2.147
2020/3/6,40.26,32.46,2.756,2.121
2020/3/9,38.64,42.05,2.683,2.077
2020/3/10,40.17,34.42,2.718,2.105
2020/3/11,38.8,40,2.751,2.124
2020/3/12,35.8,56.7,2.749,2.112
2020/3/13,37.8,50.54,2.791,2.137
2020/3/16,33.91,63.6,2.811,2.129
2020/3/17,36.01,59.09,2.81,2.116
2020/3/18,33.97,69.28,2.824,2.107
2020/3/19,34,65.76,2.845,2.096
2020/3/20,34.46,60.15,2.839,2.067
2020/3/23,34.44,56.85,2.789,2.015
2020/3/24,36.77,48.49,2.755,1.977
2020/3/25,36.85,47.66,2.77,1.968
2020/3/26,38.35,39.91,2.745,1.936
2020/3/27,36.1,49.14,2.745,1.943
2020/3/30,37.4,42.82,2.755,1.92
2020/3/31,37.54,40.94,2.734,1.892
2020/4/1,36.01,48.15,2.697,1.85
2020/4/7,38.09,36.46,2.644,1.576
2020/4/8,38.12,35.04,2.646,1.555
2020/4/9,37.87,34.66,2.674,1.508
2020/4/14,38.5,31.47,2.702,1.517
2020/4/15,37.61,32.57,2.701,1.467
2020/4/16,37.76,32.63,2.667,1.445
2020/4/17,38.41,30.14,2.672,1.452
2020/4/20,38.09,32.24,2.707,1.472
2020/4/21,37.07,35.72,2.713,1.443
2020/4/22,37.97,33.38,2.684,1.395
2020/4/23,37.81,33.62,2.652,1.353
2020/4/24,38.19,32.72,2.63,1.358
2020/4/27,38.96,28.45,2.652,1.373
2020/4/28,39,31.45,2.64,1.355
2020/4/29,39.63,28.69,2.601,1.333
2020/4/30,38.59,34.8,2.643,1.338
2020/5/6,38.1,36.03,2.651,1.335
2020/5/7,38.2,33.48,2.691,1.387
2020/5/8,39.07,28.71,2.747,1.383
2020/5/11,38.89,30.4,2.799,1.388
2020/5/12,38.55,31.79,2.79,1.409
2020/5/13,38.67,33.3,2.779,1.402
2020/5/14,38.51,34.06,2.796,1.426
2020/5/15,37.95,33.88,2.811,1.402
2020/5/18,39.46,29.38,2.848,1.422
2020/5/19,39.05,29.77,2.87,1.469
2020/5/20,39.62,29.51,2.849,1.498
2020/5/21,38.54,31.86,2.809,1.5
2020/5/22,37.5,33.61,2.766,1.473
2020/5/25,37.92,32.845,2.802,1.515
2020/5/26,38.34,32.08,2.831,1.603
2020/5/27,38.13,33.18,2.869,1.69
2020/5/28,38.25,33.17,2.839,1.7
2020/5/29,39.05,29.27,2.819,1.695
2020/6/1,39.77,29.06,2.833,1.708
2020/6/2,40.48,26.97,2.885,1.79
2020/6/3,41.17,26.75,2.924,1.912
2020/6/4,40.57,27,2.964,1.994
2020/6/5,41.48,25.08,2.981,2.092
2020/6/8,41.27,25.58,2.957,2.106
2020/6/9,41.07,25.51,2.94,2.108
2020/6/10,41.56,24.9,2.942,2.132
2020/6/11,39.84,32.08,2.922,2.133
2020/6/12,40.34,31.08,2.871,2.108
2020/6/15,39.65,31.43,2.843,2.078
2020/6/16,39.96,32.31,2.932,2.121
2020/6/17,40.12,31.3,2.978,2.194
2020/6/18,40.26,30.2,2.974,2.215
2020/6/19,40.32,28.46,2.975,2.228
2020/6/22,40.62,26.98,2.987,2.26
2020/6/23,40.89,26.59,3.036,2.312
2020/6/24,40.47,29.62,2.989,2.248
2020/6/29,40.05,28.45,2.979,2.23
2020/6/30,39.7,28.16,2.983,2.249
2020/7/1,40.16,27.55,2.97,2.243
2020/7/2,41.46,25.83,2.973,2.221
2020/7/6,45.4,33.27,3.093,2.299
2020/7/7,44.11,31.84,3.099,2.368
2020/7/8,45.53,33.57,3.132,2.421
2020/7/9,45.22,32.74,3.147,2.432
2020/7/10,44.55,31.54,3.151,2.485
2020/7/13,44.04,32.84,3.162,2.488
2020/7/14,43.7,31.99,3.135,2.453
2020/7/15,43.47,30.09,3.102,2.43
2020/7/16,42.48,30.17,3.056,2.4
2020/7/17,42.56,27.45,3.069,2.391
2020/7/20,43.11,25.92,3.069,2.377
2020/7/21,43.33,25.75,3.042,2.365
2020/7/22,42.72,26.64,3.025,2.347
2020/7/23,42.4,26.13,2.99,2.347
2020/7/24,42.05,27.01,2.996,2.335
2020/7/27,41.96,27.11,3.001,2.328
2020/7/28,41.59,26.8,3.03,2.352
2020/7/29,42.22,25.68,3.054,2.364
2020/7/30,41.78,26.12,3.06,2.37
2020/7/31,41.37,25.97,3.094,2.389
2020/8/3,41.87,26.28,3.093,2.398
2020/8/4,42.82,25.67,3.08,2.398
2020/8/5,42.82,25.48,3.083,2.419
2020/8/6,42.85,24.94,3.098,2.443
2020/8/7,42.01,26.39,3.113,2.452
2020/8/10,42.31,26.09,3.094,2.434
2020/8/11,42.27,25.58,3.087,2.456
2020/8/12,42.89,25.07,3.097,2.477
2020/8/13,42.81,24.6,3.08,2.485
2020/8/14,43.04,23.76,3.068,2.479
2020/8/17,43.84,22.8,3.061,2.487
2020/8/18,44.01,22.23,3.075,2.48
2020/8/19,43.55,23.3,3.102,2.507
2020/8/20,43.75,23.96,3.118,2.545
2020/8/21,44.14,23.4,3.107,2.552
2020/8/24,44.62,24.61,3.105,2.544
2020/8/25,44.8,23.95,3.145,2.598
2020/8/26,44.72,25.18,3.153,2.622
2020/8/27,44.63,25.76,3.165,2.636
2020/8/28,44.99,26.17,3.184,2.657
2020/8/31,43.96,27.4,3.161,2.646
2020/9/1,44.53,26.16,3.153,2.646
2020/9/2,44.35,27.56,3.198,2.687
2020/9/3,43.44,30.22,3.208,2.697
2020/9/4,43.6,28.18,3.202,2.701
2020/9/8,42.7,28.46,3.213,2.732
2020/9/9,42.99,24.55,3.185,2.706
2020/9/10,42.14,25.16,3.165,2.69
2020/9/11,42.55,24.39,3.202,2.689
2020/9/14,42.84,23.68,3.232,2.699
2020/9/15,43.22,22.48,3.215,2.654
2020/9/16,43.09,22.86,3.209,2.649
2020/9/17,42.73,22.38,3.223,2.649
2020/9/18,42.82,22.64,3.225,2.65
2020/9/21,42.42,24.45,3.216,2.636
2020/9/22,42.09,25.05,3.185,2.636
2020/9/23,41.63,26.23,3.192,2.63
2020/9/24,41.11,27.6,3.185,2.637
2020/9/25,40.7,28.15,3.202,2.656
2020/9/28,41.33,27.23,3.204,2.659
2020/9/29,41.17,27.22,3.213,2.678
2020/9/30,42,27.03,3.224,2.694
2020/10/1,42.51,27.06,3.225,2.697
2020/10/2,42.03,27.43,3.226,2.694
2020/10/5,42.19,27.74,3.226,2.696
2020/10/6,42.47,27.37,3.226,2.698
2020/10/7,42.92,26.78,3.226,2.699
2020/10/9,43.24,24.17,3.281,2.719
2020/10/12,44.4,23.43,3.28,2.748
2020/10/13,44.34,23.72,3.285,2.751
2020/10/14,43.78,24.22,3.292,2.766
2020/10/15,43.45,24.04,3.303,2.789
2020/10/16,44.11,24.42,3.315,2.774
2020/10/19,44.09,25.46,3.297,2.766
2020/10/20,44.28,26.65,3.262,2.79
2020/10/21,44.68,26.07,3.26,2.774
2020/10/22,45.02,26.7,3.234,2.748
2020/10/23,45.13,26.65,3.245,2.752
2020/10/26,44.7,28.68,3.252,2.775
2020/10/27,44.79,29.64,3.246,2.769
2020/10/28,43.89,33.15,3.236,2.758
2020/10/29,44.55,30.66,3.236,2.767
2020/10/30,43.97,31.83,3.244,2.76
