date,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
2019-04-11,2.1481,44.89,18.93,0.6119,1.1355,1.2656
2019-04-12,2.1577,45.44,18.56,0.6033,1.1568,1.2369
2019-04-15,2.1357,44.93,18.63,0.6323,1.2281,1.2341
2019-04-16,2.2172,45.6,18.34,0.5568,1.1854,1.2296
2019-04-17,2.2449,45.66,18.5,0.5421,1.139,1.2732
2019-04-18,2.2619,45.73,17.57,0.5441,1.1018,1.2745
2019-04-19,2.23,37.92,32.845,0.587,1.1366,1.2346
2019-04-22,2.1789,45.31,19.06,0.6431,1.2247,1.2034
2019-04-23,2.0879,45.3,18.86,0.7451,1.3167,1.213
2019-04-24,2.1486,44.62,19.11,0.7064,1.2948,1.1841
2019-04-25,2.1595,44.34,18.9,0.7205,1.2597,1.2107
2019-04-26,2.1625,44.6,18.65,0.7335,1.2465,1.1895
2019-04-29,2.1823,44.76,18.93,0.7407,1.242,1.2469
2019-04-30,2.2688,44.49,18.77,0.6612,1.1162,1.2302
2019-05-06,2.2482,43.74,22.51,0.6858,1.097,1.252
2019-05-07,2.2217,42.56,25.94,0.7003,1.1336,1.2041
2019-05-08,2.2348,42.42,25.77,0.6752,1.1108,1.1989
2019-05-09,2.2336,41.7,27.72,0.6694,1.097,1.1761
2019-05-10,2.235,41.97,24.11,0.66,1.0813,1.1856
2019-05-13,2.2872,40.62,30.41,0.6018,0.9886,1.2036
2019-05-14,2.3549,41.27,26.05,0.5361,0.928,1.1992
2019-05-15,2.3347,41.47,23.35,0.5583,0.9414,1.197
2019-05-16,2.3214,41.66,22.08,0.5746,0.945,1.2039
2019-05-17,2.314,40.97,23.03,0.586,0.9522,1.2013
2019-05-20,2.3011,40.41,23.54,0.5989,0.9704,1.1887
2019-05-21,2.2867,40.85,21.64,0.6133,1.0093,1.1631
2019-05-22,2.2926,40.62,21.61,0.6104,1.031,1.1498
2019-05-23,2.3117,40.12,23.5,0.5893,0.9927,1.1629
2019-05-24,2.326,39.93,22.73,0.576,0.9812,1.1487
2019-05-27,2.3049,37.92,32.845,0.5991,1.0511,1.1276
2019-05-28,2.3716,40.13,23.01,0.5434,0.943,1.1594
2019-05-29,2.3969,40.48,22.94,0.5201,0.891,1.1863
2019-05-30,2.411,40.49,22.94,0.505,0.8638,1.1999
2019-05-31,2.4128,40.37,23.29,0.4992,0.8569,1.1803
2019-06-03,2.4222,40.54,23.99,0.4818,0.821,1.2144
2019-06-04,2.405,40.39,22.98,0.497,0.8054,1.2505
2019-06-05,2.4064,40.13,22.8,0.5096,0.8038,1.2377
2019-06-06,2.3834,40.15,21.83,0.5406,0.8215,1.2413
2019-06-10,2.4382,40.95,21.27,0.4938,0.7818,1.2416
2019-06-11,2.4348,41.41,21.43,0.5052,0.8254,1.2144
2019-06-12,2.4512,40.66,21.88,0.4918,0.8085,1.1946
2019-06-13,2.4567,40.88,21.41,0.4873,0.7913,1.2005
2019-06-14,2.3941,40.49,21.77,0.5529,0.836,1.224
2019-06-17,2.4602,40.42,20.75,0.4868,0.7653,1.25
2019-06-18,2.483,41.6,22.56,0.46,0.7598,1.2316
2019-06-19,2.4528,41.92,21.57,0.4762,0.7898,1.2409
2019-06-20,2.3454,42.71,21.04,0.5656,0.8865,1.2339
2019-06-21,2.3544,42.5,20.61,0.5406,0.8821,1.2267
2019-06-24,2.2952,42.53,21.08,0.5638,0.9506,1.1958
2019-06-25,2.3163,41.82,21.85,0.4927,0.9188,1.1873
2019-06-26,2.249,42.32,22.07,0.509,0.9961,1.1598
2019-06-27,2.3093,42.79,21.96,0.4127,0.946,1.1202
2019-06-28,2.3019,42.77,22.56,0.4061,0.9284,1.1328
2019-07-01,2.2208,43.4,18.68,0.4602,0.9991,1.1576
2019-07-02,2.2063,43.29,17.88,0.4507,0.9647,1.1897
2019-07-03,2.1827,43.13,17.47,0.4583,0.9684,1.1905
2019-07-04,2.0639,37.92,32.845,0.5631,1.0866,1.2059
2019-07-05,2.0725,42.63,17.78,0.5335,1.0929,1.1873
2019-07-08,2.2233,42.31,18.56,0.3797,0.957,1.1905
2019-07-09,2.0767,42.06,18.93,0.5243,1.0937,1.1854
2019-07-10,2.067,42.18,17.77,0.533,1.1038,1.1863
2019-07-11,2.0446,41.97,17.49,0.5554,1.117,1.1986
2019-07-12,2.0673,42.13,16.93,0.5327,1.0904,1.2037
2019-07-15,2.0639,42.25,16.89,0.5361,1.1123,1.1711
2019-07-16,2.0533,42.18,16.6,0.5557,1.1246,1.1574
2019-07-17,2.068,42.13,16.91,0.545,1.1088,1.1495
2019-07-18,2.1431,42.24,17.61,0.4799,1.0205,1.1638
2019-07-19,2.1848,42.47,18.04,0.4462,0.9761,1.1651
2019-07-22,2.1679,42.08,18.97,0.4601,0.9848,1.1678
2019-07-23,2.1958,42.32,18.74,0.4322,0.9521,1.1743
2019-07-24,2.1971,42.46,18.3,0.4279,0.9691,1.1585
2019-07-25,2.2095,42.17,19.11,0.4155,0.9565,1.1512
2019-07-26,2.2282,42.23,19.54,0.4008,0.9353,1.1521
2019-07-29,2.2339,41.92,19.49,0.3971,0.9519,1.1363
2019-07-30,2.202,41.66,19.76,0.434,0.9793,1.148
2019-07-31,2.2395,41.1,18.75,0.4045,0.9167,1.1693
2019-08-01,2.2221,40.17,22.32,0.4239,0.9244,1.1582
2019-08-02,2.2024,39.86,21.59,0.4466,0.8988,1.1775
2019-08-05,2.315,38.3,28.51,0.331,0.7411,1.2222
2019-08-06,2.3103,38.66,25.78,0.3247,0.749,1.2134
2019-08-07,2.3513,38.85,24.69,0.2717,0.6998,1.2329
2019-08-08,2.3441,39.18,22.29,0.2739,0.7069,1.2164
2019-08-12,2.3571,38.26,24.65,0.2679,0.6817,1.2115
2019-08-13,2.3631,38.87,22.97,0.2809,0.6436,1.231
2019-08-14,2.3725,37.67,26.9,0.2835,0.6298,1.23
2019-08-15,2.3655,38.19,25.19,0.2955,0.646,1.2215
2019-08-16,2.4004,38.6,23.7,0.2656,0.6212,1.207
2019-08-19,2.3988,39.15,21.95,0.2702,0.6232,1.2155
2019-08-20,2.4055,39.01,21.28,0.2655,0.6269,1.2184
2019-08-21,2.3536,39.35,19.98,0.3204,0.7055,1.1865
2019-08-22,2.43,39.05,20.68,0.252,0.6318,1.2018
2019-08-23,2.4264,38.34,25.63,0.2636,0.6352,1.19
2019-08-26,2.4303,38.89,23.58,0.2637,0.6141,1.2066
2019-08-27,2.4215,38.9,23.79,0.2785,0.6305,1.2088
2019-08-28,2.3836,38.85,23,0.3184,0.6711,1.1903
2019-08-29,2.4093,39.13,22.05,0.2909,0.6191,1.2339
2019-08-30,2.424,39.12,22.22,0.277,0.6326,1.2013
2019-09-02,2.4791,37.92,32.845,0.2209,0.5842,1.2089
2019-09-03,2.4656,39.13,22.05,0.2354,0.6016,1.2045
2019-09-04,2.4493,40.05,20.41,0.2527,0.6095,1.1921
2019-09-05,2.428,40.53,19.79,0.276,0.5938,1.2083
2019-09-06,2.4321,40.61,19.59,0.2759,0.5828,1.2332
2019-09-09,2.4013,40.69,18.73,0.3057,0.6234,1.2028
2019-09-10,2.4016,40.71,18.7,0.3054,0.6456,1.1793
2019-09-11,2.3909,41.33,18.09,0.3161,0.6614,1.1731
2019-09-12,2.4104,41.48,17.79,0.2986,0.6746,1.15
2019-09-16,2.4081,41.46,19.76,0.3019,0.6844,1.1191
2019-09-17,2.3912,41.26,19.43,0.3168,0.7164,1.0929
2019-09-18,2.3527,40.98,18.91,0.3533,0.78,1.0643
2019-09-19,2.3539,40.69,18.5,0.3551,0.7563,1.0832
2019-09-20,2.3451,40.54,18.44,0.3719,0.7554,1.1028
2019-09-23,2.2976,40.53,18.42,0.4274,0.8058,1.11
2019-09-24,2.295,40.04,19.96,0.434,0.8231,1.086
2019-09-25,2.3232,40.18,20.08,0.4058,0.7928,1.0778
2019-09-26,2.3142,39.91,20.08,0.4178,0.8224,1.0406
2019-09-27,2.2919,39.45,21.98,0.4341,0.8559,1.0202
2019-10-08,2.2774,39.69,22.59,0.4466,0.8369,1.0441
2019-10-09,2.2586,40.25,22.08,0.4614,0.8466,1.0634
2019-10-14,2.2937,41.15,19.42,0.4283,0.8707,1.0409
2019-10-15,2.3711,41.54,17.87,0.3599,0.8008,1.0663
2019-10-16,2.2794,41.52,17.87,0.4526,0.8918,1.0744
2019-10-17,2.2696,41.69,18.1,0.4664,0.8856,1.0929
2019-10-18,2.2498,41.24,17.65,0.4962,0.9324,1.0722
2019-10-21,2.3731,41.72,17.76,0.3899,0.8426,1.035
2019-10-22,2.3837,41.38,18.44,0.4093,0.8414,1.0474
2019-10-23,2.3177,41.26,18.39,0.4903,0.9002,1.0406
2019-10-24,2.4106,41.23,18.51,0.4134,0.8119,1.0623
2019-10-25,2.4317,41.49,18.2,0.3993,0.8065,1.063
2019-10-28,2.4313,41.88,18.87,0.4087,0.8612,1.0285
2019-10-29,2.4645,41.46,19.19,0.3825,0.8343,1.0282
2019-10-30,2.485,41.33,19.05,0.379,0.8561,0.9859
2019-10-31,2.4839,41.15,19.04,0.4031,0.8193,1.0267
2019-11-01,2.5019,42,19.5,0.3951,0.7793,1.0819
2019-11-04,2.4934,42.51,20.36,0.4256,0.802,1.0548
2019-11-05,2.4665,42.77,20.18,0.4665,0.7894,1.087
2019-11-06,2.492,42.69,19.57,0.456,0.7578,1.0927
2019-11-07,2.5316,43.05,19.04,0.4214,0.727,1.0666
2019-11-08,2.5372,42.74,19.31,0.4158,0.7396,1.0345
2019-11-11,2.5219,42.08,20.65,0.4331,0.7302,1.0373
2019-11-12,2.4823,41.71,21.4,0.4827,0.7752,1.0249
2019-11-13,2.4858,41.15,22.16,0.4952,0.7612,1.0357
2019-11-14,2.5189,41.04,21.55,0.4811,0.7454,1.0178
2019-11-15,2.5418,41.13,20.28,0.4782,0.7054,1.0354
2019-11-18,2.5082,41.26,19.97,0.5238,0.6992,1.0745
2019-11-19,2.5033,41.68,20.18,0.5297,0.6769,1.088
2019-11-20,2.4699,41.45,19.76,0.5621,0.7068,1.0985
2019-11-21,2.4791,41.39,19.92,0.5549,0.6995,1.0756
2019-11-22,2.4861,41.32,19.37,0.5509,0.6963,1.0822
2019-11-25,2.4731,42.01,19.33,0.5559,0.7173,1.062
2019-11-26,2.4722,42.11,19.46,0.5478,0.6998,1.0888
2019-11-27,2.4607,42.07,19.36,0.5583,0.7101,1.0963
2019-11-28,2.4684,37.92,32.845,0.5476,0.7017,1.0999
2019-11-29,2.4477,40.94,19.89,0.5693,0.7172,1.114
2019-12-02,2.4475,40.95,19.69,0.5695,0.7479,1.0799
2019-12-03,2.4314,40.71,20.63,0.5836,0.7488,1.0758
2019-12-04,2.467,40.88,20.47,0.552,0.7081,1.1005
2019-12-05,2.4885,40.9,19.28,0.5335,0.6868,1.1096
2019-12-06,2.4904,41.24,19.3,0.5341,0.7002,1.0973
2019-12-09,2.4718,41.05,19.67,0.5532,0.7183,1.083
2019-12-10,2.4943,41.21,19.48,0.5337,0.6861,1.1023
2019-12-11,2.4959,41.98,19.75,0.5341,0.6746,1.1136
2019-12-12,2.4875,42.78,21.19,0.543,0.6779,1.1064
2019-12-13,2.4725,42.6,18.68,0.56,0.7109,1.0927
2019-12-16,2.4659,42.34,17.23,0.5665,0.7201,1.1041
2019-12-17,2.4489,42.88,17.44,0.5871,0.7599,1.0574
2019-12-18,2.419,43,17.31,0.621,0.7926,1.0653
2019-12-19,2.4476,42.91,16.79,0.5954,0.7671,1.0447
2019-12-20,2.4439,43.08,16.64,0.5971,0.7329,1.092
2019-12-23,2.3842,43.04,16.33,0.6558,0.7828,1.0896
2019-12-24,2.3594,43.12,16.2,0.6741,0.7969,1.0875
2019-12-25,2.3184,37.92,32.845,0.7141,0.8259,1.1091
2019-12-26,2.2571,43.55,17.47,0.7724,0.86,1.143
2019-12-27,2.0778,43.71,18.3,0.9477,1.0548,1.129
2019-12-30,1.9739,43.49,18.59,1.0471,1.1579,1.1068
2019-12-31,1.9726,43.63,19.54,1.0474,1.1628,1.0927
2020-01-02,2.0521,44.88,18.28,0.9419,1.0979,1.0665
2020-01-03,2.0842,43.91,19.57,0.8758,1.0656,1.0525
2020-01-06,2.0955,44.12,19.55,0.8245,1.0357,1.076
2020-01-07,2.0693,44.01,18.75,0.8297,1.0723,1.0666
2020-01-08,2.0314,43.98,18.34,0.8496,1.1031,1.0779
2020-01-09,2.0003,44.38,17.47,0.8667,1.1275,1.089
2020-01-10,2.075,44.52,18.28,0.789,1.0187,1.1119
2020-01-13,2.0379,45.28,17.48,0.8201,1.049,1.122
2020-01-14,2.0706,44.82,18.05,0.7914,1.0308,1.1097
2020-01-15,2.0845,44.57,17.49,0.7805,1.0094,1.1048
2020-01-16,2.0584,44.9,17.49,0.8096,1.0355,1.0909
2020-01-17,2.1458,45.11,16.47,0.7222,0.9464,1.0796
2020-01-20,2.1199,37.92,32.845,0.7401,0.9409,1.0938
2020-02-03,1.8072,40.13,26.38,1.0448,1.0183,1.1385
2020-02-04,1.8103,41.21,25.09,1.0137,1.047,1.0892
2020-02-05,1.6922,41.35,24.25,1.1068,1.1543,1.103
2020-02-06,1.7095,41.63,24.44,1.0665,1.1316,1.1054
2020-02-07,1.6974,41.26,24.49,1.0556,1.108,1.1389
2020-02-10,1.6148,41.5,22.55,1.1082,1.186,1.1425
2020-02-11,1.6427,42.3,21.7,1.0363,1.1844,1.0768
2020-02-12,1.5876,42.87,20.54,1.0514,1.2461,1.0797
2020-02-13,1.6368,42.31,22.1,0.9682,1.1888,1.0749
2020-02-14,1.6671,42.27,21.39,0.8979,1.1957,1.0099
2020-02-17,1.7019,37.92,32.845,0.8431,1.1978,0.9638
2020-02-18,1.7142,42.18,21.29,0.8108,1.1537,0.9838
2020-02-19,1.6891,42.47,20.11,0.8209,1.1841,0.9743
2020-02-20,1.7251,42.02,20.92,0.7749,1.1775,0.9174
2020-02-21,1.7319,42.02,22.75,0.7571,1.1297,0.9432
2020-02-24,1.7776,42.02,22.75,0.6984,1.0443,0.9971
2020-02-25,1.7321,40.14,27.48,0.7269,1.0873,0.9772
2020-02-26,1.7199,40.72,27.36,0.7221,1.0897,0.9725
2020-02-27,1.7437,40.41,32.57,0.6893,1.0286,1.0021
2020-03-02,1.7965,41.08,30.19,0.6115,0.9388,1.0002
2020-03-03,1.753,40.82,30.86,0.622,0.9923,0.977
2020-03-04,1.7558,41.26,25.87,0.5762,0.925,1.0186
2020-03-05,1.7579,41.08,30.01,0.5321,0.9229,1.0431
2020-03-06,1.7603,40.26,32.46,0.4977,0.873,1.1235
2020-03-09,1.6359,38.64,42.05,0.6021,0.8875,1.1452
2020-03-10,1.6611,40.17,34.42,0.5639,0.9517,1.0991
2020-03-11,1.6777,38.8,40,0.5463,0.9204,1.0825
2020-03-12,1.7062,35.8,56.7,0.5168,0.9405,1.0557
2020-03-13,1.6892,37.8,50.54,0.5128,0.9813,1.0257
2020-03-16,1.6846,33.91,63.6,0.4904,0.9886,1.0706
2020-03-17,1.7096,36.01,59.09,0.4354,1.0058,1.06
2020-03-18,1.7361,33.97,69.28,0.3839,0.9655,1.124
2020-03-19,1.6303,34,65.76,0.4737,1.1092,1.132
2020-03-20,1.6044,34.46,60.15,0.4826,1.0991,1.1388
2020-03-23,1.516,34.44,56.85,0.556,1.1179,1.1689
2020-03-24,1.4839,36.77,48.49,0.5721,1.1426,1.1501
2020-03-25,1.4459,36.85,47.66,0.5641,1.1831,1.1799
2020-03-26,1.4255,38.35,39.91,0.5515,1.1741,1.2144
2020-03-27,1.4367,36.1,49.14,0.5293,1.1759,1.1818
2020-03-30,1.4224,37.4,42.82,0.5256,1.1919,1.1984
2020-03-31,1.3746,37.54,40.94,0.5584,1.225,1.2204
2020-04-01,1.3648,36.01,48.15,0.5532,1.1978,1.293
2020-04-07,1.0903,38.09,36.46,0.6397,1.44,1.2596
2020-04-08,0.9244,38.12,35.04,0.7226,1.5703,1.2752
2020-04-09,0.9194,37.87,34.66,0.6386,1.5908,1.2321
2020-04-14,1.0942,38.5,31.47,0.3658,1.4756,1.1745
2020-04-15,1.0857,37.61,32.57,0.3613,1.4726,1.2102
2020-04-16,1.0307,37.76,32.63,0.3973,1.5119,1.2083
2020-04-17,1.1109,38.41,30.14,0.2921,1.4544,1.2289
2020-04-20,0.905,38.09,32.24,0.489,1.6985,1.2003
2020-04-21,0.8251,37.07,35.72,0.5709,1.772,1.2418
2020-04-22,0.8622,37.97,33.38,0.5288,1.718,1.2626
2020-04-23,0.8439,37.81,33.62,0.5521,1.682,1.3011
2020-04-24,0.8961,38.19,32.72,0.4999,1.5891,1.3537
2020-04-27,0.879,38.96,28.45,0.518,1.6405,1.333
2020-04-28,0.7907,39,31.45,0.6073,1.7181,1.3745
2020-04-29,0.9147,39.63,28.69,0.4843,1.5704,1.4165
2020-04-30,0.8974,38.59,34.8,0.5026,1.6286,1.3933
2020-05-06,0.9111,38.1,36.03,0.4889,1.6506,1.3773
2020-05-07,0.8735,38.2,33.48,0.5265,1.7474,1.3665
2020-05-08,0.9378,39.07,28.71,0.4622,1.6759,1.3544
2020-05-11,0.9086,38.89,30.4,0.4894,1.7609,1.2732
2020-05-12,0.9469,38.55,31.79,0.4511,1.7268,1.2934
2020-05-13,0.9598,38.67,33.3,0.4382,1.7178,1.3443
2020-05-14,0.9953,38.51,34.06,0.4037,1.687,1.3475
2020-05-15,1.0364,37.95,33.88,0.3626,1.6601,1.3076
2020-05-18,0.9969,39.46,29.38,0.4011,1.7222,1.2979
2020-05-19,1.0219,39.05,29.77,0.3771,1.706,1.3021
2020-05-20,1.0229,39.62,29.51,0.3761,1.6596,1.3172
2020-05-21,1.0737,38.54,31.86,0.3263,1.5961,1.3209
2020-05-22,1.1128,37.5,33.61,0.2872,1.4865,1.3825
2020-05-25,1.1324,37.92,32.845,0.2676,1.5528,1.3033
2020-05-26,1.1511,38.34,32.08,0.2539,1.5848,1.2891
2020-05-27,1.2101,38.13,33.18,0.2049,1.5455,1.2956
2020-05-28,1.4335,38.25,33.17,0.00350000000000006,1.2882,1.3169
2020-05-29,1.4664,39.05,29.27,0.0133999999999999,1.2645,1.3075
2020-06-01,1.3949,39.77,29.06,0.0610999999999999,1.3486,1.2802
2020-06-02,1.473,40.48,26.97,0.0110000000000001,1.313,1.2861
2020-06-03,1.4245,41.17,26.75,0.0694999999999999,1.366,1.3112
2020-06-04,1.6725,40.57,27,0.1365,1.1527,1.2493
2020-06-05,1.7501,41.48,25.08,0.1561,1.0951,1.2097
2020-06-08,1.8583,41.27,25.58,0.2003,0.9543,1.2429
2020-06-09,1.813,41.07,25.51,0.0859999999999999,1.012,1.2365
2020-06-10,1.8477,41.56,24.9,0.0316999999999998,0.9749,1.2229
2020-06-11,1.8847,39.84,32.08,0.0192999999999999,0.8904,1.261
2020-06-12,1.8652,40.34,31.08,0.0908,0.8848,1.3124
2020-06-15,1.8836,39.65,31.43,0.1034,0.8771,1.2761
2020-06-16,1.8677,39.96,32.31,0.1513,0.9674,1.2294
2020-06-17,1.8748,40.12,31.3,0.1812,1.0078,1.144
2020-06-18,1.9241,40.26,30.2,0.1539,0.9409,1.1578
2020-06-19,1.9445,40.32,28.46,0.1505,0.9259,1.2261
2020-06-22,1.9469,40.62,26.98,0.1501,0.9434,1.2021
2020-06-23,2.0094,40.89,26.59,0.0996000000000001,0.9071,1.1842
2020-06-24,1.9988,40.47,29.62,0.1222,0.8745,1.1965
2020-06-29,1.9135,40.05,28.45,0.2135,0.9406,1.1817
2020-06-30,1.8781,39.7,28.16,0.2479,0.9624,1.1956
2020-07-01,1.7567,40.16,27.55,0.3653,1.0898,1.1954
2020-07-02,1.8243,41.46,25.83,0.2887,1.0253,1.1716
2020-07-06,1.7647,45.4,33.27,0.3393,1.2303,1.0765
2020-07-07,1.7899,44.11,31.84,0.3131,1.212,1.0973
2020-07-08,1.9137,45.53,33.57,0.1973,1.1304,1.0263
2020-07-09,1.8597,45.22,32.74,0.2623,1.2218,1.0206
2020-07-10,1.9819,44.55,31.54,0.1611,1.0542,1.0643
2020-07-13,1.9011,44.04,32.84,0.2619,1.1497,1.0651
2020-07-14,1.9469,43.7,31.99,0.2451,1.074,1.1078
2020-07-15,1.9035,43.47,30.09,0.3375,1.0574,1.1537
2020-07-16,2.0309,42.48,30.17,0.2551,0.9102,1.1562
2020-07-17,1.9623,42.56,27.45,0.3937,0.9887,1.1612
2020-07-20,1.9797,43.11,25.92,0.4243,0.9669,1.2038
2020-07-21,1.9524,43.33,25.75,0.5136,0.9587,1.1729
2020-07-22,1.9741,42.72,26.64,0.5269,0.9171,1.2058
2020-07-23,2.0682,42.4,26.13,0.4728,0.8341,1.2161
2020-07-24,2.0443,42.05,27.01,0.5127,0.818,1.2285
2020-07-27,1.9967,41.96,27.11,0.5773,0.8794,1.2042
2020-07-28,1.982,41.59,26.8,0.596,0.9309,1.1606
2020-07-29,1.846,42.22,25.68,0.74,1.0934,1.1467
2020-07-30,1.862,41.78,26.12,0.728,1.085,1.1419
2020-07-31,1.7968,41.37,25.97,0.7962,1.1647,1.1143
2020-08-03,2.0238,41.87,26.28,0.5712,0.9279,1.1097
2020-08-04,1.9811,42.82,25.67,0.6169,0.9581,1.1146
2020-08-05,2.0443,42.82,25.48,0.5557,0.9074,1.1226
2020-08-06,2.0272,42.85,24.94,0.5728,0.9498,1.0853
2020-08-07,2.0694,42.01,26.39,0.5336,0.9173,1.0506
2020-08-10,2.0633,42.31,26.09,0.5377,0.8989,1.0918
2020-08-11,2.0397,42.27,25.58,0.5603,0.9125,1.1022
2020-08-12,2.0325,42.89,25.07,0.5685,0.9222,1.1124
2020-08-13,2.0357,42.81,24.6,0.5653,0.924,1.0931
2020-08-14,2.1006,43.04,23.76,0.5004,0.8518,1.0934
2020-08-17,2.1879,43.84,22.8,0.4141,0.7498,1.1041
2020-08-18,2.1481,44.01,22.23,0.4519,0.8192,1.1008
2020-08-19,2.1544,43.55,23.3,0.4456,0.8331,1.0907
2020-08-20,2.216,43.75,23.96,0.385,0.7789,1.1075
2020-08-21,2.2233,44.14,23.4,0.3777,0.7596,1.1767
2020-08-24,2.2347,44.62,24.61,0.3693,0.7605,1.1376
2020-08-25,2.1147,44.8,23.95,0.4913,0.9281,1.1131
2020-08-26,2.2066,44.72,25.18,0.4054,0.8561,1.1284
2020-08-27,2.2313,44.63,25.76,0.3897,0.8264,1.1379
2020-08-28,2.2133,44.99,26.17,0.4167,0.8623,1.1213
2020-08-31,2.2544,43.96,27.4,0.3816,0.7737,1.1391
2020-09-01,2.2737,44.53,26.16,0.3663,0.7645,1.1167
2020-09-02,2.3493,44.35,27.56,0.2967,0.7511,1.0882
2020-09-03,2.3111,43.44,30.22,0.3429,0.7848,1.0979
2020-09-04,2.3568,43.6,28.18,0.3042,0.7661,1.094
2020-09-08,2.3967,42.7,28.46,0.2913,0.7296,1.0866
2020-09-09,2.3952,42.99,24.55,0.2978,0.6813,1.1254
2020-09-10,2.4461,42.14,25.16,0.2489,0.6303,1.1351
2020-09-11,2.3927,42.55,24.39,0.3043,0.741,1.0916
2020-09-14,2.4621,42.84,23.68,0.2349,0.6917,1.087
2020-09-15,2.3953,43.22,22.48,0.3007,0.709,1.1198
2020-09-16,2.265,43.09,22.86,0.423,0.8616,1.0872
2020-09-17,2.4413,42.73,22.38,0.2447,0.693,1.0534
2020-09-18,2.4363,42.82,22.64,0.2427,0.6882,1.0591
