,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0,0.222751512807077,0,0,0,0,0,0,0,0,0,0,0.067200386350022,0,0.122090960990725,0.13551959338914,0.0116883542196476,0,0,0,0,0,0,0,-0.000251641648291869,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223199869168529,0,0,0,0,0,0,0.106656922947243,0,0.187753303107087,0.388945097430224,0.0579494911677357,0,-0.00516887700992079,0,0,0
X2628.HK.EQUITY,0,0,0.268336824953772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135891517002565,0,0,0,0,0.163881038240036,0,0,-0.00949279874076538,0.0312865504637149,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569230977171963,0,0,0,0.224666411493549,0.384654469508881,0,0,0,0,0,0,-0.00114846550992188,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.00462643529692156,0,0,0,0,0.0509765154156715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251546620498878,0,-0.00755116889845511,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0291822732630533,0,0,0,0,0.0763011712872767,0,0,0,0,0,0.0758804919424735,0,0,0,0,0,0,0,0.0460607244266042,0,0.0026522074142594,0,0,0
X3328.HK.EQUITY,0,0.0958251140250574,0,0,0,0,0,0,0,0,0.000989234278313576,0,0,0,0,0,0,0,0.00372561046983384,0,0,0,0,0.0970958110074343,0.0186364889051642,0,-0.00400165718908484,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.118206309397021,0,0,0,0.265759047571169,0,0.159104372043172,0,0,0,0,0,0.100638077233674,0,0,0,0.00198681082924802,0,0,0
X601319.CH.EQUITY,0,0,0,0.239674207843241,0,0,0,0,0,0,0,0,0.288928300942556,0,0,0,0,0,0,0.324489257117438,0,0,0,0,0,0,0.0180400930610866,0,0,0
X601601.CH.EQUITY,0,0,0,0.103124391401849,0,0,0,0,0,0,0,0,0,0.461569258352832,0,0,0,0,0,0,0,0,0,0.0480705969711161,0.108386619250091,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.175999822366024,0,0,0.0558694672785443,0,0,0.0888932628054361,0,0,0,0,0,0,0,0.000200241922691555,0,0.225911757545372,0,-0.00795157417272691,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00345812886363834,0,0.195411933330513,0,0,0,0.011939168341811,0,0,0,0,0,0.139050424701636,0.0645650278801165,0,0,-0.00955869569469941,0,0,0
X16.HK.EQUITY,0,0,0,-0.164292321872613,0,0,0.174821866486293,0,0,0,0,0.419367732433797,0,0,0,0.199196958419828,0,0,0,0,0,0.395837205289839,0,0.154632646556075,-0.0906268409253476,0,-0.0174693674230108,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.174366747710536,0.174154621228775,0,0,0,0.0435198364041997,0,0,0,0,0,0.202498806959245,0,0,0,-0.0104659983411858,0,0,0
X000001.CH.EQUITY,0,0,0,0.254879195726325,0,0,0,0,0,0,0.0345870782340581,0,0,0.0881454454445669,0.228958379032931,0,0,0,0,0,0,0,0,0,0,0,0.00571394084602378,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124770554417953,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.135677594347855,0,0,0,0,0,0,0,0,0,0,0,0,-4.8783130785841,0,0.312556418211776,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.43132935341918e-07,0,0.999971379886132,0.999968322107274
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34566071286019e-06,0.99995075803569,0,-0.999933074821664
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.94674885495091e-07,0.999960801676705,-0.999955032146588,0
