,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0,0.331122990021519,0,0,0,0.100682388767353,0,0,0,0,0,0.122875370373083,0,0,0,0.046393161720936,0,0.18776642538107,0,0,0.134411512731742,0,0,0,0.022006357364676,0,-0.104821500130664,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.220319137911972,0.0378830678171186,0,0,0,0,0.0631342233646094,0,0,0,0.212898260476282,0,0.0152539435432247,0,0.0020097142068553,0.120287944339128,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.00194681898083216,0,0,0,0,0,0,0.0307337531677344,0,0,0,0.187162262460856,0,0.160016773435446,0,0.0990079691778943,0,0,0,0.0210212864829991,0,0,0
X1299.HK.EQUITY,0,0.0700274184174183,0,0,0,0,0,0,0,0,0,0.0031638224764978,0,0,0,0,0,0,0,0,0,0,0.0472154506837138,0.315522980679639,0.345045886454147,0,0.0148679284697456,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0789225373938389,0,0,0,0,0,0,0.0546894427976557,0,0,0,0,0,3.46944695195361e-18,0.137635281552408,0.320914364255944,0,0,0,0,0,-0.0179421622126891,0,0,0.0626086915519192
X3328.HK.EQUITY,0,0,0,0,0.0466477056242176,0,0,0,0,0,0,0.107647850533741,0,0,0.0546934531547932,0,0,0,0,0,0.0993216338154048,0,-3.46944695195361e-18,0.0417374361572625,0.0655763050674743,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0877584771624412,0.0181762552548261,0,0,0,0,0,0.0988669972205127,0,0,0,0,0,0.198539163677863,0.039523878919446,0.0709120832419825,0,0,0,0,0,0,-0.00399046814156019,0,0,0
X600000.CH.EQUITY,0,0,0.0898772684296624,0,0,0,0,0,0,0,0.329334257628401,0,0,0,0.0597845140730459,0,0,0,0,0.285930608271285,0,0,0.000298736077349605,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.18261662908784,0,0,0,0,0,0,0,0.0289942324596951,0.159933430162156,0,0,0,0,0.0379043958093454,0,0,0,0,0,0,0,0,0.0107924303627036,0.113265609144579,0,0
X000001.CH.EQUITY,0,0,0.229436186752271,0,0,0,0,0,0,0,0.0478014574834465,0,0,0,0,0,0,0.536372320600927,0,0,0,0,0,0,0.0403546908212947,0,-0.00365498728344693,0,-0.0940437364339445,0
X601601.CH.EQUITY,0,0.0207944055685337,0,0.203568243385063,0,0,0,0,0,0,0.129766390760969,0,0.13971052558878,0,0.0391259930704589,0,0,0,0,0.150504852879246,0,0.07705057907855,0,0,0.201737772176867,0,-0.0121382731022,0,-0.180366559242964,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0873756047845259,0.261786048205283,0,0,0,0,0,0,0.0760278988419042,-8.67361737988404e-19,0,0,0,-0.126306481045902,0,0,-0.0226606292689964,0.0650493274396847,0.17300678092867,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.123508628488692,0,0.0426237184391175,0,0,0,0,0,0,0,0,0,0.638879884198667,0,0,-0.0261451477691633,0.124226322750159,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.23695005422923,0,0,0,0,0,0.327985896938756,0,0,0,0,0,0,0,0,0.113774591250394,0,0,0,-0.00758057722305442,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110790235934278,0,0,0.637651843478519,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283349057214564,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.160067370709744,0,0,0,0,0,0,0,-0.019244513723075,0,0,0,0,0,0,-0.100415215259316,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.493979910087647,0,0,0,0.137206944709575,0,0,0.35216685579508,-0.437133491173997,0,0,-0.196154627780076,0,0,-4.28341281532666,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12246535704669e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999996458783107,0.999966081468622
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70229429904644e-06,0,0,0,0,-6.87146595552519e-06,0,0,0,0,0,0,0,-6.94875470450377e-07,0.999962102535304,0,-0.999939936385449
CN210SLOPE,0,0,0,0,0,0,0,1.54775298442425e-05,0,0,0,2.67898496972989e-05,5.69832585545843e-06,0,1.44837033122979e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.999820956928981,-0.999755246918122,0
