,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0.427086084442575,0,0,0,0,0,0,0,0,-0.178539097944014,-0.0870687401003891,0,0.335320448324261,0,0,0,0,0,0,0.0592496023032347,0.279748694932537,0,0,0,-0.0191374062826333,0,0,0
X1299.HK.EQUITY,0,0,0,0.201472975037899,0,0,0,0.588804564583154,0.00303627097802212,0,0,0,0.0623761189008548,0,0,0,0,0,0,0,0,0,0.211852588147889,0,0.156588760786608,0,0.00258393972122307,-0.0212227831158454,0,-0.254071804969397
X601628.CH.EQUITY,0,0,0.300035971528489,0,0,0,0,-0.193624665054347,0,0,0,0,0,0.0931496912809125,0,0,0.19503923397776,0.292898310216742,0,0.325461875387912,-0.160709696229459,0,0,0,0,0,-0.0399798265560628,0.139460098515368,0.0692655138476162,0
X2628.HK.EQUITY,0,0,0.0317431016772278,0.532747996669081,0,0,0,0,0,0,0,0,0.228489155914374,0,0,0,0.0680976796837894,0,0,0.00481108391936044,0,0,0,0.00788732082650473,0,0,0.00602717599488718,0,0,0
X3328.HK.EQUITY,0,1.26462973571037,0,0,0,0,0,0,0,0.00986471220580717,0.0367554911082805,0,0,0,0,0,0,0,0.0277339915733016,0,0,-0.0123596649098702,-0.184870819644249,0,0,-0.128697929905047,0.00111836239102967,0,0,0
X601328.CH.EQUITY,0.088907689584717,0.248171732360208,1.73472347597681e-18,0.0187877295406531,0,0,0,0,0,0,0.187402193678399,0,0,0,0,0,0,0,0,0,-0.0610182520757841,0,0,0,0,-0.0104043789006092,0,0,0.0791629931284955,0
X601166.CH.EQUITY,0,0,0,0,0.344377786418658,0,0.488012968472618,0,0,0,0.202737413910045,0,0.109632624799083,0,0,0,0,-0.0796032073093817,0,0,0.0135951640155262,0,0.05485278155862,0,0,0,0.000444724482324847,0.0048998703014492,0,0
X601319.CH.EQUITY,0,0,0.475315044450025,0,0,0,0,0,0,0,0,0,0.156102478732252,0.162612858956533,-0.133426713806434,0,0,0,0,0.583386750092033,0,0,-0.0110924852558857,0,0,0,0.0168923316665308,0,0,0
X600000.CH.EQUITY,0.0809114839125519,0,0,0,0,0,0,0,0,0,0,0,0.102380229593621,0,0.149219686190222,0,0.290025064320423,-0.137108960531686,0,0.070271488327712,0,0,0.111862092955838,0,0,0,-0.00694973181790971,-0.0386703820707815,-0.172175086190917,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.537552473664228,0,0,0,0,0.0349685206653559,0,0,0,0,0,0,0,0,-0.010382780399132,0,0,0
X000002.CH.EQUITY,0,0,0.367184744637775,0,0,-0.129865457507837,0,0,0,0,0,0,0,0,-0.16701971239763,0,0,0,0,0.346434836282927,0,0,0.468540366999839,0,-0.0759838022680993,-0.369885473033765,-0.0358248166764448,0.332788404443753,0,0.126309834973577
X11.HK.EQUITY,0,0,0,0.124451364860308,0,0,0,0,0,0,0.0835300730793162,0,0,0,0,0,0,0,0,0,0.243446983655016,0,0,0,0.154501358264417,0,3.46944695195361e-18,0,0,0
X16.HK.EQUITY,0,0,0,-0.0788332747412562,0,0,0.26698374945034,0,0,0,0,0.45306527603984,0,0,0,0,0,0.0369190730002502,0,0,0,1.05268440907909,0,0,0,0,-0.00395997161021532,0,0,0
X388.HK.EQUITY,0,0,0.0317362320822559,0,0,0,0,0,0,0,0,0.00918720108461186,0,0.00512849694828582,0,0,0,0,0,0,0,0,0,0,0.846911098139222,0,0,0,0,0
X2388.HK.EQUITY,0,-0.0594553132750163,0.0670922844029575,0.778819536411782,0,0,0,0,0,-0.0201314066921636,0,0,0,0.153007157947175,0,0,0.100911593475337,-0.257982615382615,0,0,0,0,0,0,0,0,0,0,-0.117759432180285,0
FXI.US.EQUITY,0,0,0,0,0.0832209745284483,0,0,0,0,0,-0.00960367245795427,0.18066814797011,-0.00115261883331078,0,0,0,0,-0.115224935228465,0,0,0,0,0,0,0,0,-0.17843696396301,0.174810189882472,0,0.140512386300657
VXFXI.INDEX,0,0.538461707822395,0,0,0,0,0,0,0,0,-0.650835167198394,0.344131433030139,-0.710353866139449,0,0,0,0,0,0,0,0,0.308341046285928,0,0,0,-4.92107491915688,0,0,0,0.613542598926304
CN10YR,0,0,0,0,0,0,0,0,0,0,0,-5.29395592033938e-23,-2.86863719193517e-07,0,0,0,0,0,0,0,-8.75478584527999e-06,0,0,0,0,1.05199857717671e-06,1.09052001644675e-07,0,1.00000164128091,0.999983904576724
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2351647362715e-22,0,0,0,0,0,0,0,0,0,0.999993485129041,0,-0.999997118281777
CN210SLOPE,8.72951572395457e-07,0,0,0,0,0,0,0,0,0,0,0,5.29395592033938e-23,-2.36849448545572e-06,0,0,1.5616312580569e-06,4.85227047363092e-07,0,0,0,0,0,0,0,0,8.29065777356265e-07,0.999991433991657,-0.999992507744433,0
