"","date","CGB3M","FXI.US.EQUITY","VXFXI.INDEX","TED.SP","CN3M10YSLOPE","CREDIT.SP"
"132","20191105","0.44","0.16","0.76","0.8","0.52","0.2"
"133","20191106","0.4","0.16","0.76","0.72","0.44","0.28"
"134","20191107","0.4","0.16","0.92","0.8","0.44","0.24"
"135","20191108","0.4","0.2","0.76","0.76","0.4","0.28"
"136","20191111","0.32","0.12","0.68","0.76","0.36","0.32"
"137","20191112","0.32","0.12","0.8","0.76","0.32","0.28"
"138","20191113","0.36","0.04","0.8","0.72","0.36","0.28"
"139","20191114","0.4","0.04","0.72","0.96","0.4","0.36"
"140","20191115","0.4","0.08","0.68","0.92","0.48","0.48"
"141","20191118","0.48","0.12","0.6","0.88","0.36","0.44"
"142","20191119","0.44","0.08","0.76","0.84","0.44","0.36"
"143","20191120","0.36","0.08","0.64","0.72","0.56","0.44"
"144","20191121","0.44","0.12","0.72","0.8","0.52","0.6"
"145","20191122","0.44","0.08","0.64","0.8","0.56","0.52"
"146","20191125","0.4","0.08","0.68","0.92","0.44","0.52"
"147","20191126","0.4","0.04","0.72","0.92","0.48","0.48"
"148","20191127","0.32","0.08","0.8","0.84","0.44","0.56"
"149","20191128","0.44","0.04","0.76","0.88","0.56","0.56"
"150","20191129","0.48","0.04","0.88","0.84","0.52","0.6"
"151","20191202","0.36","0.04","0.88","0.76","0.52","0.64"
"152","20191203","0.48","0.08","0.68","0.92","0.44","0.68"
"153","20191204","0.48","0.04","0.72","0.76","0.6","0.6"
"154","20191205","0.48","0.04","0.64","0.68","0.48","0.68"
"155","20191206","0.48","0.04","0.6","0.76","0.4","0.64"
"156","20191209","0.44","0.08","0.64","0.84","0.44","0.56"
"157","20191210","0.56","0.08","0.68","0.76","0.36","0.6"
"158","20191211","0.48","0.08","0.6","0.8","0.4","0.56"
"159","20191212","0.52","0.12","0.76","0.88","0.36","0.68"
"160","20191213","0.28","0.08","0.72","0.88","0.4","0.64"
"161","20191216","0.36","0.12","0.76","0.88","0.48","0.4"
"162","20191217","0.32","0.12","0.8","0.96","0.52","0.48"
"163","20191218","0.32","0.08","0.8","1","0.48","0.4"
"164","20191219","0.28","0.12","0.72","0.88","0.52","0.32"
"165","20191220","0.32","0.08","0.76","0.88","0.44","0.4"
"166","20191223","0.36","0.08","0.88","0.8","0.52","0.56"
"167","20191224","0.52","0.04","0.8","0.88","0.44","0.52"
"168","20191225","0.36","0","0.92","0.88","0.48","0.4"
"169","20191226","0.4","0.04","0.8","0.76","0.44","0.36"
"170","20191227","0.28","0.08","0.72","0.8","0.44","0.44"
"171","20191230","0.36","0.12","0.72","0.8","0.48","0.4"
"172","20191231","0.52","0.16","0.68","1","0.44","0.56"
"173","20200102","0.4","0.12","0.88","0.92","0.4","0.48"
"174","20200103","0.48","0.16","0.76","0.84","0.44","0.4"
"175","20200106","0.44","0.04","0.76","1","0.28","0.48"
"176","20200107","0.36","0.04","0.84","0.96","0.44","0.52"
"177","20200108","0.4","0.08","0.68","0.96","0.32","0.48"
"178","20200109","0.4","0.04","0.68","0.88","0.44","0.4"
"179","20200110","0.4","0","0.8","0.92","0.4","0.52"
"180","20200113","0.32","0.08","0.88","0.92","0.6","0.48"
"181","20200114","0.48","0.04","0.76","1","0.64","0.48"
"182","20200115","0.6","0","0.72","0.96","0.48","0.4"
"183","20200116","0.56","0","0.64","0.84","0.28","0.44"
"184","20200117","0.48","0.08","0.8","0.96","0.48","0.52"
"185","20200120","0.48","0.24","0.8","0.88","0.44","0.56"
"186","20200203","0.64","0.12","0.6","0.88","0.2","0.2"
"187","20200204","0.68","0.12","0.64","0.84","0.2","0.28"
"188","20200205","0.64","0.08","0.64","0.84","0.2","0.24"
"189","20200206","0.64","0.08","0.64","0.92","0.16","0.08"
"190","20200207","0.6","0.12","0.68","0.84","0.24","0.24"
"191","20200210","0.56","0.04","0.72","0.76","0.32","0.16"
"192","20200211","0.52","0.12","0.56","0.76","0.32","0.16"
"193","20200212","0.56","0.12","0.68","0.84","0.24","0.24"
"194","20200213","0.48","0.04","0.8","0.8","0.24","0.12"
"195","20200214","0.44","0.12","0.56","0.88","0.28","0.12"
"196","20200217","0.56","0.04","0.64","0.8","0.32","0.2"
"197","20200218","0.48","0.04","0.6","0.76","0.2","0.04"
"198","20200219","0.64","0.04","0.72","0.84","0.24","0.12"
"199","20200220","0.68","0.04","0.8","0.76","0.2","0.12"
"200","20200221","0.6","0.04","0.72","0.84","0.2","0.12"
"201","20200224","0.64","0.04","0.8","0.84","0.12","0.2"
"202","20200225","0.68","0.08","0.84","0.68","0.24","0.12"
"203","20200226","0.64","0.08","0.88","0.64","0.32","0.16"
"204","20200227","0.72","0.08","0.92","0.64","0.2","0.2"
"205","20200302","0.76","0.08","0.92","0.76","0.16","0.2"
"206","20200303","0.84","0.08","0.96","0.76","0.16","0.24"
"207","20200304","0.72","0.12","0.84","0.72","0.24","0.16"
"208","20200305","0.68","0","0.96","0.6","0.2","0.08"
"209","20200306","0.72","0.04","0.96","0.68","0.16","0.16"
"210","20200309","0.8","0.08","0.8","0.68","0.28","0.16"
"211","20200310","0.8","0","0.92","0.72","0.36","0.16"
"212","20200311","0.72","0.04","0.88","0.8","0.24","0.12"
"213","20200312","0.68","0","0.8","0.84","0.28","0.12"
"214","20200313","0.68","0.04","0.88","0.76","0.24","0.08"
"215","20200316","0.8","0.04","0.8","0.64","0.2","0.12"
"216","20200317","0.72","0.04","0.84","0.88","0.2","0.16"
"217","20200318","0.6","0.08","0.72","0.6","0.2","0.24"
"218","20200319","0.72","0.04","0.72","0.72","0.28","0.16"
"219","20200320","0.72","0.04","0.64","0.68","0.28","0.16"
"220","20200323","0.88","0.08","0.76","0.72","0.16","0.16"
"221","20200324","0.8","0.08","0.68","0.8","0.2","0.24"
"222","20200325","0.84","0.08","0.72","0.88","0.2","0.12"
"223","20200326","0.84","0.08","0.76","0.84","0.2","0.2"
"224","20200327","0.84","0.08","0.64","0.72","0.2","0.16"
"225","20200330","0.84","0.04","0.6","0.8","0.2","0.2"
"226","20200331","0.84","0.08","0.56","0.8","0.16","0.2"
"227","20200401","0.76","0.12","0.76","0.68","0.12","0.2"
"228","20200407","0.76","0.08","0.68","0.8","0.24","0.24"
"229","20200408","0.64","0.08","0.76","0.8","0.24","0.32"
"230","20200409","0.72","0.08","0.76","0.84","0.24","0.32"
"231","20200414","0.76","0.04","0.64","0.76","0.28","0.32"
"232","20200415","0.72","0.04","0.72","0.68","0.32","0.36"
"233","20200416","0.76","0.08","0.72","0.72","0.32","0.32"
"234","20200417","0.72","0.08","0.68","0.76","0.32","0.32"
"235","20200420","0.64","0.12","0.8","0.76","0.2","0.44"
"236","20200421","0.64","0.16","0.64","0.8","0.28","0.4"
"237","20200422","0.68","0.12","0.76","0.88","0.28","0.28"
"238","20200423","0.72","0.12","0.76","0.84","0.4","0.36"
"239","20200424","0.72","0.08","0.68","0.84","0.32","0.36"
"240","20200427","0.72","0.08","0.76","0.8","0.36","0.36"
"241","20200428","0.6","0.08","0.76","0.84","0.48","0.4"
"242","20200429","0.72","0.04","0.84","0.88","0.36","0.44"
"243","20200430","0.72","0.04","0.84","0.92","0.36","0.4"
"244","20200506","0.68","0.08","0.84","0.84","0.36","0.32"
"245","20200507","0.68","0.04","0.8","0.88","0.28","0.32"
"246","20200508","0.76","0.04","0.8","0.96","0.28","0.32"
"247","20200511","0.76","0.04","0.84","0.88","0.28","0.28"
"248","20200512","0.76","0","0.76","0.88","0.24","0.32"
"249","20200513","0.6","0","0.76","0.88","0.52","0.52"
"250","20200514","0.64","0.04","0.84","0.84","0.56","0.48"
"251","20200515","0.64","0.12","0.72","0.92","0.6","0.44"
"252","20200518","0.68","0.08","0.76","0.72","0.6","0.52"
"253","20200519","0.64","0.08","0.88","0.8","0.56","0.44"
"254","20200520","0.52","0.12","0.8","0.76","0.64","0.4"
"255","20200521","0.44","0.04","0.88","0.8","0.56","0.44"
"256","20200522","0.6","0.04","0.76","0.8","0.4","0.4"
"257","20200525","0.64","0.12","0.84","0.84","0.4","0.44"
"258","20200526","0.56","0.16","0.72","0.68","0.4","0.44"
"259","20200527","0.6","0.12","0.8","0.76","0.44","0.56"
"260","20200528","0.56","0.08","0.72","0.76","0.44","0.48"
"261","20200529","0.6","0.12","0.76","0.72","0.32","0.52"
"262","20200601","0.52","0.08","0.6","0.8","0.48","0.44"
"263","20200602","0.52","0.12","0.76","0.84","0.48","0.4"
"264","20200603","0.64","0.24","0.72","0.68","0.48","0.4"
"265","20200604","0.52","0.16","0.76","0.6","0.52","0.44"
"266","20200605","0.56","0.12","0.68","0.76","0.48","0.4"
"267","20200608","0.56","0.12","0.6","0.72","0.44","0.48"
"268","20200609","0.48","0.08","0.72","0.72","0.48","0.52"
"269","20200610","0.6","0.12","0.68","0.84","0.44","0.52"
"270","20200611","0.44","0.08","0.68","0.8","0.52","0.44"
"271","20200612","0.44","0.12","0.68","0.84","0.6","0.48"
"272","20200615","0.64","0.12","0.68","0.88","0.48","0.44"
"273","20200616","0.4","0.2","0.68","0.8","0.52","0.48"
"274","20200617","0.44","0.12","0.68","0.76","0.44","0.48"
"275","20200618","0.52","0.12","0.76","0.8","0.44","0.64"
"276","20200619","0.48","0.12","0.68","0.92","0.48","0.52"
"277","20200622","0.44","0.12","0.6","0.88","0.48","0.36"
"278","20200623","0.48","0.04","0.64","0.84","0.52","0.44"
"279","20200624","0.44","0","0.6","0.8","0.56","0.44"
"280","20200629","0.56","0.04","0.76","0.8","0.52","0.36"
"281","20200630","0.48","0.04","0.68","0.92","0.48","0.36"
"282","20200701","0.52","0.08","0.76","0.76","0.68","0.48"
"283","20200702","0.44","0.04","0.84","0.84","0.64","0.48"
"284","20200706","0.36","0.08","0.88","0.76","0.68","0.36"
"285","20200707","0.44","0.16","0.72","0.84","0.6","0.4"
"286","20200708","0.56","0.08","0.56","0.76","0.64","0.48"
"287","20200709","0.56","0.08","0.64","0.8","0.76","0.52"
"288","20200710","0.4","0.04","0.48","0.76","0.64","0.4"
"289","20200713","0.24","0.04","0.52","0.8","0.76","0.48"
"290","20200714","0.4","0.08","0.56","0.8","0.64","0.4"
"291","20200715","0.4","0","0.64","0.88","0.64","0.44"
"292","20200716","0.32","0","0.6","0.76","0.72","0.56"
"293","20200717","0.36","0.04","0.56","0.88","0.6","0.4"
"294","20200720","0.24","0.04","0.6","0.88","0.6","0.44"
"295","20200721","0.24","0.08","0.68","0.88","0.68","0.44"
"296","20200722","0.32","0.08","0.64","0.92","0.76","0.52"
"297","20200723","0.36","0.12","0.6","0.84","0.72","0.44"
"298","20200724","0.36","0.16","0.56","0.84","0.68","0.4"
"299","20200727","0.4","0.16","0.56","0.96","0.56","0.4"
"300","20200728","0.28","0.16","0.6","0.92","0.6","0.4"
"301","20200729","0.32","0.12","0.6","0.88","0.64","0.36"
"302","20200730","0.32","0.12","0.52","0.88","0.76","0.52"
"303","20200731","0.32","0.16","0.68","0.96","0.48","0.52"
"304","20200803","0.32","0.16","0.6","1","0.64","0.44"
"305","20200804","0.4","0.12","0.6","1","0.6","0.44"
"306","20200805","0.44","0.16","0.68","1","0.48","0.52"
"307","20200806","0.4","0.12","0.56","1","0.6","0.52"
"308","20200807","0.2","0.04","0.68","0.96","0.56","0.6"
"309","20200810","0.28","0.08","0.64","0.96","0.6","0.6"
"310","20200811","0.28","0.12","0.64","0.92","0.68","0.52"
"311","20200812","0.24","0.12","0.56","0.92","0.56","0.52"
"312","20200813","0.28","0.08","0.56","0.92","0.6","0.6"
"313","20200814","0.36","0.08","0.64","0.96","0.64","0.52"
"314","20200817","0.32","0.08","0.56","0.92","0.64","0.44"
"315","20200818","0.24","0.04","0.56","1","0.6","0.44"
"316","20200819","0.32","0.08","0.68","0.96","0.6","0.52"
"317","20200820","0.28","0.04","0.6","0.92","0.52","0.4"
"318","20200821","0.36","0.04","0.64","0.88","0.52","0.48"
"319","20200824","0.32","0.04","0.64","0.96","0.6","0.48"
"320","20200825","0.32","0.04","0.64","0.96","0.48","0.48"
"321","20200826","0.28","0.04","0.6","0.96","0.48","0.52"
"322","20200827","0.28","0.04","0.56","1","0.4","0.56"
"323","20200828","0.36","0.04","0.64","0.84","0.6","0.4"
"324","20200831","0.32","0.08","0.48","0.88","0.56","0.4"
"325","20200901","0.28","0.04","0.6","0.88","0.6","0.44"
"326","20200902","0.36","0","0.6","0.8","0.6","0.36"
"327","20200903","0.32","0","0.6","0.8","0.6","0.36"
"328","20200904","0.32","0.08","0.68","0.88","0.64","0.28"
"329","20200908","0.4","0.08","0.8","0.92","0.56","0.32"
"330","20200909","0.36","0.04","0.6","0.88","0.64","0.24"
"331","20200910","0.4","0.08","0.76","0.8","0.52","0.28"
"332","20200911","0.4","0.08","0.68","0.88","0.6","0.2"
"333","20200914","0.4","0.12","0.52","0.96","0.64","0.28"
"334","20200915","0.36","0.08","0.56","0.88","0.6","0.28"
"335","20200916","0.48","0.08","0.64","0.88","0.6","0.2"
"336","20200917","0.32","0.08","0.6","0.76","0.68","0.2"
"337","20200918","0.28","0.08","0.6","0.8","0.6","0.2"
"338","20200921","0.44","0.08","0.64","0.8","0.72","0.28"
"339","20200922","0.36","0.04","0.68","0.88","0.68","0.24"
"340","20200923","0.36","0.08","0.72","0.96","0.56","0.2"
"341","20200924","0.28","0.08","0.72","0.92","0.68","0.2"
"342","20200925","0.28","0.08","0.76","0.92","0.76","0.2"
"343","20200928","0.44","0.08","0.64","0.84","0.72","0.2"
"344","20200929","0.44","0.04","0.6","0.84","0.68","0.28"
"345","20200930","0.4","0.04","0.72","0.92","0.72","0.24"
"346","20201009","0.52","0.16","0.8","0.76","0.52","0.44"
"347","20201012","0.4","0.04","0.6","0.84","0.72","0.4"
"348","20201013","0.32","0.04","0.56","0.8","0.44","0.28"
"349","20201014","0.4","0.04","0.48","0.88","0.6","0.36"
"350","20201015","0.36","0.04","0.6","0.84","0.76","0.4"
"351","20201016","0.44","0.04","0.48","0.64","0.56","0.48"
"352","20201019","0.48","0.04","0.64","0.72","0.48","0.4"
"353","20201020","0.48","0.04","0.72","0.68","0.6","0.44"
"354","20201021","0.64","0.04","0.8","0.72","0.48","0.48"
"355","20201022","0.6","0.04","0.68","0.76","0.56","0.44"
"356","20201023","0.48","0.04","0.64","0.88","0.64","0.44"
"357","20201026","0.48","0","0.84","0.84","0.36","0.24"
"358","20201027","0.48","0.04","0.68","0.8","0.56","0.36"
"359","20201028","0.44","0.04","0.8","0.68","0.56","0.4"
"360","20201029","0.44","0.04","0.76","0.84","0.6","0.44"
"361","20201030","0.44","0.08","0.76","0.84","0.68","0.44"
