"","date","FXI.US.EQUITY","VXFXI.INDEX","CN10YR","CN2YR","CN210SLOPE"
"270","20191114","0","0.56","0.04","0","0"
"271","20191115","0","0.64","0.08","0","0"
"272","20191118","0","0.48","0.04","0.08","0"
"273","20191119","0.04","0.52","0.08","0.04","0"
"274","20191120","0","0.48","0.08","0.04","0"
"275","20191121","0","0.56","0.08","0.04","0"
"276","20191122","0","0.36","0.08","0","0"
"277","20191125","0","0.44","0.12","0","0"
"278","20191126","0","0.36","0.08","0","0"
"279","20191127","0","0.4","0.08","0.04","0"
"280","20191128","0.04","0.64","0.08","0","0"
"281","20191129","0","0.68","0","0","0"
"282","20191202","0","0.68","0","0","0"
"283","20191203","0","0.72","0","0.04","0"
"284","20191204","0","0.72","0.12","0.04","0"
"285","20191205","0","0.8","0.04","0.04","0"
"286","20191206","0.04","0.8","0.12","0.04","0"
"287","20191209","0.04","0.8","0.08","0","0"
"288","20191210","0.04","0.8","0.16","0.04","0"
"289","20191211","0.04","0.8","0.16","0.04","0"
"290","20191212","0.04","0.76","0.08","0.04","0"
"291","20191213","0.04","0.8","0","0.04","0"
"292","20191216","0.08","0.76","0.08","0.04","0"
"293","20191217","0.08","0.8","0.08","0.04","0"
"294","20191218","0.08","0.8","0.08","0.04","0"
"295","20191219","0.04","0.8","0.08","0","0"
"296","20191220","0.04","0.8","0.08","0","0"
"297","20191223","0.08","0.72","0.08","0","0"
"298","20191224","0.04","0.72","0.08","0.04","0"
"299","20191225","0.04","0.6","0.12","0.04","0"
"300","20191226","0.04","0.68","0.12","0.04","0"
"301","20191227","0.04","0.72","0.08","0","0"
"302","20191230","0.08","0.8","0.08","0.04","0"
"303","20191231","0.04","0.76","0.12","0","0"
"304","20200102","0.04","0.76","0.08","0","0"
"305","20200103","0.08","0.84","0.08","0.04","0"
"306","20200106","0.04","0.76","0.08","0.04","0"
"307","20200107","0","0.8","0.08","0","0"
"308","20200108","0","0.8","0.12","0","0"
"309","20200109","0","0.8","0.08","0.04","0"
"310","20200110","0","0.76","0.04","0.04","0"
"311","20200113","0","0.8","0.04","0.04","0"
"312","20200114","0.08","0.84","0.04","0.04","0"
"313","20200115","0","0.72","0.08","0","0"
"314","20200116","0.08","0.68","0.08","0.04","0"
"315","20200117","0.04","0.8","0.04","0.08","0"
"316","20200120","0","0.92","0.12","0.04","0"
"317","20200203","0","0.72","0.36","0","0"
"318","20200204","0.04","0.8","0.28","0","0"
"319","20200205","0.04","0.8","0.32","0","0"
"320","20200206","0","0.72","0.24","0","0"
"321","20200207","0","0.68","0.32","0","0"
"322","20200210","0","0.68","0.32","0","0"
"323","20200211","0","0.72","0.68","0.04","0"
"324","20200212","0","0.72","0.6","0","0"
"325","20200213","0","0.72","0.52","0","0"
"326","20200214","0","0.68","0.52","0","0"
"327","20200217","0","0.76","0.72","0","0"
"328","20200218","0","0.84","0.6","0","0"
"329","20200219","0","0.76","0.64","0","0"
"330","20200220","0","0.72","0.56","0","0"
"331","20200221","0","0.68","0.52","0.04","0"
"332","20200224","0","0.68","0.52","0","0"
"333","20200225","0","0.72","0.64","0","0"
"334","20200226","0","0.72","0.64","0.04","0"
"335","20200227","0","0.84","0.6","0","0"
"336","20200302","0","0.8","0.68","0","0"
"337","20200303","0","0.76","0.76","0","0"
"338","20200304","0","0.76","0.72","0","0"
"339","20200305","0","0.76","0.6","0","0"
"340","20200306","0","0.72","0.52","0","0"
"341","20200309","0","0.76","0.68","0","0"
"342","20200310","0","0.68","0.68","0","0"
"343","20200311","0","0.64","0.64","0.04","0"
"344","20200312","0","0.68","0.68","0","0"
"345","20200313","0","0.48","0.52","0","0"
"346","20200316","0","0.68","0.36","0","0"
"347","20200317","0","0.56","0.48","0","0"
"348","20200318","0.04","0.6","0.4","0","0"
"349","20200319","0.04","0.56","0.32","0","0"
"350","20200320","0","0.64","0.2","0","0"
"351","20200323","0","0.48","0.28","0","0"
"352","20200324","0","0.6","0.36","0","0"
"353","20200325","0","0.56","0.36","0","0"
"354","20200326","0","0.48","0.28","0","0"
"355","20200327","0","0.56","0.2","0","0"
"356","20200330","0","0.64","0.2","0","0"
"357","20200331","0","0.6","0.28","0","0"
"358","20200401","0","0.64","0.32","0","0"
"359","20200407","0","0.56","0.2","0.08","0"
"360","20200408","0","0.68","0.2","0.08","0"
"361","20200409","0","0.6","0.24","0.04","0"
"362","20200414","0","0.68","0.2","0.08","0"
"363","20200415","0","0.6","0.32","0.04","0"
