"","date","FXI.US.EQUITY","VXFXI.INDEX","CN10YR","CN2YR","CN210SLOPE"
"38","20200611","0.12","0.8","0.24","0.28","0.12"
"39","20200612","0.12","0.72","0.32","0.4","0.12"
"40","20200615","0.12","0.72","0.44","0.2","0.12"
"41","20200616","0.12","0.6","0.24","0.32","0.08"
"42","20200617","0.12","0.68","0.2","0.32","0.08"
"43","20200618","0.12","0.56","0.24","0.36","0.16"
"44","20200619","0.12","0.6","0.2","0.32","0.12"
"45","20200622","0.08","0.64","0.24","0.24","0.04"
"46","20200623","0","0.76","0.2","0.28","0.12"
"47","20200624","0","0.76","0.16","0.24","0.12"
"48","20200629","0","0.72","0.32","0.28","0.24"
"49","20200630","0","0.72","0.28","0.24","0.32"
"50","20200701","0","0.76","0.44","0.44","0.28"
"51","20200702","0.04","0.68","0.4","0.28","0.32"
"52","20200703","0.04","0.64","0.36","0.24","0.28"
"53","20200706","0.08","0.44","0.28","0.32","0.28"
"54","20200707","0","0.52","0.28","0.2","0.4"
"55","20200708","0.08","0.36","0.32","0.24","0.32"
"56","20200709","0.08","0.68","0.32","0.28","0.32"
"57","20200710","0.04","0.4","0.16","0.2","0.16"
"58","20200713","0.04","0.4","0.2","0.24","0.32"
"59","20200714","0.04","0.4","0.2","0.16","0.24"
"60","20200715","0.08","0.52","0.32","0.2","0.32"
"61","20200716","0.08","0.4","0.36","0.16","0.24"
"62","20200717","0.04","0.6","0.36","0.2","0.24"
"63","20200720","0.08","0.52","0.28","0.24","0.2"
"64","20200721","0.08","0.6","0.32","0.24","0.2"
"65","20200722","0.04","0.52","0.32","0.2","0.24"
"66","20200723","0","0.6","0.4","0.2","0.2"
"67","20200724","0.08","0.64","0.24","0.36","0.2"
"68","20200727","0","0.52","0.28","0.28","0.2"
"69","20200728","0","0.56","0.24","0.28","0.2"
"70","20200729","0","0.48","0.2","0.32","0.28"
"71","20200730","0","0.52","0.2","0.16","0.24"
"72","20200731","0","0.6","0.24","0.36","0.12"
"73","20200803","0.04","0.56","0.24","0.36","0.12"
"74","20200804","0.08","0.6","0.2","0.44","0.2"
"75","20200805","0.08","0.68","0.28","0.28","0.2"
"76","20200806","0.08","0.44","0.36","0.36","0.16"
"77","20200807","0.04","0.52","0.24","0.28","0.2"
"78","20200810","0.04","0.64","0.2","0.36","0.16"
"79","20200811","0","0.56","0.16","0.36","0.2"
"80","20200812","0.04","0.52","0.2","0.32","0.16"
"81","20200813","0","0.52","0.16","0.32","0.12"
"82","20200814","0.12","0.56","0.16","0.32","0.16"
"83","20200817","0.12","0.48","0.12","0.28","0.12"
"84","20200818","0.12","0.48","0.12","0.4","0.2"
"85","20200819","0.04","0.52","0.12","0.44","0.16"
"86","20200820","0","0.56","0.2","0.28","0.12"
"87","20200821","0.04","0.64","0.08","0.2","0.16"
"88","20200824","0.08","0.68","0.16","0.36","0.12"
"89","20200825","0.04","0.72","0.12","0.24","0.2"
"90","20200826","0.04","0.72","0.16","0.2","0.2"
"91","20200827","0.04","0.64","0.08","0.28","0.24"
"92","20200828","0.08","0.56","0.12","0.28","0.16"
"93","20200831","0.08","0.56","0.12","0.24","0.24"
"94","20200901","0.08","0.6","0.04","0.24","0.24"
"95","20200902","0.08","0.64","0.08","0.24","0.16"
"96","20200903","0.08","0.64","0","0.24","0.16"
"97","20200904","0.08","0.68","0.08","0.2","0.16"
"98","20200907","0.04","0.56","0.12","0.16","0.16"
"99","20200908","0.04","0.6","0.08","0.24","0.28"
"100","20200909","0.04","0.56","0.08","0.28","0.2"
"101","20200910","0.08","0.52","0.08","0.28","0.16"
"102","20200911","0.08","0.44","0.12","0.28","0.16"
"103","20200914","0.08","0.52","0.12","0.16","0.12"
"104","20200915","0.08","0.48","0.12","0.2","0.16"
"105","20200916","0.08","0.52","0.04","0.16","0.12"
"106","20200917","0.08","0.44","0.12","0.16","0.08"
"107","20200918","0.08","0.44","0.04","0.12","0.12"
"108","20200921","0.08","0.4","0.04","0.24","0.12"
"109","20200922","0.08","0.48","0.12","0.16","0.12"
"110","20200923","0.08","0.44","0.12","0.2","0.12"
"111","20200924","0.08","0.52","0.16","0.28","0.2"
"112","20200925","0.08","0.44","0.16","0.16","0.2"
"113","20200928","0.08","0.52","0.16","0.28","0.2"
"114","20200929","0.08","0.52","0.08","0.24","0.2"
"115","20200930","0.08","0.52","0.04","0.24","0.2"
"116","20201009","0.08","0.84","0.28","0.2","0.32"
"117","20201012","0.04","0.36","0.12","0.12","0"
"118","20201013","0.08","0.56","0.08","0.12","0.12"
"119","20201014","0","0.32","0.16","0.08","0.04"
"120","20201015","0","0.56","0.16","0.28","0.08"
"121","20201016","0","0.44","0.08","0.2","0.04"
"122","20201019","0","0.52","0.16","0.24","0.08"
"123","20201020","0","0.6","0.08","0.12","0.12"
"124","20201021","0","0.6","0.2","0.2","0.08"
"125","20201022","0","0.64","0.2","0.12","0.16"
"126","20201023","0","0.64","0.24","0.2","0"
"127","20201026","0.04","0.44","0.2","0.24","0.12"
"128","20201027","0.08","0.64","0.2","0.2","0.12"
"129","20201028","0","0.72","0.2","0.24","0.08"
"130","20201029","0.08","0.64","0.28","0.28","0.16"
"131","20201030","0.08","0.8","0.2","0.24","0.12"
"132","20190416","0.04","0.68","0.24","0.2","0.04"
"133","20190417","0.04","0.6","0.28","0.16","0.08"
"134","20190418","0.04","0.52","0.32","0.2","0.08"
"135","20190419","0.04","0.76","0.12","0.28","0.16"
"136","20190422","0.04","0.64","0.16","0.16","0.12"
"137","20190423","0.08","0.6","0.24","0.2","0.12"
"138","20190424","0.08","0.52","0.16","0.2","0.12"
"139","20190425","0.04","0.52","0.24","0.2","0.16"
"140","20190426","0.04","0.6","0.16","0.12","0.08"
"141","20190429","0.04","0.52","0.12","0.28","0.12"
"142","20190430","0.04","0.64","0.12","0.2","0.12"
"143","20190506","0.08","0.64","0.16","0.2","0.12"
"144","20190507","0.08","0.68","0.16","0.2","0.08"
"145","20190508","0","0.76","0.12","0.24","0.12"
"146","20190509","0","0.8","0.12","0.12","0.08"
"147","20190510","0","0.76","0.16","0.08","0.12"
"148","20190513","0","0.8","0.04","0.16","0.04"
"149","20190514","0","0.84","0.16","0.16","0.08"
"150","20190515","0.04","0.76","0.16","0.16","0.16"
"151","20190516","0","0.8","0.08","0.08","0.12"
"152","20190517","0","0.76","0.08","0.08","0.12"
"153","20190520","0","0.64","0.08","0.16","0.04"
"154","20190521","0","0.8","0.08","0.16","0.08"
"155","20190522","0","0.76","0.04","0.16","0.04"
"156","20190523","0.08","0.68","0.08","0.12","0.08"
"157","20190524","0.04","0.76","0.08","0.08","0.04"
"158","20190527","0","0.68","0.12","0.08","0.04"
"159","20190528","0.12","0.76","0.08","0.08","0.04"
"160","20190529","0.08","0.8","0.2","0.04","0.08"
"161","20190530","0.08","0.72","0.16","0.08","0.08"
"162","20190531","0.12","0.72","0.12","0.04","0.12"
"163","20190603","0.16","0.68","0.2","0.12","0.16"
"164","20190604","0.08","0.76","0.28","0.16","0.16"
"165","20190605","0.16","0.72","0.28","0.08","0.12"
"166","20190606","0.08","0.8","0.28","0.12","0.12"
"167","20190610","0.08","0.84","0.2","0.08","0.16"
"168","20190611","0.08","0.76","0.32","0.08","0.12"
"169","20190612","0.24","0.76","0.24","0.24","0.16"
"170","20190613","0.2","0.76","0.24","0.24","0.24"
"171","20190614","0.2","0.76","0.24","0.24","0.2"
"172","20190617","0.2","0.72","0.2","0.16","0.12"
"173","20190618","0.2","0.8","0.24","0.12","0.16"
"174","20190619","0.2","0.84","0.2","0.16","0.12"
"175","20190620","0.12","0.72","0.28","0.16","0.12"
"176","20190621","0.16","0.76","0.28","0.2","0.12"
"177","20190624","0.16","0.72","0.28","0.08","0.16"
"178","20190625","0.16","0.64","0.2","0.24","0.12"
"179","20190626","0.12","0.68","0.16","0.12","0.12"
"180","20190627","0.12","0.68","0.2","0.16","0.12"
"181","20190628","0.12","0.68","0.2","0.2","0.2"
"182","20190701","0.12","0.72","0.2","0.2","0.16"
"183","20190702","0.12","0.72","0.24","0.24","0.16"
"184","20190703","0.12","0.88","0.16","0.32","0.16"
"185","20190704","0.16","0.72","0.2","0.36","0.08"
"186","20190705","0.16","0.76","0.16","0.36","0.12"
"187","20190708","0.2","0.8","0.12","0.24","0.12"
"188","20190709","0.2","0.72","0.2","0.2","0.12"
"189","20190710","0.2","0.64","0.24","0.24","0.2"
"190","20190711","0.12","0.72","0.24","0.2","0.12"
"191","20190712","0.16","0.64","0.28","0.28","0.24"
"192","20190715","0.12","0.64","0.2","0.24","0.16"
"193","20190716","0.12","0.64","0.2","0.36","0.24"
"194","20190717","0.16","0.6","0.24","0.32","0.12"
"195","20190718","0.16","0.56","0.2","0.32","0.16"
"196","20190719","0.08","0.76","0.2","0.32","0.16"
"197","20190722","0.2","0.68","0.28","0.2","0.12"
"198","20190723","0.12","0.84","0.28","0.12","0.12"
"199","20190724","0.12","0.84","0.24","0.16","0.08"
"200","20190725","0.12","0.72","0.24","0.12","0.08"
"201","20190726","0.08","0.72","0.2","0.2","0.08"
"202","20190729","0.08","0.6","0.28","0.24","0.08"
"203","20190730","0.04","0.56","0.2","0.2","0.08"
"204","20190731","0.08","0.68","0.12","0.16","0.08"
"205","20190801","0.12","0.56","0.12","0.16","0.08"
"206","20190802","0.08","0.76","0.32","0.16","0.16"
"207","20190805","0.04","0.72","0.4","0.12","0.16"
"208","20190806","0.08","0.68","0.36","0.12","0.08"
"209","20190807","0.12","0.8","0.44","0.16","0.24"
"210","20190808","0.04","0.76","0.52","0.12","0.28"
"211","20190812","0.04","0.68","0.36","0.2","0.28"
"212","20190813","0.08","0.68","0.44","0.12","0.24"
"213","20190814","0.08","0.76","0.36","0.16","0.28"
"214","20190815","0.04","0.76","0.44","0.16","0.24"
"215","20190816","0","0.8","0.28","0.16","0.24"
"216","20190819","0.04","0.76","0.4","0.2","0.28"
"217","20190820","0.08","0.76","0.44","0.16","0.2"
"218","20190821","0","0.76","0.44","0.12","0.12"
"219","20190822","0","0.8","0.44","0.12","0.12"
"220","20190823","0","0.6","0.4","0.16","0.16"
"221","20190826","0","0.84","0.36","0.12","0.2"
"222","20190827","0.04","0.92","0.36","0.16","0.12"
"223","20190828","0.04","0.76","0.32","0.16","0.04"
"224","20190829","0.04","0.8","0.32","0.16","0.12"
"225","20190830","0.08","0.68","0.36","0.16","0.12"
"226","20190902","0.04","0.84","0.36","0","0.24"
"227","20190903","0.12","0.72","0.24","0","0.24"
"228","20190904","0.08","0.84","0.32","0.16","0.16"
"229","20190905","0.08","0.76","0.24","0.08","0.2"
"230","20190906","0.08","0.68","0.24","0.12","0.24"
"231","20190909","0.08","0.72","0.24","0.04","0.16"
"232","20190910","0.08","0.8","0.28","0.08","0.16"
"233","20190911","0.08","0.88","0.32","0.08","0.12"
"234","20190912","0.04","0.8","0.32","0.2","0.08"
"235","20190916","0.04","0.84","0.36","0.16","0.08"
"236","20190917","0.04","0.84","0.32","0.12","0.04"
"237","20190918","0.08","0.8","0.28","0.16","0.12"
"238","20190919","0.04","0.84","0.24","0.12","0.08"
"239","20190920","0.04","0.88","0.36","0.16","0.08"
"240","20190923","0.04","0.88","0.36","0.16","0.04"
"241","20190924","0","0.92","0.36","0.12","0.16"
"242","20190925","0","0.96","0.44","0.16","0.08"
"243","20190926","0.04","0.76","0.36","0.24","0.16"
"244","20190927","0.04","0.88","0.36","0.28","0.12"
"245","20191008","0","0.72","0.36","0.16","0.28"
"246","20191009","0","0.72","0.28","0.2","0.32"
"247","20191014","0","0.68","0.32","0.2","0.12"
"248","20191015","0.04","0.68","0.4","0.2","0.2"
"249","20191016","0","0.76","0.32","0.12","0.16"
"250","20191017","0","0.8","0.24","0.08","0.2"
"251","20191018","0","0.76","0.36","0.12","0.12"
"252","20191021","0","0.84","0.32","0.04","0.2"
"253","20191022","0","0.8","0.32","0.08","0.2"
"254","20191023","0","0.84","0.28","0.12","0.2"
"255","20191024","0","0.8","0.32","0.12","0.12"
"256","20191025","0","0.88","0.36","0.08","0.2"
"257","20191028","0","0.8","0.12","0.12","0.2"
"258","20191029","0.04","0.92","0.2","0.2","0.2"
"259","20191030","0.04","0.76","0.28","0.28","0.16"
"260","20191031","0.04","0.84","0.28","0.32","0.16"
"261","20191101","0.04","0.88","0.36","0.24","0.12"
"262","20191104","0.04","0.88","0.24","0.28","0.12"
"263","20191105","0.04","0.84","0.2","0.32","0.12"
"264","20191106","0.04","0.76","0.32","0.24","0.08"
"265","20191107","0.04","0.84","0.36","0.2","0.08"
"266","20191108","0.04","0.88","0.24","0.2","0.04"
"267","20191111","0","0.8","0.2","0.16","0.04"
"268","20191112","0","0.76","0.2","0.2","0.04"
"269","20191113","0.04","0.88","0.24","0.24","0.08"
"270","20191114","0","0.76","0.2","0.12","0.16"
"271","20191115","0","0.72","0.2","0.12","0.04"
"272","20191118","0","0.52","0.24","0.28","0.08"
"273","20191119","0.08","0.64","0.32","0.32","0.04"
"274","20191120","0.04","0.68","0.24","0.32","0"
"275","20191121","0.04","0.68","0.2","0.32","0.04"
"276","20191122","0.04","0.6","0.16","0.32","0"
"277","20191125","0.08","0.68","0.24","0.32","0.08"
"278","20191126","0.08","0.68","0.32","0.12","0.04"
"279","20191127","0.08","0.76","0.2","0.2","0.08"
"280","20191128","0.12","0.88","0.2","0.12","0.04"
"281","20191129","0.08","0.72","0.28","0.16","0"
"282","20191202","0.08","0.8","0.16","0.12","0.04"
"283","20191203","0.12","0.72","0.2","0.12","0.08"
"284","20191204","0.08","0.84","0.24","0.2","0.04"
"285","20191205","0.08","0.8","0.24","0.2","0.08"
"286","20191206","0.08","0.76","0.12","0.2","0.16"
"287","20191209","0.04","0.8","0.2","0.28","0.16"
"288","20191210","0.12","0.76","0.16","0.28","0.08"
"289","20191211","0.04","0.8","0.16","0.2","0.08"
"290","20191212","0.08","0.72","0.36","0.2","0.08"
"291","20191213","0.12","0.8","0.28","0.16","0.08"
"292","20191216","0","0.68","0.28","0.2","0"
"293","20191217","0.04","0.56","0.36","0.16","0.12"
"294","20191218","0.08","0.72","0.32","0.2","0.04"
"295","20191219","0.04","0.6","0.24","0.2","0"
"296","20191220","0.08","0.68","0.2","0.16","0.04"
"297","20191223","0.08","0.72","0.24","0.16","0"
"298","20191224","0","0.88","0.28","0.2","0.08"
"299","20191225","0.12","0.8","0.28","0.24","0.08"
"300","20191226","0.16","0.64","0.28","0.2","0"
"301","20191227","0.04","0.68","0.32","0.28","0.04"
"302","20191230","0.04","0.72","0.24","0.28","0.04"
"303","20191231","0.08","0.84","0.28","0.24","0"
"304","20200102","0.12","0.8","0.24","0.16","0"
"305","20200103","0.12","0.72","0.28","0.12","0.04"
"306","20200106","0.12","0.8","0.32","0.32","0.08"
"307","20200107","0.12","0.68","0.44","0.28","0.04"
"308","20200108","0.12","0.64","0.28","0.24","0"
"309","20200109","0.12","0.64","0.24","0.32","0"
"310","20200110","0.12","0.68","0.36","0.28","0"
"311","20200113","0.12","0.6","0.36","0.24","0"
"312","20200114","0.08","0.68","0.32","0.2","0.04"
"313","20200115","0.12","0.6","0.44","0.28","0"
"314","20200116","0.08","0.64","0.32","0.2","0"
"315","20200117","0.12","0.76","0.24","0.32","0.08"
"316","20200120","0.24","0.68","0.36","0.24","0.04"
"317","20200203","0.08","0.92","0.68","0.08","0"
"318","20200204","0.08","0.84","0.6","0.04","0"
"319","20200205","0.08","0.8","0.6","0.04","0"
"320","20200206","0.04","0.76","0.8","0.04","0"
"321","20200207","0.12","0.8","0.68","0.04","0"
"322","20200210","0.04","0.88","0.76","0.04","0.04"
"323","20200211","0.04","0.8","0.76","0.08","0.04"
"324","20200212","0.04","0.8","0.72","0.08","0.04"
"325","20200213","0.04","0.8","0.72","0.04","0.04"
"326","20200214","0.04","0.72","0.72","0.08","0"
"327","20200217","0.08","0.8","0.76","0.04","0.04"
"328","20200218","0.16","0.72","0.76","0.04","0.04"
"329","20200219","0.08","0.76","0.68","0.08","0.04"
"330","20200220","0.12","0.84","0.84","0.04","0.04"
"331","20200221","0.12","0.76","0.8","0.12","0.08"
"332","20200224","0.08","0.76","0.76","0.08","0.08"
"333","20200225","0.08","0.84","0.84","0.04","0.04"
"334","20200226","0.12","0.88","0.76","0","0.04"
"335","20200227","0.08","0.92","0.84","0","0.08"
"336","20200302","0.12","0.84","0.84","0","0.08"
"337","20200303","0.12","0.84","0.84","0","0.12"
"338","20200304","0.08","0.84","0.76","0","0.08"
"339","20200305","0.12","0.72","0.84","0","0.08"
"340","20200306","0.08","0.76","0.88","0","0.04"
"341","20200309","0.08","0.72","0.84","0","0"
"342","20200310","0.04","0.76","0.88","0","0"
"343","20200311","0.08","0.56","0.8","0","0"
"344","20200312","0.08","0.76","0.68","0.04","0"
"345","20200313","0","0.56","0.68","0.08","0"
"346","20200316","0.04","0.64","0.6","0","0"
"347","20200317","0","0.64","0.52","0","0"
"348","20200318","0","0.72","0.6","0","0"
"349","20200319","0","0.76","0.56","0","0"
"350","20200320","0","0.72","0.6","0","0"
"351","20200323","0","0.68","0.52","0","0"
"352","20200324","0","0.68","0.52","0","0.04"
"353","20200325","0","0.68","0.56","0.04","0.04"
"354","20200326","0","0.64","0.52","0","0.04"
"355","20200327","0","0.76","0.52","0.04","0.04"
"356","20200330","0","0.64","0.56","0.08","0.04"
"357","20200331","0","0.6","0.6","0.04","0"
"358","20200401","0","0.6","0.72","0","0"
"359","20200407","0.04","0.64","0.52","0.16","0"
"360","20200408","0.04","0.56","0.6","0.08","0.04"
"361","20200409","0","0.56","0.56","0.04","0.04"
"362","20200414","0","0.48","0.64","0.08","0.04"
"363","20200415","0","0.56","0.64","0.08","0.04"
