,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.504315679302421,0,0,0,0,0,0,0,0,0,0,0,0.29811869005161,0,0,0,0,0,0,0,0,0,0.0247664015907515,0,0.0340680152028025,0,0,0
X1299.HK.EQUITY,0,0,0,0.10247851544911,0,0,0,0,0,0,0,0,0,0.171307085294582,0,0,0,0,6.93889390390723e-18,0,0,0.283459526726841,0,0.109335160965788,0.0528454899405372,0.0108829862909829,0,-0.0141164661288666,0.00332892991149135,0,-0.0450862075527233
X2628.HK.EQUITY,0,0,0.513064218168571,0,0.167347835658224,0,0,0,0,0,0.134241383755503,0,0,0.0554607807941674,0,0,0,0,0,0.134513286517691,0,0,0,0,0.195428543019818,0.0100555330219158,0,0.0149851256606481,0.0145464541383874,0,0
X601628.CH.EQUITY,0,0,0,0.212177937788353,0,0,0,0,0,0,0,0,0,0,0,0,0.133581856380788,0,0.338968927219688,0,0,0,0,0,0,-0.00922419209839918,0,0.00481986551127817,0.00500721693114703,0.0308738371808744,0
X601328.CH.EQUITY,0,0,0,0,0,0.0681487722004288,0,0,0,0,0,0,0,0,0,0.0941562638820133,0,0.383611389938505,0.0522672783631234,0.0284526422087469,0,0.102542961368514,0,-3.46944695195361e-18,0,0.0933433132314758,0,-0.00665055793618346,0.00761716187362787,0,0
X3328.HK.EQUITY,1.1754454026605,0,0,0,0,0,0,0,0,0,0.0388757927316083,-0.0966227026202089,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317924963353212,0,-0.0104610124271474,-0.0313530367422657,0.0915224110486043,0
X601166.CH.EQUITY,0.0282367670089597,0,0,0,0,0,0.336311668708797,0,0,0,0,0,0,0,0,0.0609787440436449,0,0.0464602029429759,0,-0.0270813383802695,0.0896210990955602,0,0,0,0,0,0,-0.00491803150807119,0.0160248275428271,0.0682720091022156,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.284769244589289,0,0,0,0,0.0587474173051041,0,0,0.102086671922333,-0.112466691878925,0,0.118588719901097,0,0,0,0,0,-0.00377358042571695,0.00722003484875521,-0.000933649557084791,0.0457367850055619
X601601.CH.EQUITY,0,0,0,0.235616854927537,0,0,0,0,0,0,0,0,0,0.606082539165054,0,0,-0.0809345201860044,0,0,0,0,0.0257647894917193,0,0,0,0.00157224845169693,0,0.00623474598981869,0,0,0
X601319.CH.EQUITY,0,0.00450318879064601,0,0.197197396120098,-0.0574042701929609,0,0,0,0,0,0,0,0.33203267952699,0,-0.178803186555534,0,0,0,0.606800985836357,0,0,-0.0237267257740689,0,0,0,0,0,0.000146075880373063,-0.00870317148818378,4.33680868994202e-19,-0.0354286972559377
X000002.CH.EQUITY,0,-0.17075623724578,0,0,-0.0546934830287259,0,0,0.559055756711135,0,0,0,0,0,0,0,-0.215570831180825,0.230539227172627,0,0.633243807363184,-0.430000945175551,0,-0.0159469032704784,-0.2562763893241,0,0,0,0,-0.0119059801844923,0.025471256740742,0.0681778145733985,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.576276304182759,0,0.189522127099621,0.0536721681449746,0,0,0,0.0629257150194129,0,0,0,0.214156415045686,0,0,0,0,-0.0390036117812326,-0.037995455051014,0.0874313609152258,0
X11.HK.EQUITY,0,0,0,0,0.0655463468906138,0,0,0.424313830705401,0,0,0.202876276175411,0,0,0,0,0,-3.46944695195361e-18,0,0.0125897770587359,-0.0897399424854264,0,0,0,0,0.130202429522112,-0.0702694489248396,0.0795830676062537,-0.000732091258630049,0.00559480203369907,0,0.0149446293451946
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0679124016106098,0.209203234690717,0,0,0.012305264713983,0,0,0,0,0,0,0,0,0.462110649144078,0,0,-0.0149691424394668,-0.023951012535138,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0491835080467782,0,0,0.628536533549214,0.106640409601753,0,0,0.0148764845820497,0,0.0558917735505169,0.0371009042651336,-0.0116571477836647
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716334619167219,0,0,0,0,0,0,0,0,0.0993066907878541,0,0,0,0,-0.033364907118071,-0.929857410589279,-0.762733549339161
FXI.US.EQUITY,0,0,0.253129140793061,0,0,0,0,0,0,0,0,0.103701481170072,0,0,0,0,0,-0.118560341096202,0.0862464493508428,0,0,0,0,0,0,0.0435871137587074,0,-0.169371926400735,0.00391124867880795,0,-0.183231862514828
VXFXI.INDEX,0.556499893865882,0,1.53860063188779,0,0,0.370273248076277,0,0,0,0,-1.29645457515428,0,0,0,0,0,0,0,0,-0.0315172390050311,0.119783638189825,0,0.620859915737538,0,0,0.122864022826507,-4.84577198583565,0,0,0,-1.00526146282047
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-0.0587400439701321,0,0,0,0,0,0,0.263645095853653,0.148151330461941,0,0,0,0,0.154671201561716,0,-0.936909341404561,0,0.0365187067682056,0.014582550110823,0,-0.647638914621736
CREDIT.SP,0,-0.0315005738980714,0,0,0,-0.180159985318455,0,0,0,0,-0.14761481372217,0,0,0,0,0,-1.73472347597681e-18,0,0.238620815926257,0,0,0,0,0,0,-0.864289491121324,0,-0.00989774076750935,-0.0198962243428598,-0.849881359986882,0
