,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0,0,0.0973915585281812,0.0351479259889289,0,0,0,0.100391917063596,0,0,0.2015544458144,0.245457162675374,0,0,0,0,0,0,0,0.0357147308690392,0,0,0,0.0294382719850971,0,0,-0.00341019390799834,-0.000801800901882465,0,0.0364278906313342
X601166.CH.EQUITY,0.05965685385099,0,0,0,0,0,0,0,0,0,0.047958151071389,0,0.0785486449091795,0,0,0,0,0,0,0.110571674351863,0,0.482379105438753,0,0,0,0.110746199369423,0,0.0115566025972027,0,-0.0137139118289208,0
X601328.CH.EQUITY,0,0,0,0,0,0.0659587552537248,0,0,0,0,0,-6.7762635780344e-21,0,0.0750730032922328,0.0438897765141339,0,0,0.128728987573886,0,0.0556450210304761,0,0,0,0,0,0,0,0.00659094110632278,0,-0.0316285878148955,0.0413145116173341
X3328.HK.EQUITY,0,0,0,0,0.148213554664262,0,0,0,0,0,0,0.0750499771435704,0,0,0.129197620005893,0,0,0,0,0,0.151922590325599,0.17097238644414,0,0,0,0,0,-0.00702301018222327,0.00678601568858353,0,4.33680868994202e-19
X600000.CH.EQUITY,0,0,0.0033350741782436,0.121676099086107,0,0,0,0,0,0,0.360955211014149,0,0,0,0.198268250625659,0,0,0,0,0.0683909813243434,0.0508668289307159,0,0,0,0,0,0,0.00827003308451258,-0.0396431389378699,-0.00316615803488594,0.0825269646537914
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0828948460213596,0,0,0,0,0,0,0.0284609441425655,0,0.293193974988915,0,0,0,0.0911896399042061,0,-0.00533401080605865,0.0175585369996924,0,-0.164061782442408
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.196348254049692,0.131570120108006,0,0,0.0727076760233508,0,0,0,0.123898055602758,0,0,0,0,0,0,-4.33680868994202e-19,0,0.034684582464688,0.0137361890821,-0.194483210949383,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.319754379839878,0,0,0,0,0,0,0,0,0,0,0.146923724984938,0.448654106669884,0,0.0844208453788434,0,-0.0340100684332377,0.0304355064248313,0.0582926671643788,-8.67361737988404e-19
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.267298122418359,0,0.153699240585483,0,0.408920073189357,0,0,0,0,0,0.158091239412577,0,0.0411472144615632,0,0,-0.0381593347693095,0.0138929759798786,-0.0123178287365909,0
X388.HK.EQUITY,0,0,0,-0.197325632468634,0,0,0,0.286994097897314,0,0,0,0.439438501483701,0,0,0,0,0.155565553041126,0,-0.09006581810615,0,0.0904055262229619,0.21531773698829,0,0,-0.120700249223277,-0.131421505505542,0,0.0237878845632481,0.0247651777954154,-0.161030466700557,0
X11.HK.EQUITY,0,0,0,0,0,-0.101880454969146,0,0.387935268919138,0,0,0,0.398000824946613,0,0,0,0,0,0,0,0,0.308187463372912,-0.212076325462521,0,0,0,0,0,0.00760922011649279,0.00288635585315425,-0.0238897495209173,-0.0507983146227633
X267.HK.EQUITY,0,0.239404779309131,0,0,0,0,0,0,0,0,0,0.0135842054018738,0.0192788982618373,0.126485195992799,0,0,0.343767778590083,0,0,0,0,0,0,0.22665731898652,0,-0.0202900133522062,0,0.004827072578647,0.00299477456508396,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109112057118551,0,0,-0.0224684562533599,-0.123530322541056,0,0,0.0336638002444963,0.0111553162541431,-0.91425383200326,-0.685691611025682
FXI.US.EQUITY,0,0,0,0,0.017915742650939,0,0,0,0,0,0,0,0,0.197250008020872,0,0,0,0,0.101899088135739,0,0,0,0,0,0,0,0,-0.172031876046044,-0.00446969379892474,-0.0363493051018776,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77320536546897,0,0,0.416643594414714,0.161588070935817,0,0,0,0,0,0,0,0,-5.69960971681544,0,0,-0.244311182973593,0
TED.SP,0,0,-1.38537639126988,0,0.239573177515048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-1.116113315904,-0.0119567377138353,0.0853109078752812,0,0.129099071656137,0
CN3M10YSLOPE,0,0,0,0,-0.0425628085822416,0,0,0,0,0,0,0,0,-0.191103512337934,0,0,0,0,0,0,0.0855605924312591,0,0,0,0,-0.655054986680946,0,0.000338980324196562,-8.67361737988404e-19,0,-0.456028412695208
CREDIT.SP,0,0,0,0.229192536834301,0,0,0,0,0,0,0,0,0.0779089300003176,0,0,0,0,0,0,0,0,0,0,-0.0263216788533611,1.73472347597681e-18,-0.839627719600935,0,-0.00952052814655417,0.0168685334386532,-0.888402181843527,0
