,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1299.HK.EQUITY,0,0,0,0.166493744803643,0,0,-0.121856766130671,0,0,-0.0652901349783188,0,0,0,0,0,-0.0318283960130243,0,0,0.353077467496899,0,0,0.218574210119335,0.269650250396775,0,0,0.0489646899044599,0,0.0126224299327703,1.0842021724855e-19,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250581788416777,0.267537772521077,0.168371875448445,0,0,0,0,0,0.00635468698287311,0,0,0,0.00341445780967435,-0.0109514935230843,0.0647338694681672,0.22998820918058
X2628.HK.EQUITY,0,0,0.517664610292745,0.0508139430975357,0,0,0,0,0,0,0.0241648958279609,0,0,0.180631811994104,0,0,0,0,0,0,0.062652066815163,0,0.0341466644810444,0,0,0,0,0,-0.00308573478899236,0,0
X601628.CH.EQUITY,0,0,0,0.149367214532525,0,0,0.0529470242000857,0,0,0,-0.126071454450088,0,0.0145707666978881,0,0,0,0.151954969746328,0.221705816009733,0,0,0,0,0,0.66063472105307,0,0,-0.00303833473039846,0,-0.0418219406252852,0.115921507001534,0
X601328.CH.EQUITY,0.194030640222757,0,0,0,0,0.0651324072671131,0,0,0,0,0,0.238072970345627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876271180985072,-0.00993781063858218,0,0.0379013324711382
X3328.HK.EQUITY,1.20138840495115,0,0,0,0,0,0,0,0,0,0,0.0243713034054464,0,0,0,0,0,0,0,0,0,0,0,0,-0.106156372851256,-0.101060352862162,0,0,-3.46944695195361e-18,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.228324872250331,0,0,0,0,0,0,0.0719922322644216,0,0,0,-0.0489911623611296,0,0.351288086633847,0,0,0,0,0,0,-0.0794838033767966,0,-0.0312375653435325,-0.0107601721792991,0
X601319.CH.EQUITY,0,0.261207872589249,0,0.0131608793753867,0,0,0,-0.326894347284511,0,0,0,0,0,0.256144018985382,-0.0573395170981298,0,0,0,0,-0.212949740816123,0.268756145030304,0,0,0,0,0,0,0,-0.126711370276424,-0.03861562400531,-0.352088671913594
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.362523010958185,0,0,0,0,0,0,-0.00159660798274634,0,0,0.0505276372283286,0,0.353500487834535,-0.0114374728269091,0,0,0,0.0204289989236933,0.082510224151594,0.0137469116516713,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.086932994689743,0,0,0,0.102683763933211,0.407675064244875,-0.120684712789716,0,0,0,0,0,0.0218814228888538,0,0,0,0,-0.0134073755457736,0,0.0841446971033895
X000002.CH.EQUITY,0,0,0,0.202619405890337,0,0,0,0,0,0,0,0,0,0.0151630852976404,0,0,0.126357570907326,0.0702536476950497,0,0,0,0,0,0,0,0,-0.180356043274798,3.46944695195361e-18,-0.143922430301235,0.117408068605116,-0.0781206660533709
X11.HK.EQUITY,0,0,0.0548732577244097,-3.46944695195361e-18,0,0.499305043551929,0,0,0,0,0,0,0,0,0,0,0,0.0887351287389829,0,0,0.0692399923547432,0,0.0483077196639629,0,0,0,0,0,0.0159949576213452,0,0
X388.HK.EQUITY,0.0088091261381762,0,0,0,0,0,0,0,0,0,0.197108343165982,0,0.0382853616684523,0,0,0,0,0,0,0,0,0,0,0.0245808836616556,0.354066345891044,0.00589698444742887,0,-0.0231031322268074,-0.0158326453671446,0,0
X601601.CH.EQUITY,0,0,0,0.231842584503522,0,0,0,0,0,0,0,0.111014114228073,0,0.26388198434195,0,0,0,0,0,0,0,0,0,0,0,0.00628725604326693,0,0.00454860885863114,-0.0189519746154404,0,0
X2388.HK.EQUITY,0,0,0.454801855992811,0.0937329110164099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0814241605810125,0,0,0,0,0.282093168672892,0,0,-0.0689025969105636,0,0,-0.0334340008059808,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,-0.195663015771194,0,0,0,0,0,0,-0.0682249369884557,0,0,0,0,0.149829522837231,0,0,0,0,-0.00596219197284299,0,-0.79587915471826,-0.600372947827031
FXI.US.EQUITY,0,0,0,-0.0209270457350351,0,0,0,0,0,0,0,0,0,-0.332173552154155,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249913959701318,0,0.0280196419423212,0
VXFXI.INDEX,0,0,0.37127544847225,0,0,0,0,0,0,0,-0.413974906373554,-0.723221296938983,0,-1.20435499608582,0,0.115189267624946,0,0,0,0,-0.299620756114585,0,0,0,0,0,-3.96702367060145,0,0.0653927995451638,0.37051978116925,0
TED.SP,0,0.250510923628418,0,-2.11020591977825,-0.995864223712085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869362295671807,0,0,0,2.44907387373697,-0.317346652171583,-0.0805287306113845,0,2.80894160518615,1.19901457177718
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.151962224852556,0,0.119913535141597,0,0,0,0,0,-0.242931993293712,0,0,0,0,0,-1.04572699567763,0,0.0104348158294573,0,0,-0.360107216957835
CREDIT.SP,0,0,0,0,0,0,0,-0.113781122184233,0,0,0,0,0,0,0,-0.178040216333375,0,0,0,0,-0.0747709048767607,0,0,0.128349533016652,0,-0.382181791218999,-0.432563402259298,-0.152978088623522,-0.0140334484236626,-0.317706673749621,0
