,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116086072769356,0,0.319830211738453,0,0.0913530285447673,0.199088096483638,0,0.333329397400614,0,0.124470588837661,0,0,0,0,-0.0228792590050713,-0.0557854891829057,0.0402338189323869,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0212997257128923,0.019403662426881,0,0,0,0.111431709270479,0,0,0,0,0,0,0.361067264993857,0,0,0.286534098660616,0,0,0,0.0160978723908673,0,-0.0502203271446081,0
X2628.HK.EQUITY,0,0,0.0262412471152413,0.517266701783922,0,0,0,0,0,0,0,0.0369259234946179,0,0.252766815736921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062680462503172,-0.00716319410812596,0,0
X601628.CH.EQUITY,0,0,0.464724193980246,0,0,0,0.232469159629574,0,0,0,-0.142075907326149,0,0.106719961913878,0,0,0,0.0846031076097218,0,0.232928445775821,0,0,0.119842016474642,0,0,0,0,0,-0.0488186127796122,-0.0101572825827899,0.0938333060597933,0
X601328.CH.EQUITY,0.0915145818897402,0,0,0,0,0,0,0,0,0,0.358810096340656,0,0,0,0,0,0,0,0,-0.0482798010273821,0.111737090682873,0,0,0,0,0.0538296572518071,0,0.000840069678697252,0.0186861426332538,-0.0321741700486504,0
X3328.HK.EQUITY,1.20988111175291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115488415149579,0,0.00215040087842865,0.00396434346222962,0,0
X601166.CH.EQUITY,0,0.0309348758592623,0,0,0,0,0.435090591656978,0,0,0,0,0,0,0.017443405240088,0,0,0,0.378430517097159,0,0.00504210087774818,0,0,0,2.16840434497101e-19,0.0672454943536094,0,0,-0.0148118242810083,-0.0270084123491185,0.0529973323909315,0
X600000.CH.EQUITY,0,0,0,0,0,0.02576584822744,0,0,0,0,0.19429820096741,0,0,0,0,0.0534147608371962,0.256269734290339,0,-0.177063566327406,0,0,0.192801223220505,0,-0.00215256192750846,0,-0.0698265158708004,0,0,-0.0100889497053577,-0.0932736988425089,0.0102153797581877
X601319.CH.EQUITY,0,0.0427188474624829,0,0,0,-0.0760115950394076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94078894669144,0,0,0,-0.172894668342897,0,-0.0268858219560653,-0.0891896089257098,-0.209431540350903,-0.504951644639158
X000002.CH.EQUITY,0,0,0,0.150065505616338,0,0,0,0,0,0,0,0,0,0.0735615247085204,0,0,0.389305003135142,0.0735812744568849,-0.0223500299088223,0,0.00442885731103858,0.304230370485336,0,0,0,0,-0.488207716650447,-0.107979082975841,0.0565153069269759,0.136587537165438,-0.0705753751279808
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.538554699668895,0,0,0,0,0.0398868406913533,0,-0.00622015221000566,0.0769103887965508,0,0,0,0,0,0.017317521304419,0,0.0247093536528664,0.0461233563921509,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.444026449266913,0,0,0.373771069999957,0,-0.0485800343237463,0,0,0,0.0392785820831642,0,0,0,0,0,0,0,-0.00798603618031718,0.0240077820791613,0.0439741338594086,0
X11.HK.EQUITY,0,0,0,0.172791067249345,0,0,0,0,0,0,0.0112530896887324,0,0,0.0303243742603222,0,0,0,0,0,0.225430624044178,0,0,0,0,0.146469897557166,0,0,0,0.00713630206208905,-0.00638525829280629,0
X388.HK.EQUITY,0,0,0.0836464624317837,0,0,0,0,0,0,0,0,0.10130458585524,0,0,0,0.0750689677055024,0,0,0,0,0,0.140678225818242,0,0,0.501732069124098,0.0555648756641723,0,-0.0152744273135068,-0.0171684076136616,0,0.0639087674606978
X2388.HK.EQUITY,0,0,0.316547736284607,0.077492906675458,0,0,0,0,0,0,0,0,0.414354101613288,0,0,0,0,0,-0.147594469015956,0,0,0,0,0,0,-0.0211514931666756,0,0,-0.0570203814888552,-0.0300782878906825,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101453488709425,0,0,-0.182159682465415,0,0,0,0.0212796366911291,0,0.17124526035982,0,0,0,0.0307060168356096,-0.0269631497557072,-0.879292631216227,-0.618753062694039
FXI.US.EQUITY,0,0,-0.0548758839139345,0,0,0,0,0,0,0,0,0,0,-0.0791526275892164,0,0.00445504406675705,0,0,0,0,0,0,0,0,0,0.0151559590511864,0,-0.182782130970779,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.250924409915361,0,0,-1.05304540965247,0,0.0728455169968723,0,0,0,0,0.294721090576993,0,0.139357723869006,0,0,0,-4.72855435426658,0,0.0268405614208185,0.103338141008692,-0.115418811304625
TED.SP,0,0,-1.14533282401652,0,-1.25506230432311,-0.666175501820751,0,0,0,0,0,1.1731247110721,0,0.660908841452087,0,0,0,0,0,0,0,0,1.5752256007238,0,0,-0.211714472130005,0,0.0999106529410902,0,0.217912004608483,0.573510966020916
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.227909448041643,0,0,0.208543162858954,0,0,0,-0.295483203329821,-0.0877484280329124,0,0,0,0,0,0,-1.00865745655603,0,0.0251187240829341,-0.0258314552668837,0,-0.467989137915631
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.148910208926067,0,0,0,-0.150583157792001,0,0,0,0,-0.0226526695323875,0.38511082411114,-0.183952546790011,0,0,-0.647419521133068,0,-0.0264281344100057,-0.0321050768654266,-0.586232316805893,0
