,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0865710738899516,0,-0.000705139462446796,0,0,0,0,0.0640742898358495,0,0,0,0,0.429216326347363,0,0,0,0.00837801250757869,-0.00426220294147112,-0.00430279770747494,0
X1299.HK.EQUITY,0.287476883165768,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0399554717851364,0,0,0,0,0,0.127034541984191,0.0452423703450469,0.163868040198467,0,0,0,0,0.0437683203240201,0,0.0163577706137881,0,0
X2628.HK.EQUITY,0,0,0,0,0.00599537879118378,0,0,0,0,0,0,0,0,0.369372012600005,0,0,0,0.16012052419453,0,0,0.172912778080292,0,0,0.0118291160228117,0,0.0894317138679721,0,0,-0.050822202948668,0,0
X601628.CH.EQUITY,0,0,0,0.0767794160998562,0,0,0,0,0,0,0,0,0.533273922536015,0,0,0,0.0477595923656982,0.0482529732673399,0,0,0,0,-0.18752785564155,0.168994670657805,0.0730138360868789,0,0,0.0325751678336205,0.0065235432928494,0.0120560945311598,0.0173361925676158
X3328.HK.EQUITY,0.190157771699111,0,0,0,0.0628014437513638,0,0,0,0,0,0,0.219168065671722,0.112745367509282,0,0,0,0,0,0,0,0.0860496081707169,0.0151404317470791,0,0.0565715860553027,0,0,0,0.00837237127789736,-0.00104465841107584,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.139110040693355,0,0,0,0,0.314318285043397,0,0,0,0.0535795145028458,0,0,0,0.0348257262048704,0,0,0.00320270014832425,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.139220014280329,0,0,0,0,0,0,0,0,0.182179059746073,0,0.170109645698038,0.0229618970488618,0.10324958500575,0,0.00814728567925007,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.176289709538079,0,0,0,0,0,0,0,0,0,0,0.108243016200257,0,0.266449435719577,0,0.0312732021071297,8.67361737988404e-19,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.227009901715623,0.0673173029572657,0,0,0,0,0,0,0,0,0,0,0.0333948162361564,0.0554538410754497,0,0.0052671829232642,-0.0490475339406432,0,0
X388.HK.EQUITY,0,0,0,0,0.0398649374549029,0,0,0,0,0,0,0.268093845541772,0.0930224396695021,0,0,0,0,0,0,0,0.174940339120881,0,0,0,0,0,0,8.67361737988404e-19,-0.00976860103444714,0,0.00861466573446232
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.45743023004108,0,0,0,0,0,0,0,0,0,0.506044011631028,0,-0.0905912939385368,-8.67361737988404e-19,-0.0108556648270587,0,-0.0125667671676842,0.0107791422217217,0
X601601.CH.EQUITY,0.143512968736134,0,0,0,0,0,0,0,0,0.143606720446689,0,0.187092555913809,0,0.322977028342503,0,0,0,0,0.140369235295552,0,0,0,0,0.0715781088934833,0.0680109520727119,0,0,0,0.00390367326016193,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0217324511149225,0.135285629949394,0,0,0,0,0,0,0,0.200608782221102,0.144825958364856,0,0.0490100089026974,0,-0.0169477898999571,0,-0.00910999480342582,-0.00248494740493881,0,0
X000001.CH.EQUITY,0,0,0,0.0452227670684426,0,0,0,0,0,0,0.351805961011441,0,0.00349772670373261,0,0,0,0,0.569064824251692,0,0,0,0.133044070859238,0,0,0,0,0,0.0159734255156943,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.166646830697511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36369091461217,0,0,0,0,0,0,0.37343637506469,0,0.00285085493231891,0.0152583356346565,0.111409670792707,-0.176352019005664
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.387919847363312,0,0,0,0,0,0,0,0,0,0,0.388275569421833,0.042095878523919,0,0,0.0641583942498625,-0.183574708038849,-0.363691734868664,-0.0251282444571427
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.250293965073581,0,-0.208693129221337,0,0,0,-0.00554616424113033,0.0395514730331726,0,0,0,0,0,-0.282257978959287,0.036829282868542,0,-0.195558056332258,0,0,-0.286155563828467
VXFXI.INDEX,0,0,0,0,1.53269595744991,0,0,0,0,0,0,0.524639360808531,0,-0.550668847848642,0,0,0,0,0,0,0,-0.893473497945341,0,0,-0.81670855578292,0,-4.83724459374626,0,0.0187011962554742,-0.221789262735367,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.686062159812095,0,0,0,0,0,0,0,0,0,0,0,-1.54582079681239,0,-0.107899502169567,0,0.0568646548405868,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02001933435223,0,0,0,0,0.284361350407534,0,0,0.0637674560808746,0,0.211242327430294,0,-0.745024762613193,0,0.0255760363454988,-0.0464658335892591,0,-0.599971695387953
CREDIT.SP,0,0,0,0,0.0193795099071438,0,0,0,0,0,0,0,0.0264899854746795,0,0,0,0,0,0,0,0.143553914956796,0,0,0.0747139090419421,-0.272490382285262,-0.279635358763695,0,0.0413613020380624,0.0160068343705451,-0.310725644397237,0
