,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273286641501616,0.0653675506888606,0,0,0,0.205531505622631,0.0232549960810115,0,0,0,0,0.00921302206834024,-0.000631173300580196,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.162695704706549,0,0,0,0,0,0,0.129586141986465,0,0,0,0,0,0,0,0.118720431211173,0,0.0959334313061481,0,0,0.00771442015451921,0.0294313428352404,0,0.015238117374574,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400195538949053,0,0,0,0,0,0,0.0862881054815262,0,0,0,0.338416932147232,0.100233759316253,0,-1.0842021724855e-19,-0.0272370716075987,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.520513233492578,0,0,0,0.00661892242862147,0,0,0,0,0.193840302163596,0.115974394591221,0,0,0,0,0.0329393120758549,0.0131436621085199,0.00445800973012362,0
X3328.HK.EQUITY,0,0,0,0,0,0.238699125326917,0,0,0,0,0,0.121138415393146,0.123304861138996,0,0,0,0,0,0,0,0.0594673113007408,0.130799195219209,0,0,0.0141018351501129,0,0,0.00720135815767516,0.00660394460844472,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14453995788203,0,0,0,0,0,0,0,0,0.213509506552769,0,0,0,0.0809620998340511,0,0.00834482651268212,-0.00657111780289691,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.177517471477316,0.0413030263014747,0,0,0,0,0,0,0,0.0240582406050756,0,0,0,0.208541152225392,0,0.0154221456193846,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.169102106511848,0,0,0,0,0,0,0,0,0.0940666558773564,0.203837487289821,0,0.132695167464404,0,0,0,-0.0208872018647503,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132363157127772,0.0903981685922466,0,0,0,0,0,0,0.068205507331362,0.406246968277041,0.0111593534497623,0,3.46944695195361e-18,0.0948188693060002,0,0.011671470838092,-0.00977332521245936,0,0
X388.HK.EQUITY,0,0,0,0,0,0.381093713338286,0,0,0,0,0,0.127583067340663,0,0,0,0,0,0,0,0,0.0521628968638891,0,0,0.144816693800686,0,0,0,0,-0.00465074660987467,0.0330091912764048,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.412486109476158,0,0,0,0,0,0,0,0,0,0,0.199457267415237,0.181806596438122,0,0,0.0147502372753299,0.00450037998021226,0.0520401648820065,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.254626425995085,0.130082899147269,0,0,0,0,0,0,0,0,0.335634128685756,0,0,0.11136126093324,0,0.0171175734358182,0.00442089322750607,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175345417919262,0,0.511669504933277,0,0,0.0661072399158842,0.125519260647605,0,0,0,0,0,0,0.0376321601123828,0,0,0,-0.00860617838474296,0.00225800428534162,-0.106146162072335
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0656051102728903,0.114168667903378,0.021493243918399,0,0,0,0,0,0,0.186181846532239,0,0.170487251208938,0,0,0,0,-0.00832854535187459,-0.00422090294201522,0.0330068079678658,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.314351689959123,0.131389358093211,0,0,0,0.258884360578074,0,0,0.0474440272897791,0.0189721257354372,0,0,0,0,0,-0.016160841280353,0,0.013034137387578,-0.0861796434990311
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.71708731038033,0,0,0,0,0.0115968985472272,0.518133566082389,0,0,0,0,0,0,0,0,0,-0.0442819815554395,-0.701351107487718,-0.0767605117545544
FXI.US.EQUITY,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.279507195176813,0,-0.247755551348539,0,0,0,0,-0.0130156090966676,0,0,0,-0.203822202628215,0,0.201355484160306,0,0,-0.200300458833591,0.0250521019535389,-0.0282678247312271,0
VXFXI.INDEX,0,0,0.439898076053569,0,0,0.806151147397096,0,0,0,0,0,0.828612025641512,0,-0.888371574110974,0,0,0,0,0,0,0,0,-1.92164208031891,0,0.734869893769331,0,-4.90924379978164,0,0.0932413037465208,-0.154046628160911,-0.155538964827041
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.617885181943544,0,0,0,0,0,0,0.974772988494171,0,0,0,0,-0.553026229361811,0,0,0,0.0829402139136909,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271779523985137,0,0,0,0.473270645143232,0.10378481755191,0,0,-0.810887356563836,-0.0476494479501908,0,-0.019004147923414,0,-0.450284982096242
CREDIT.SP,0,-0.228445140913223,0,0,0,0,0,0,0,0,0,0,0.576396862193281,0.025363288963717,-0.129736001000883,0,0,0,0,0,0.167333769375308,-0.19678580575598,0,0,-0.127047467766277,-0.557963241011084,-0.0939749016113041,-0.0111481199443761,-0.0519570669481218,-0.604832940308555,0
