,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0.0238583897187572,0,0.195425476471919,0,0,0,0,0,0,0.458396866102308,0.18426700123972,0,0.0721916413925112,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395296489043755,0.000385917971303264,0,0
X5.HK.EQUITY,0,0.0390140325002495,0,0.125471707363138,0,0,0,0,0,0,0.16019518833265,0.196375405261702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120539288649557,0,-0.00868817557083119,0.00961337510411102,0,-0.340367964347429
X388.HK.EQUITY,0,0,0,0,0.201413554470173,0,0,0,0,0,0.109915823414178,0,0,0,0,0,0.281935657984834,0,0.0576832101145979,-0.0490672091505756,0,0.0792899689896514,0,0.0816845657799277,0,-0.154193940849237,0,0.0343842288367893,-4.33680868994202e-19,-0.118602844719632,0
X601328.CH.EQUITY,0,0,0.114876348926785,0,0,0,0,0,0,0,0,0.0231579283460523,0,0.0111371278645873,0,0,0,0.0589789818889858,0,0.0998758953005022,0,0.0246074734801877,0,0,0,1.0842021724855e-19,0,0.0100539213707529,1.0842021724855e-19,0.00190693320777881,0
X3328.HK.EQUITY,0,0.0630862995656693,0,0.0999126139211825,0,0,0,0,0,0,0.0531036124328911,0,0,0,0.170955070717399,0,0,0,0,0,0,0.0327048143073479,0,0.0878601223463149,0,0,0,0,-0.0123812978164406,0.00805568615438779,-0.10705271670397
X601166.CH.EQUITY,0,0,0.271199761416017,0,0,0,0,0,0,0.0722963862331073,0,0.0387515465664202,0,0,0,0,0,0,0.411596170789814,0.106920874727752,0,0.0116273365969668,0,0,0.0682713527908048,0.00761839367349975,0,0.0143822517078864,0.0048841763910205,0,0
X600000.CH.EQUITY,0,0.00469435322079641,0.153005796146369,0,0,0,0,0,0,0.0252570971110493,0.0106400166624623,0,0.02377194399445,0,0,0,0,0.3674137786785,0,0,0,0,0,0,0,0,0,-0.0202484241007052,-0.000229078555887852,0,0.00453774236241465
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0913648324149626,0,0.0338900874610641,0,0,0,0,0,0,0,0,0,0.0362733977605131,0,0,0,0,-0.00212948999583073,0,0.0177580613065755,-0.112228116524838
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.126201039094752,0.0265020825318275,0,0,0,0,0,0,0,0.0328865123708212,0,0.356651266968271,0.0941974631643852,0,0,0.00598328910294915,0,0.0201902843771654,0.0102559382957429,-0.0285607344721929,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0712060852327319,0,0,0,0,0,0,0,0,0.489783651621102,0,0,0.114035302444515,0,-0.0181032806901944,0,-0.0117467180316824,0,0.035832979296203,-0.105272893653713
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.212620403765742,0,0,0,0,0,0,0,0,0.0902489361322389,0.0138818481679661,0,0,0,0,0,0.0160573011495992,0,0.00210191002327098,-0.0195833720372787
X16.HK.EQUITY,0,0.180032046691532,0,0,0,0,0,0,0,0,0.509423276887584,0.0242233952788485,0,0,0.106615872328188,0,0,0,0,0.182476590780157,0,0,0,0,0,0,0,-0.0382463981717274,0.0120005525697105,-0.0227456206403654,0
X000001.CH.EQUITY,0,0,0,0,0.587981433685645,0,0,0,0,0.102045678838053,0,0,0,0.0664244979837518,0,0,0,0,0,0,0,0,0,0,0,0.00360139867628823,0,-0.0222251289006999,-0.0151648399098181,0,-0.07387651197702
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.344478122719599,0,0.355215079611073,0,0,0,0,0,0,0,0.0806335685363567,0,0,0,0,0,-8.67361737988404e-19,-0.0229060424574396,-1.01295831661518,-0.379727738394601
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.205704705394225,0,0,0,0,0,0,0,0,0,-0.0343022850766318,0,0,0,0,0,-0.219280563824913,-0.0026624436257005,0.00956950472627787,0
VXFXI.INDEX,0,0,0,0,0.710811345676637,0,0,0,0,0,0.248197488577958,0,0,0,0,0,-0.664546308094668,0,0,0,0,-0.0383659389827283,0,0,0,0.0148824229755659,-3.43362709887398,0,-0.0470372512288858,0,0
TED.SP,0,0,0,0,0,0,4.28536908589405,0,0,0.904077861556069,-1.99573868765449,0,0,2.35564653143725,-1.4926686857484,0,0,0,0,0,0,0,0,0,0,-0.689092183693846,-2.0415253398962,-0.244948925272524,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.897761447547568,0,0,0.0278108818175185,0,-0.636403193137943
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.0211194905358541,0,0,-0.0460587957337465,0,0,-0.305299676661614,0,0,0,0,0.0995171797489999,0,-0.119732624235188,0,-0.912036887384882,0,0.0515494300403107,0.0232764138590591,-0.94222102279926,0
