,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X600369.CH.EQUITY,X3040.TT.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X600061.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X2881.TT.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600919.CH.EQUITY,0,0.0154303449489432,0,0,0,0,0,0,0,0,0,0,0,0.0117009789829227,0,0,0,0,0,0,0,0,0,0.0427845466983092,0.298821168297692,0.0165138216486609,0,0,0.0298268067012235,-0.00786443270900941,0
X601066.CH.EQUITY,0.331235795355652,0.296800780106454,0,0,0,0,0,0,0.206160170580294,0,0,0,0,0.238368167658174,0,0,-1.38777878078145e-17,0,0,0.158745948250323,0,0,0,0,-0.144775492049153,0.0204003096825839,0,-0.0227437822822205,-0.00624167202516433,0,0.145504081724595
X600061.CH.EQUITY,0,0,0,0.218690057484447,0,0,0,0,0,0.19369155433346,0,0,0,0,0,0,0.303279702144142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0.43847569147971,0,0,0.543387220534335,0,0,0,-0.303975813851961,-0.0165220642866292,0,0,-0.0602663337370519,0,0,0,0,0,0,0,0,0,0,-0.107405007295434,-0.0316138282094664,0,0
X600848.CH.EQUITY,0,0,0,-0.0326271260720738,0,0,0,0.0552451632220607,0,6.93889390390723e-18,0,0.302074307494328,0.0510533931389654,0,0,0,0,0,0,0,0,0.12908780889821,0,0,0.0717591123419152,0,0,-0.0265562765545667,-0.0219726734248661,-0.019081617615139,0
X300059.CH.EQUITY,0.161936124211497,0.170217923755955,0,0.222384625633175,0,0,0,0.214245798133619,0,0,0,0,0,0.275777653251734,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0304598291093782,0,0.000272388256192397,0
X601328.CH.EQUITY,0.0129859135434209,0,0,0,0,0,0,0.00683750100498878,0,0.0371283383617354,0,0.0852080444540137,0.0213866616851547,0.0332564920456365,0,0,0,0,0,0,0,0,0,0.0748530039242422,0.00573745829961795,0,0,-0.0131809806523896,-0.0134135860502514,0,0
X2881.TT.EQUITY,0,0,0,0,0,0.122354946019666,0,0,0.109754025373046,0.0603912374866292,0,0,0,0,0.115104583208976,-0.107066050722184,0,0,0,0,0,0,0,0,0,0,0,-0.0170158073063872,-0.000680345267241225,8.67361737988404e-19,0
X002142.CH.EQUITY,0,0,0,0.164498726458164,0.00973121039581593,0,0,0,0.125799174742736,0.142318615033824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596403499519083,0,0,-0.050112010983012,0,0,0.335337474576168
X3266.TT.EQUITY,-0.066936182956079,0,0,0,0,0,0,0,0,0,0,0,0.134524038856499,0,0,0,0,0,0,0.0222407010478901,0,0,0,0,0.0353633038573627,0,0,-0.0561157427881475,0.00451569485234071,-0.0116029108013021,0
X601166.CH.EQUITY,0,0.0412065923200858,0,0,0,0,0,0,0,0.0139068902264622,0,0,0.0450533234803043,0,0,0.112210392089822,0,0,0,0,0,0,0.123061413404029,0,0.173744139957879,-0.0482446281473121,0,-0.0352005936715423,0,0,0
X601155.CH.EQUITY,-0.0865306720687843,0,0,0.0743398259077112,0,0,0,0,0,0,0.131835488472848,0,0,0,0,0,0,0,0,0.176508630376765,0,0,0,0,-3.46944695195361e-18,-0.028898517156822,0,-0.0569307964508435,0.0341867225329295,0,0
X600036.CH.EQUITY,0,0,0,-0.0123997499345268,0,0,0.217779666900902,0,0,0.304827647984357,0.00993863551815063,0,0.0588693301159943,0,0,0,0,0,0,0.0295510476604707,0.0855607194370852,0,0,0,0,-0.00958884594010131,0,0,0.0213122074336598,0.0253791313724342,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.0986748343851528,0,0,0.0207858349936214,0,0.446752419986376,0,0,0,0,0,0,0,0.138465503142165,0,0,0,0,0,0,0,-0.0657689590778963,0.0278103626315529,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0191279125023603,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.128937494149303,0,0,0.021927941799949,0,-0.771908555514593,-0.0619797147924276
FXI.US.EQUITY,0.0257732092434131,0,0,-0.0453775007163619,0,0,0,0,0.0461127927709812,0,0,0,0,0,0,0,0.191619505899889,0,0,0,0,0,0,0,-0.0157225919641562,0,0,-0.159280084417771,-0.0085549299404218,0.0390411018775097,0
VXFXI.INDEX,0,0,0,0,-0.417643020245787,0,0,-0.385325968698098,0,0,0,0,-0.0586661278887643,0,0,0,0.191422060851332,0,0,0,0,0,0.216803162383904,0,0.178354350106685,4.33680868994202e-19,-2.23093754020138,0,0.0224718366798987,0.0628735207886873,-0.198933368497356
TED.SP,-0.261716448969292,0,0,-0.0911300241153423,0,0,0,0,0,0,0,0,0,-0.0928200890719472,0,0,0,0,0,0,0,0,0,0,0,-0.276161439148224,0,0.152796416529825,0,0.215332509750985,0
CN3M10YSLOPE,0.0709793783948211,0,0,0,0,0,0,0,0,0,0,0,0.306628263359779,0,-0.0685800390071703,0,0,0,0,0,0,0,0,0,0,-0.910382720687515,0,0,0,0,-0.353457168619215
CREDIT.SP,0,0,0,-0.192966732970567,0.11885621909108,-0.0956698237069927,0.150020093997671,0.153002400351312,0,-0.25874440945119,0,0,0,0,0,0,0,0,0,0,0,0.494431288839097,0.169645269963545,0,0.161600850990959,-0.227803582370256,0,0,-0.0333249731913008,-0.251018498148376,0
