,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0139985501821008,0,0,0,0,0,0,0,0,0,0.0575057288613685,0,0.245682369191288,0.234897108905876,0,0,0,0.20306329605413,0,0,0,0.00400474113996276,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438790814089643,0.0803223338082377,0,0.071310792819445,0,0,0,0.275115114050891,0,0.152039323022639,0,0.449182021053822,0,0,0.0276402519163438,0.0402451315226331,0,-0.0128817060049719
X601628.CH.EQUITY,0,0,0,0.351066441976287,0,0,0,0,0,0,0,0,0,0.369533158197537,0.0397248189654068,0,0,0,0,0,0.0148836661191334,0,0,0,0,-0.147904428861769,0,0,-0.0273816719287725,0.0554737265372328,0
X2628.HK.EQUITY,0,0.0115337707866552,0,0,0,0.0258357490888946,0,0,0,0,0,0.103321507525647,0.317671578301344,0,0,0,0,0,0,0,0,0.12727148350194,0,0.0564103642164559,0,0,0,-0.00080919648700264,-0.0171835527899235,0,0.0545676514562588
X601166.CH.EQUITY,0.282879086454948,0,0,0,0,0,0,0,0,0,0.414128712529752,0,0,0,0,0,0,0.0472834606455038,0,0,0.366997862526435,0,0,0,0,0,0,0.0105942017973705,-0.0137833163239824,0,-0.0386774534771372
X601328.CH.EQUITY,0,0,0,0.0339243781178357,0,0,0,0,0,0,0,0,0,0.034313610594517,0.00398539869076366,0,0,0.183927939587987,0,0.138879213627166,0,-1.0842021724855e-19,0,1.73472347597681e-18,0,0,0,0.00370771167093894,0.0253478746067485,-0.0254181841309042,0.0106377738520819
X3328.HK.EQUITY,0,0.337741728980699,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22726583021439,0.154856191340973,0,0,0,0,0,0.0164365422235106,0.00826456975356708,0,0
X600000.CH.EQUITY,0,0,0,0.215847916101655,0,0,0,0,0,0,0.341490381867065,0,0.00235786924200306,0,0,0.121393876175782,0,0,0.0249840481147404,0.19417622352642,0,0.0207926858348812,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0813660318478527
X000002.CH.EQUITY,0,-0.0444995135233768,0,0.193648834688851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475132211856711,0.336631301182632,0,0,0,0,0,0,0.0123711243685629,0.00888869350653847,-0.0705489542756077,-0.0897650561381095
X000001.CH.EQUITY,0,0,0,0.181685265191432,0,0,0,0,0,0,0.339748687966598,0,0,0,0,0,0,0.0493608020642075,0.192746675014009,0,0.413850747468798,-0.129658917922318,0,0.0875920173647795,0,-0.0173087616228209,0.168116056392275,0,-0.000262144836567989,-0.113791007440844,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.32286684585122,0,0.150459699589355,0,0.343745287520123,0,0,0,0,0,0,0.117811280134127,0,0,0,-0.0579241515420548,1.7154477573637e-05,0,0.0264756807538293
X16.HK.EQUITY,0,0.25474833630667,0,0,0,0,0,0,0,0,0,0.178406277850847,0,0,0,0,0,0,0,0,0,0,0.164285510879238,0,0.658663324899533,3.46944695195361e-18,0,-0.0432560701532069,0.0312773327706453,0,-0.0103102236559694
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.548571361177809,3.46944695195361e-18,0,0,0,0,0,-0.0539157104474304,-1.73472347597681e-18,0,0.0237956527767456,0,0,0,0,0,0.0200952463764141,0.0672234476800891,-0.058399061298553,0
X688.HK.EQUITY,0,0,0.0284273029952384,0,0,0.0334112276952369,0,0,0,0,0,0,0,0.400342818140454,0,0,0,0,0.349604844668895,0,0.0480936633957454,0,0.266129854723537,0,0,-0.121808305243383,0,0,0.00538368108947396,0,0.0788382840113171
X11.HK.EQUITY,0,0,0,0,0,0,0,0.515371042069151,0,0,0,0.229466564758501,0,0.245066702684302,-0.170217703071838,0,0,0,0,0,0,0.216033676736618,0,0,0,0,0,0.0203601320507736,0,-0.0032480173536332,-0.0860660090332566
CGB3M,0,-0.0982047158238079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270184484183217,0,0,0,0,0,0,-0.0125872719026312,-0.886577149146858,-0.727164694717722
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.136406290438224,0,0,0,0,0,0.148325169143151,-0.0964988167928402,0,0,0,0.0548690626826747,0,0,0,-0.171672069410687,-0.0344467422640424,-0.0689359164406281,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.539892562339051,0,0,0,0,-0.477804916746302,0,0,0,0,0,0.829577645616176,-0.761323470152734,0,-0.0095812994747142,0,0.546197767951277,0,-0.189494147718876,-5.60519979410186,0,-0.204077467297122,-0.528249183259768,0
TED.SP,0,-1.75502557700269,0,-0.964756493900065,0,0,0,-1.49371069634643,0,0,0,0,1.25888216636198,-0.999781752234043,0,0,0,0,0.692877292666958,0,0,1.91176040300523,0.540270816479856,1.27160904040405,0,0,0,-3.46944695195361e-18,0,-0.0681725685580322,0.357233787491331
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00669049635852246,0,0,-0.693177645051791,0,0,0.0286170024063201,0,-0.431041371828747
CREDIT.SP,0,0,0,0.0463777703021992,0,0,0,0,0,0,-0.0523546087121111,0,0,0.209396744339362,0,0,0,0,-0.0510800680135856,0,0,0,0,0,0,-0.66388181505929,0,0,0.0365105706919761,-0.63476604194887,0
