,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601628.CH.EQUITY,0,0,0.23660159092394,0,0,0,0,0,0,0,0,0.0632790401283817,0,0,0,0,0,0,0,0,0,0.350338982816132,0,0,0,0,0,0.011497987719198,-0.0149323722091303,0.051658215418377,0
X2628.HK.EQUITY,0,0,0,0,0,0.0293717446817484,0,0,0,0,0,0,0,0,0.766226198746869,0,0,0.133347911110862,0,0.0621252155010879,0.166930291629854,0.0374755071789053,0,0,0,0,0,-0.00224532389755354,0.0219585745047414,0,0
X3328.HK.EQUITY,0,0,0,0.0490164214667842,0,0,0,0,0,0,0,0,0,0.0206188286814147,0,0,0.0332299688763704,0.133655706809493,0,0,0.204405356728324,0.0726992660304032,0,0,0,0.0470310523637732,0,0.00341502963071317,-0.0219274892457138,0,0
X601328.CH.EQUITY,0,0,0,0,0.130980422670793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15732774576321,0,0.245585021886856,0.168815101394623,0.0939651319895944,0,-0.0164843181691242,-0.0164526725656122,-0.0101818515601701,0
X601166.CH.EQUITY,0,0,0,0,0,0.0685735946784354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457534012229137,0,0,0,0.0104126867235969,0,-0.00849566074430613,0.0136655143219747,0,0
X601319.CH.EQUITY,0.177301796077381,0,0.0493821356034693,0,0,0,0,0,0,0,0,0,0,0.47292675924943,0,0,0,0,0,0,-0.16674906065874,0.421027844081954,0,0.073419016797945,0.0908637115265551,-0.0291456051499996,0,-0.020277667081853,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0426591814506224,0,0,0,0,0,0.172116817321992,0.0549044579907686,0,0.132004043144261,0,0.167671338575741,0.0683149647246088,0,0,0.0124062341686336,0,-0.000294022001125682,0.0143051836862542,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108291953765685,0,0,0,0,0,0,0,0,0.60640290306986,0,0,0.342288133574879,0,0.137607881180042,-0.125563501314628,-0.0522732230729701,-0.00127661126433776,0.078130036610717,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.317368339612499,0,0.01085634566379,0,0,0,0,0,0.0244712731333514,0,0,0.0967974062408751,0,0,-0.000273192102011329,0,-0.00794205876565048,0.0481507431014303,0.0262703174046833,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.452612739391728,0.0441566392447412,0,0.226900692437976,0,0.199650421582866,0,0,0,0,0,0,0,0.224435778366857,0,0.349805958124659,-0.0134231822247129,0,-0.0228925684889621,0.00112215663664201,0,0.0393400171118387
X000002.CH.EQUITY,0,0,0,0,0,-0.140893642838673,0,0.430161357316591,0,0,0,0,0,0,0,0,0,0,0,-0.24214044709725,0,0.498463472855758,0,-0.253138914338561,0.115953219515038,-0.0116244354671779,0,-0.0254101180003715,-0.00655494150162257,0.0553333183351229,0
X267.HK.EQUITY,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.345339253273078,0,0,0.0127467147120619,0.0780538196730531,0,0,0.102987906126686,0,0.141216887346129,0.213743188265096,0,0,0,-0.187245212085738,0.0239666894111853,0,0.00370559610760734,-0.00104573117711309,0.016495997749558,0
X000001.CH.EQUITY,0,0,0.537838515785069,0,0,0,0,0,0.236692381766813,0,0,0,0,0.127738689905886,0,0,0.212590352446592,0,0,0.0246330784765106,0,-0.0688788837247483,0,0,0,0,0,0,0,-0.0195092731135689,0.0539698341260572
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00527131454468591,-0.00900116160748301,-0.949800255375701,-0.82630651158883
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0899910709424117,0,0,0,0,0,0,0,0,0,0.260735785221053,0,0,0,0.165631103436752,0,-0.136728526210342,0,0,-0.178083243016922
VXFXI.INDEX,0,0,0,0,2.49837921006966,0,0,0,0,0,0,0,0,0,0,0,0,-0.210360355834752,0,0,0,0,1.23989275595425,0,0,0.664237097274112,-5.90873401715237,0,0.0905123647906725,0,-0.904391514571538
TED.SP,-1.28673262660999,0,0,-2.20694529092531,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00951764024805529,0,0.282679780604145,0,0.581997995560955,0.203922486352222,0,0,-1.18513120783886,-0.662219966938728,0.0361343051146815,0,0,0.0955220692216306
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-0.162668276508909,0,0,0,0,0,0,0,0,0.0442568588422709,0,0,0,0,0,-0.926044916738104,0,0.00747738462009115,-0.0309433303245864,0,-0.804054603865861
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.14497405738121,0,0,0,0,0,0,0,0,-0.364562793282742,0.0733158211494405,0,0,0,-0.720594497905394,0,-0.0189226347223527,0.00132489741764186,-0.691975390489922,0
