,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X3328.HK.EQUITY,0,1.21588999693822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258024818820025,0,0,0,0,-0.106349362679878,0,0,0,0.0119140422159894,0
X601328.CH.EQUITY,0,0.164694992417185,0.0454984465558984,0,0,0,0,0,0,0,0,0.278257675427519,0,0,0,0,0,0,0,0.0339551348943552,0,0,0,0,0,1.0842021724855e-19,0,0.00147093565211176,0.00203754864643321,-0.057769516591392,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.301132050963239,0,0,0,0,0,0.108281206024897,0,0,0,0,-0.0392602194624324,0.371325548061474,0,0.055355962524105,0,0,0,0,-0.0376499525569634,-0.13095402535819,-0.0208294582891256,-0.0238744724761924,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717617952319896,0,0,-0.0267814076646889,0,-0.0302561886105981,-0.0966882047555934,0,-0.420086110760885
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109068382104559,-3.46944695195361e-18,0,0.0796782846408806,0,0.203494898888416,-0.142721125441145,0,0,0,0,0.126429333484951,0,0,0,0,-0.013814635974883,-0.00605174389637153,0,0.129474409638747
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.347069743266322,0,0,0,0,0.0289221453432996,0,0,0,0,0.0872860236366674,0,-0.00692804380391816,0,0,0,0,0.00642617726230127,0.0844202458257257,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.364721057044211,0,0,0,0.436943241879146,0,0,0,0,0,0,0,0,0,-0.194780015183665,-0.0231990459310536,0.0294361212092722,0.0767156188555979,-0.0812880082213917
X11.HK.EQUITY,0,0,0,0,0.255377575914123,0,0,0,0,0,-0.0463359966287763,0.121742811940666,0,0,0,0,0,0.0162100395924339,0,0.0759777233253427,0.1913000759232,0,0,0,0,0,0.0935673744439442,8.67361737988404e-19,0,0,0
X601601.CH.EQUITY,0,0,0,0,-0.10991305749681,0,0,0,0,0,0,0.19063194678038,0.329192150050887,0,0,0,0,0,0,0,0.15595346906214,0,0,0,0,0,0,-0.0097987934618183,0.00414031203108846,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.180188022995241,0,0,0.0556202041274066,0,0,0,0,0,0,0,0,0,0,0.636363146993079,0.0232781428888815,0,-0.0146574119762914,-0.0190519781924129,0,0
X2388.HK.EQUITY,0,0,0,0.738610649593559,0,0,0,0,0,0,0,0,0,0.0685037932412025,0,0,0,-0.100338584450511,0,0,0,0,0,0,0,-0.00300588121114264,0.0679221277942699,-0.00586316092843807,-0.0516564493197784,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.17185460088734,0,0,0,0,-0.181854479056607,0,-0.125788219673042,0,0,0,0,0.227255043063693,0,0,0,0,-0.0186584291671091,-0.910776310930255,-0.635524981788034
FXI.US.EQUITY,0,0,-0.0738394713547075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176354923106304,-0.00356659318989896,-0.0345884296025091,0
VXFXI.INDEX,0,0.245663174765873,-6.93889390390723e-18,0.0206797862041845,0,0,0,0,0,0,0,-0.558669574961464,-1.11812763605924,0,0,0,0,0,0,0,0,0.27669164990386,0,0,0,0,-4.46644313744943,0,0.0370700010475575,0.204053839471897,-0.102558096692103
TED.SP,0,0,-2.81430496971195,0,0,0,0,0,0,0,0,0.201034059314366,0,0,0,0.96299008015015,0,0.79165664560219,0,0.101452448817153,0,0,0.771749074454351,0,0,0.0744189178271685,0,0,0,0.687365728238001,-0.0517078884528095
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.0389945313863033,0.101063525834059,0,0,0,0,0,-0.185654479982794,0,0,0,0,0,0,-1.07024881387512,0,0.00460345158194517,-0.0255122158035821,0,-0.382019387163257
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.174004750406435,0,0,0,-0.189733051739306,0,0,-0.192406572355221,0,-0.0226376022219624,0,0,0.157700416772549,0,0,-0.402003206980527,0,-0.0266286437617644,-0.0132498029989809,-0.374966263329582,0
