,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X3988.HK.EQUITY,0.410451890639792,0,0,0.033977574094953,0,0,0,0.0723642174218402,0,0,0,0,0.0538954836565263,0.00600616152346323,0,0,0,0,0.029610897044731,0,0,0,0,0,0,0.0057962197494758,0,-0.00949973732444119,0,-0.00565620011480969,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.230776787580733,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0317462859584109,0,0.131898119516332,0,0,0.00439094492630576,0.00645874027099869,-0.0147774200436112,0.00595974998262694
X1299.HK.EQUITY,0,0,0,0.195436283096733,0.20806357819005,0,0,0,0,0,0,0,0,0.0188276246363101,0.470833307420433,0,0,-0.0667202621527315,0.203190487953626,0,0.0146243210852456,0,-0.0820530315239686,0,0,0,0,0.0711108514761856,0,-0.0223549053841161,0
X5.HK.EQUITY,0,0,0,0,0,0,0.123280108653707,0,0,0,0,0,0.294452629801486,0,0,0,0,0,0,0,0.162934807800685,0,-0.0282882236954,0,0,0,0,-0.102848944643309,-0.0299378523975567,0.0589497622568986,-0.0551251024003722
X388.HK.EQUITY,-0.0245848541359072,0,0,0,0,0,0.141299574385809,0.0543738436713309,0,0,0,0,0.0658969690097192,0,0,0,0.0497173132640013,-0.144403573729383,0,0,0,0,0,0,0,0.0122534834117768,0.967391695300314,-3.46944695195361e-18,-0.0305562149003373,-1.73472347597681e-18,-0.210321422855944
X601166.CH.EQUITY,0,0,0,0,0,0,0.00803422861165536,0,0,0,0,0,0,0,0,0,0,0.125686993591929,0,0,0,0,-1.73472347597681e-18,0,0.276469676147536,-0.00796039806347728,0,0,-0.00517803286426934,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.11082948249226,0.294714612712172,0,0,0,0,0,0,0.039053941129367,0,0,0,0.491957052569825,0,0,0,0,0,0.101296122080489,0.0599413598403936,0,0.0440757425530449,0,0,0
X000001.CH.EQUITY,0,0,0,0.0891947996212793,0,0,0.0236017272021212,0.15011898486615,0,0.539775179286222,0,0,0,0,0,0,0,0,0,0,0,0,0.0320282136708737,0.0491222872398954,0,0.0527940214454254,0,-0.0592671281314092,0.0257019949769767,0,-0.0345796748275835
X601066.CH.EQUITY,0,0,0,0,0.167655101523958,0,0,0,0,0,0,0,0.129609509525992,0,0,0,0.924645079395184,0,0,0,0,0,-0.172916139010676,0,0,0,0,0.00437484229982969,-0.0249838686526966,-0.0135411421217054,0
X000002.CH.EQUITY,0,0,0,0,0,0,0.0307222296090244,-0.125772005587465,0,0,0,0,0,0.224110012728732,0.0628518861559631,0,0,0.0679459109375418,0,0,0,0,0,0,0,-0.0127796829068504,0,0,-0.0142158305352587,0,0
X3328.HK.EQUITY,0.162199336396207,0,0,0,0.272018446822581,0,0,0,0,0.250640330478615,0.0563960055167351,0,0,0.031114586178534,0,0,0,0,0,0,0,0,0,0,0,-0.0256985888524392,0,-0.01488000219731,0.027810661312647,0,0
