,X600958.CH.EQUITY,X601288.CH.EQUITY,X600837.CH.EQUITY,X600816.CH.EQUITY,X601318.CH.EQUITY,X3056.TT.EQUITY,X601108.CH.EQUITY,X600919.CH.EQUITY,X600369.CH.EQUITY,X000002.CH.EQUITY,X2905.TT.EQUITY,X3040.TT.EQUITY,X600061.CH.EQUITY,X600848.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X601155.CH.EQUITY,X6005.TT.EQUITY,X001979.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2905.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.100136955675572,0,0,0,0.0334708276192467,0.0960347054010049,0,0,0,0,0,0,0,-0.19313218064637,0,0,-0.00237838340617777,-0.0450756067179714,0.130276116715419,-0.0213804278145192
X3040.TT.EQUITY,0,0,0,-0.30036250507211,0,0.360342509581568,0,0,-0.469947107726115,0,0.16335650863849,0,0,0,0,0,0,0,0.544228248105717,0,0,0.33788235191471,-0.0576944920122344,0,0,0,0,-0.0327236373833354,-0.059803345519704,0.37492529611681,0.797437773910472
X600061.CH.EQUITY,0.168609106485527,0,0.0235223950747523,0,0,0,0.301420777968929,0,0,0,0,0,0,0,0,0.0200594914476738,0.166594722297115,0,0,0,0,0,0.0543225601628924,0,0,0.0471480952455378,0,-0.00888787752734276,0.0151004413439037,0.0238497083929558,-0.0762596754439443
X600848.CH.EQUITY,0,0,0.124817029274533,0,0.043837639004397,-0.0536179308005536,0,0,0,-0.33275754390117,0.0717320434240515,0.0472846972405177,0,0,0,0.141985987848878,0,0,0,0,0.202890835208365,0,0.176116970862677,0.0312949182110784,0,0,0,0,0.02912519608027,0.0323565120583894,0
X000001.CH.EQUITY,0,0,0,0,0.455721368607477,0,0,0,0,0,0.0254253327537193,0.0620548001180364,0,0,0,0.0220491250360758,0,0,0,0,0,0,0,0,0,0.0050563449392513,0,-0.0160822816116048,-0.0100183242181324,0.0149305021808516,-0.0441757917642842
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.081554627339761,0,0,0,0,0.505335888630045,0,0,0,0,0,0.235746785344811,0,0,0,0,0.067718214739365,0,0.056278878760033,-0.105673371920223
X300059.CH.EQUITY,0,0,0,0,0,0,0.230062471281495,0,0,0,0,-0.0840622083615753,0.749230387945014,0,0,0,0,0,0.222791451933723,0,0,0,0,0,0,0,0,0.0753626088868008,-0.00015427894616033,-0.0299163439767059,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.10355902048952,-0.036284587468627,0,0,-0.00863367835248658,0,0.0406906089771495,0,0,0,0.115187393879885,0,0.0407783697341978,0,0,0,0,0,0,0.00516351919808878,-4.33680868994202e-19,-0.00297291681313285
X3266.TT.EQUITY,0,0,0,0,0,0,-0.05950542748951,0,0,0,-0.036928996507303,0,0,-0.0112000976551371,0,0,0.183944349155961,0,0,0,0,0,0,0,0,0,-0.222141998532426,-0.0282653085866443,0,0.0256240253760176,0
X601166.CH.EQUITY,0,0.204494658481387,0,0,0,0.200725186171518,0.00990420060254368,0,0,0,-0.0804900874022662,-0.00261310599635839,0,0,0.112876551174119,0,0.00328604569581349,0,0,0,0.161174875807146,0,0.163713758821701,0,0,0,0.00106162672456208,-0.0250107247549576,0,0,0.00397691359130403
X002142.CH.EQUITY,0,0,0,0.00778864606757915,0,0,0,0,0,0.00667946609205519,-0.0630896837442888,0.0457124267551959,0.106512093377122,0,0.368431371215486,0,0,0,0.162618857696617,0,0,0,0,0,0,0.00443650132864832,0,0.014886074898696,-0.007357735062826,-0.0668420211951863,0
X2881.TT.EQUITY,0,0,0,0,0,0,-0.313307443244698,0,0,0,0.068549609242255,-0.0598952477579717,0,0,0.00293180001411874,0.0864410024242406,0,0,0.117887059265129,0,0,0,0,0.530083812025613,0,0.0556191722083001,0,-0.0238184255320692,-0.0355151007873884,0,-0.00860009804966805
X601155.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.294403397723201,0,0.0270639113788738,0,0,0,0.179977247520461,0,0,0,0,0.104243225027433,0,0,0,0.441559409645017,0.036943851328242,0,-0.00206703409750647,0,0,-0.0114790997581418
X6005.TT.EQUITY,0,0,0,-0.0156641452809068,0,0,0.00312278856578468,0,0,0,0.0772975993121513,0.0104394317359556,0,0,0.0672165758888126,0.012968563986078,0,0,0,0,0,0,0.306375207564523,0,0,0.063995266971082,0,-0.0339976542190616,-0.012377176390117,0.043105307790957,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.246025433783428,-0.0341800278137696,0,0.0805415092897196,0,0.00470735029015734,0.0341341014437619,0,0,0,0,0.0317665397634195,0,0.0759923149410766,0,0,0.0380915600513688,0,0,-0.00562282543748927,0,0
CGB3M,0,0,0,-0.191184489663476,0,0,0,0,0,0,0,-0.0576893423718513,0,0,0,0.17032884082223,0,0,0,0,0,0,0,0.0702206234142698,0,0,0,0.0299797080576785,0,-1.0515926267213,-0.583684334295421
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0889248586729862,0,0,0,-6.93889390390723e-18,0,-0.0155123556660328,0,0,0,0,0,0,0.00952841856949435,0,-0.225361756961849,0.00226503714377193,0,0
VXFXI.INDEX,0,0,0.360762107142523,0,0,0,0.0183067181898207,-0.146531144448948,0,0,0,0.195484288893195,0.135249558390345,0,0,-0.254872656591283,0,0,-0.0233249665973694,0,0,0,0,0,0,0.0601123440906733,-3.71994506889637,0,-0.0221996502956655,0,0.108754438248711
TED.SP,0,0,0,0.438250362865793,0,3.38445592154682,0,0,0,0.348651160632755,0,0.756899346894778,0,0,0,0,-0.381704973485277,0,0,0,0,0,0,0,0,0,-2.34847241049341,-0.0211399065983297,0,0.413889790674264,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,-0.0807800657248094,0,0,0,0.243892008045026,0,0,0,0,0,0.0844493667867806,0,0,0,-0.91720534721741,0,0,0.014753753908124,0,-0.452602784818944
CREDIT.SP,0,0,0,-0.125457843461042,0,0,0,0,0,0,0,0.106087757633058,0,0,0,0,0,0,0,0,0,0,-0.108260043489478,-0.232519560602457,0,-0.824177576120241,0.103955107434736,0.154780163642342,0,-0.789736422807058,0
