,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601328.CH.EQUITY,0,0,0,0,0.0847242614563554,0,0,0,0,0,0,0,0,0,0,0.115974100236511,0,0.333119855566456,0,0.0587878560675346,0.0862079251840233,0.0331572410326837,0,0,0,0.0775191588473723,0,-0.00563466828908093,0.00630700989994368,0,0
X3328.HK.EQUITY,0,1.0307897504697,0,0,0,0,0,0,0,0,0,0,0,-0.114800655408619,0.206531480591648,0,0.257578339914576,0,0,0.0289660649548617,0,-0.0274906021097001,0,0,0,-0.0519617872647374,0,0.00405378951397745,-0.0153775593617888,0.060011190209107,0
X601166.CH.EQUITY,0,0,0,0.0833862650596806,0,0.110436954423764,0.46733998425342,0,0,0,0,0,0.0187160913431843,0,0,0,0,0,0,0.409829382713023,0,0,0,0,-0.0808666967707773,0.0330708842098306,0.0249130586307366,0,0.0189545298688745,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.261881319079153,0,0,0.0725224197866578,0,0.0491401440843414,0,0,-0.207083402744835,0.153354620442068,0.139313326913899,0,0,0,0,-0.00905173395715087,0,-0.00183167141478023,0.00294059177440984,0,0.0996201966172342
X601319.CH.EQUITY,0.0433298469137555,0,0,0.243149515924417,0,-0.0928352466730968,0,0,0,0,0,0,0.0599927508433433,0.467159050234251,0,0,0,0,0,0.452478903018133,-0.0713733822476929,0,0,0,0,0.00302360449960807,0,-0.0204835803319961,-0.012831906881527,0,0
X601601.CH.EQUITY,0,0,0,0.536499161008185,0,0,0,0,0,-0.236834198714461,0.0266382011418554,0,0.133681480294644,0,0,0,0,0,0,0,0,0.0484693639928707,0,0,0,0,0,-0.00787757872906451,0.019802641114719,0.0328234137938016,0
X16.HK.EQUITY,0,0,0,0,0,0,0.0773011551620804,0,0,0,0.0554571158855562,0.520124154779569,0,0,0.00700371085873511,0,0,0.146398738839567,0.167739069102699,0,0,0,0.161405502576191,0,0,0.0308254743770345,0,-0.0218346963445916,0.0338793658061677,0,0
X000002.CH.EQUITY,-0.467882642136184,0,0,0,0,-0.0247830551100435,0,0.43613703610741,0,0,0,0.0283366054740972,0,0,0.106109109621158,-0.200962714382281,0,0,-0.0790453790152054,0.553364773661404,-0.0330427290513786,0,0,0,0,-0.106424422929687,0,0.0209261774629355,0.0524060071660782,3.46944695195361e-18,0
X11.HK.EQUITY,0,0,0,0,0,0.310166184783379,0,0,0,0,0.124442196872339,0,0,0,0,0,0,0,-0.0211644550691178,0,0.0367093207011478,0,0,0,0.179770286043651,-0.0385775201110293,0,-0.0147568756882963,0.0192021158922003,0,0.0258479553593598
X388.HK.EQUITY,0,0,0.0386460482079442,0,0,0,0,0,0,0,0,0.219433139744224,0,0,0,0.446575424952113,0,0,0,0.0196778758559406,0,0,0,0,0,0,0,-0.00442515939799078,0.0404560523737093,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.173197414075334,0,0,0,0,0,0,0,0,0,0,0.420785698308098,0.33860885674267,0,0,0,-0.00140490721736393,0.0117241874403586,0.098226605253745,-0.00571751034604876
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016595442065197,0,0,0,0.214012798736731,0,0,0,0.00838868344022388,-0.0442218052768719,-0.906259739626267,-0.76336690563708
FXI.US.EQUITY,0,0,0.245026239697472,0,0,0,0,0,0,0,-0.0937096664227367,0.132665081458607,0,0,0,0,0,0,0,0.0838203824128518,0,0,0,0,0,0.0344690463532487,0,-0.172122785244964,0,0,-0.138929152119908
VXFXI.INDEX,0,0.298494404590903,1.69463616887862,0,0.373655525913902,0,0,0,0,0,-0.993858543994156,0.225128705607093,0,0,0,0,0,0,-0.157019312400949,0,0,0,0.152981836059531,0,0,0.0710638028192181,-4.84528217981325,0,0,0,-1.00025100837405
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179376582202936,0,-0.0152570386606674,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40072391506105,0,0,0,0.0824214870247918,0,-0.903057542014289,0,0,0,0,-0.566321331929038
CREDIT.SP,0,0,0,0,-0.343127209071487,0,0,0,0,0,-0.146747285191548,0,0,-0.0297321449894776,0,0,0,0,0,0.108153836541709,0,0,0,0,0,-0.682636823442736,0,0,-0.0418246358306655,-0.636130074444119,0
