,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0794010737860748,0,0.343270129057657,0,0,0,0,0,0,0,0.22153541962431,0,0.465385684843274,0,0.280322848651091,0,0,0,0.0145813505718045,-0.0122614886743114,0.0691268129531863,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0955823828827548,0,0.375484380878872,0,0,0,0,0,0,0,0,0,0.495238942964972,0.0328121414564718,0,0,0,-0.0251396700985809,-0.00119552140527844,0,-0.161905138497552
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.353366261586331,0,0,0,0,0,0,0,0,0,0.16687062829206,0,0,0,0,0,0.0334797335517322,-0.00326630226059593,-0.0664372011990312,0.0403892728965331
X5.HK.EQUITY,0.101152554019304,0,0.204246530783951,0,0,0,0,0,0,0,0.0319194587499549,0,0.294219622235739,0,0,0,0,0,0,0,0,0.0458047618836389,0.0433713219087908,0,0,0.0335341616122915,0,-0.0137211370406352,0.00711507970320548,0,-0.34006398896109
X3328.HK.EQUITY,0.0702745247179586,0,0,0,0,0,0,0,0,0,0.056487751949278,0,0,0,0,0,0.140606506866135,0,0,0,0,0,0.321450955522056,0,0,0,0,-0.00622985080327279,-0.0234414432302411,0.0148362290678255,-0.0476900859748126
X601328.CH.EQUITY,0,0,0,0.107457866457266,0,0,0,0,0,0.109148361854819,0,0,0,0,0,0,0,0.0612728893182186,0,0.0892423206052664,0,0,0,0,0,-1.0842021724855e-19,0,0.00922180999199687,0.000789057533917738,0.00206684497763984,-0.0105527745098384
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0813307260203045,0.202093966354492,0,0,0,0,0,0,0,0,0,0,0.170428311897546,0,0,0,0.0732429906565149,0.0200676314777533,0.00264766729098468,-0.0381144997336082,0
X601166.CH.EQUITY,0,0,0,0.112905050279961,0,0,0,0,0,0.576723133135595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272610392576186,-1.73472347597681e-18,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.105498558301051,0,0,0.0248665721428675,0.0553797431903941,0,0,0.0392529621249388,0.256336516490868,0,0,0,0,0.033311001838326,0,0,0.000842773233508249,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0626804115657319,0.145477295772577,0,0,0,0,0,0,0,0,0.143164126048626,0,0.113840160658633,0.314583530950923,0,0,0,-0.0277099578223002,0.00258622501615182,0.0203199429058979,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0668936700655544,0,-3.46944695195361e-18,0,0.213148605756509,0,0,0,0,0,0,0,0,0,0,0,0,0.204557014794619,1.73472347597681e-18,-0.00974701969335721,0,-0.0586026551977319
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.546947263782663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102153567426763,0,-0.0278173477122842,2.16840434497101e-19,0.0623903036868946,-0.0330083260391823
X688.HK.EQUITY,0.684718048353596,0,0,0,0,0,0,0,0,0,0,0.539767370844465,0,0,0,0,0,0,0,0.0384534825262133,0,0.0810767488060398,0,0,0,0.00816701204828453,0,0,-0.007515051948568,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.0847688922506027,0,0,0,0.149913334796435,0,0.344966545942117,0,0,0,0,0,0,0,0.0280304060745756,0.0474264374348701,0,0,0,0,0.0164478669134736,0,0,-0.0179704877387829,0,-0.0509189328662845
X601319.CH.EQUITY,0,0,0,0,0,0.0246799476259873,0,0,0,0,0,0.0879197623849548,0.0591666114536622,0,0,0,0,0,0,0,0.234498474204897,0,0.0023651737942879,0,0,0,0,0.0068550671448434,-0.0119884903239064,0.00770352831404136,-0.00841121722922225
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.360394001997728,0.195122331775923,0.686267252204563,0,0,0,0,0,0.0924031595247187,0,0,-0.236332378100141,0.0603466704262045,0,0,0,0.0349533945111081,-0.026571178751236,-0.950072554455571,-0.655096795558744
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.265136247410583,-0.00682811297418181,0,0
VXFXI.INDEX,0,0,0,0,0,0.133186625586341,0,0,0,0,0.63163477539302,0,0,0,-0.351339998752215,0,0,0,0,0,0,0,-0.218901965545887,0,0,0.116991081955383,-2.84549298001185,0,-0.0358201213718003,0,0.135179296031334
TED.SP,0,0,0,0,0,0,4.05464504241257,0,0,0,-0.742671854146545,0,-1.56646984831649,2.59392825132628,0,0,-1.8475329815699,0,0,0,0,0,0,0,-0.617169532278509,-0.616400243306783,-0.284653126359027,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123848040346997,0,0,0,0,0,0,0,0,0,0,0,-0.938543370979668,0,0.0610584886263812,-6.93889390390723e-18,0,-0.757912817424939
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.115068159949884,-0.513543790737258,0.112279805851888,0,0,0,0,0,0,0.217995470520431,0.171941117032129,0,0,0,0.108912701488096,-0.845386195299226,0.423641510877423,0.13068842854237,0.0331914777632849,-0.87905923123502,0
