,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.00803695754325442,0,0.227483615212917,0,0,0,0,0,0,0,0,0,0,0,0,0.0455436548169792,0.0157088383395774,0.109111488816535,0,0,0.0104717782796554,0.00734308220417317,-0.0160434976734062,0.0105837968410482
X3988.HK.EQUITY,0,0.405790114792805,0.0447415337002666,0,0,0,0.0666190650525964,0,0,0,0,0,0.0501648575365666,0.0101835377597861,0,0,0,0,0,0,0,0.0308926300832359,0,0,0,0.0122677848012931,0,-0.00544923868232297,0,0,0
X1299.HK.EQUITY,0,0,0.198821273644649,0,0,0.205565915812375,0,0,0,0,0,0,0,0.0164150938923127,0.474272768517187,0,0,-0.0623739346338209,0,0,0.0178946961140785,0.202218819359004,-0.0785909088545888,-0.0154781647542463,0,0,0,0.0705050913435667,0,-0.021858971998195,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0399601220294188,0.181886963997322,0,0,0,0,0.258860742680601,0,0,0,0,0,0,0,0.227926487400415,0,-0.173743000109787,0,0,0,0,-0.0767070239641543,-0.0354371814519468,0.0539955906646535,-0.0595607130075104
X388.HK.EQUITY,0,-0.02457910039159,0,0,0,0,0.0543821949791331,0.14128805186374,0,0,0,0,0.0658954711294616,0,0,0,0.0497044661739023,-0.144380225881143,0,0,0,0,0,0,0,0.0122700688947722,0.967412285572662,0,-0.0305521204108269,0,-0.210334571287995
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.00972987216095353,0,0,0,0,0.0192667172351875,0,0,0,0,0.142822746006948,0,0,0,0,0,0,0.309248585736151,-0.009194668243068,0,0,-0.00457567182975743,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.174555640226821,0,0,0,0,0,0,0,0.192210088898988,0,0,0,0,0,0,0.521495794995428,0,0,0.138388420522424,0,0,0,-0.033956785911473,0.0608346950679718,0
X000001.CH.EQUITY,0,0,0.0125679884395704,0,0,0,0.149905844701011,0,0,0.609209391001921,0,0,0,0,0,0,0,0,0.0532350528250465,0,0,0,0.109188947441782,0,0,0.0482373980663054,0,-0.0656779192877149,0.0218648290256959,0,-0.0532991674522718
X000002.CH.EQUITY,0,0,0,0,0,0,-0.178724132581469,0.193419168124049,0,0,0,0,0,0.108281204883444,0.0224581240179592,0,0,0.037920838523797,0,0,0,0.13795872119812,0,0,0,-0.0374005908874665,0,0,-0.00122785405796684,0,0.0613595996042912
X601328.CH.EQUITY,0,0.00770696159620372,0,0,0,0,0,4.33680868994202e-19,0,0.0055105388483481,0,0,0,0,0,0,0.0427711000734418,0.030814304101919,0,0,0,0.00189615565866562,0.0231191802319764,0.105061890366501,0.114830783630255,0.00580609232281933,0,-0.017417043298401,-0.00286492716664596,0,0
X3328.HK.EQUITY,0,0.113245755631815,0,0,0,0.306557915356848,-0.0348490568765307,0,0,0.273730469719618,0,0,0,0.0770080346617683,-0.0310108278930226,0,-0.0622312337868377,0,0,0,0,0,0,0,0,0,0,-0.0855410877019718,0.0270959671729429,0.0166668446947367,0
X601066.CH.EQUITY,0,0,0,0,0,0.213236533578386,0,0,0,0,0,0,0.0680657762566492,-0.0903662051287707,0,0,1.11433309046176,0,0.147757480463809,0,0,0,-0.228702187289871,0,-0.0841390776068128,0,0,0,-0.0100032000075461,-0.0340934970955345,0
X601601.CH.EQUITY,0,0,0.530491604313486,0,0,0,0.207577130081655,0,0,0.104511041607826,0,0,-0.05855677682279,0,0,0,0,0.0170144958374535,0,0,0,0,0,0,0.206728592097616,0,0,-0.008814396464044,0.013577991965606,0.0220911405817088,0
X600000.CH.EQUITY,0,-0.00490147660272599,0,0,0,0,0.0381771300025392,0,0,0,0,0,-0.0610735407858133,0,0,0,0,0.484809699477774,0,0,0,0,0,0,0.132712596615377,-0.0136455305556247,0,0,0,0.0330674779056533,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0801995880925687,0,0,0,0,0,0,0,0,0.112972225915634,0.163451754421152,0,0,0,0,0,0,0,0,0,0,-0.0278366597901009,-0.0376172003228841,-0.0120821261653298
CGB3M,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,-0.240078353457042,0,0.281751442682484,0.0613185432027925,0,0,0,0,0,0,0,0,0,0.00459806593383021,-0.00631961783496718,-0.84078001311116,-0.420127998814285
FXI.US.EQUITY,0,0,0,0,0,0.0367292153404042,0,0,0,0,0,0,0,0.204512286584919,0.128133792015645,-0.018018416971997,0.120404163471241,-0.0739729629328109,0,0,0,0.0111428333198514,0,0,0,0,0,-0.152198599329326,-0.0160188422444638,0.0743886480414912,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925496058366081,0,0,0,0,0,0,0,0,0,0,-1.98326832194706,0,0.049255198077422,0,-0.139943502118654
TED.SP,0,0,0,0,0,0,0,-0.358301373507475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189028652204766,0,0.355487975773746,0
CN3M10YSLOPE,0,0,0,0,0,0,0.0992859504683206,0,0,0,0,0,0,0,-0.2536862716407,0,0,0,0,0,0,0.116277906546679,0,0,0,-0.932738502395694,0,0,-0.0204486752700931,0,-0.639158139827061
CREDIT.SP,0,0,0,0,0,0,0.299016248747284,0,0,0,0,0,-0.00624750480755561,0.162208073715744,-0.314700581238969,0,-0.204511543927753,0,0.104015095255146,0,0,0,-6.93889390390723e-18,0,0.083753750027969,-0.284897932368067,0,0,0,-0.256441924951309,0
