,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X3988.HK.EQUITY,0,0.0968809623045277,0,0,0,0,0,-0.151502333215769,0.142579592005809,0,0,0,0,0.0970200418551804,0.124908063551511,0,-4.33680868994202e-19,0,0,0,0,0.0247393077291725,0.206956830383256,0,0,0,0,0,-0.00110014797910173,0,0
X601988.CH.EQUITY,0,0,0,0,0,4.33680868994202e-19,0,-0.00309596325197087,0,0,0,0,0,0,0,0,0,0.875802634376068,0,0,0,0,-0.150602000591206,0,0,0.00812861320808705,0,0,0.00751318360116222,0,-0.0242017439775164
X1299.HK.EQUITY,0,-0.173359738065447,0.833769827674501,0,0,0,0,0,0,0,0,0,0,0.374594275012193,0.26297194573459,0,0,0,0,0.169535037193296,0,0,0,0,0,0,0,-0.00182453498595372,0.00867666388527347,-0.0266557088242254,0.0803534688278723
X5.HK.EQUITY,0.0741147366740996,0,0,0,0,0,0,0,-0.130530583228788,0.0802391114853059,0,0,0.379152764780189,0,0,0,0,0,0,0,0,0.0986914528744149,0,0,0,0,0,-0.0780216505215378,0.00307855607246253,0.0784674477394506,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.260557830883327,0.263666196781158,0,0,0,0,0.0509797093715295,0,-0.0591132219086977,0,0,0,0,0,0,-0.167642649165947,-0.156298693659882,0,0,0,-0.0631651728328605,-0.0150298783928875,0,-0.106282377032026
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.152794870343321,0.178813665469653,0,0,0,0,0,0,0,0.406795099476244,0,0,0,0,0,0.20185721652575,0.0842962249932782,0,0.0285224756775721,0,0.052628268873619,-0.0209819376740083,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.164345449471214,0,0,0,0,0.991490565883564,0,0,0,0,0,-0.098652055400735,0,0,0,0.023970260374,0.0744749780145967,-0.015367791509187,-0.0255860534004396,0.0166494297860997,-0.096122290535403
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0579871472835674,0,0,0,0.785140991345445,0,0,0,0,0,0,0,0,0.0158866293038349,0.03032330669636,0,0.102493784271371,0,0,0,0,0.00479713761573272,0,-0.0128001918581487
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.150678758774639,0,0,0,0,0,0.00959890356698791,0,0,0,0,0.167412347104001,0,0.101257418529141,0,0,0,0,0.0335894584978148,0.00407948899759776,0,-0.0266009535209126
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0344645488351176,0,0.220559623894335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387034049676372,-0.0241932808493242,0.0221371924218347,-0.0349027834681438
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0743014137668466,0,0.264716957156073,0,0,-0.136297365142948,0,0,0,0,0.202198659801294,0.0738942182225331,0,0,0,0,0.246841957347766,0,0,0,-0.0265386588362692,-0.0173200921130903,0.0140599585754387,0
X000002.CH.EQUITY,0,0,0,0,0,0.130978305505612,0,0.0384840083129448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151315163925154,0,0,0,0,0.0163535689872259,-0.00155496507391463,0.015308791244733,-0.108266236146472
X601319.CH.EQUITY,0,0,0,0,0,0,0.099733549254612,0,0,0,0.0303145859280446,0,0,0,0,0,0.135699917310886,0,0,0,0,0,0,0,0.718469634158384,0,0,0.0497559297937814,-0.00431736139086656,-0.00186301015884363,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0549197516093724,0.0245949754296642,0.226685811705886,0,0,0,0,0,0.0376836546620478,0.00307375839503715,0.0720056292167435,0,0,0.0425693865182811,0,0,0,0,0,0,-0.0247100713166416,-0.0130592091318617,0,-0.098676350937311
X601601.CH.EQUITY,0,0,0,0.166723074596705,0,0,0,0.0977373250943268,0.562179430100354,0,0,0,0,0,0,0.0379050152869269,0,0,0,0,0,0,0,0,0,0,0,-0.0106539383639476,0.0384339488749885,0.0287113230155926,-0.0930804668950524
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.302880899307486,0,0,0,0.10547434944385,0.00701263697194239,0,0,0,0,0,0,0,0,0,0,0,0.0153804956735892,-0.729962823192776,-0.0378174279661774
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.071959273835858,0,0.136383905440997,0,0,0,0,0,0.0929807998474132,0,0,0,0,0,0,0,0,0,0,-0.099698795645985,0,0.0309617249992821,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0363665316836723,-0.390689905600903,-0.937945881054635,0,0,0.264875887802363,0,0,0,0,0,0,0,0,0,0,0,1.673622675591,0,-2.41240141472463,0,0.0302632558673801,0.0439494030741066,-0.320111278175374
TED.SP,0,-1.33256277547543,0,0,0,0,0,0,0,0,0,0,-1.65649699907048,1.60008474709281,0,0,0,0,0,-1.34890807371817,0,-0.925148153006992,-0.534431543595948,0,3.02046884527225,-0.572935171608024,-0.672212088293828,0.420697896718799,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,-0.109539331209204,0.309221830627316,0,0,0,0,0,-0.240156359904242,0,0.16759507694103,0,0,0,0,0,0,0,0,-0.971033513948223,0,-0.0275459224638494,1.73472347597681e-18,0,-0.723508903408335
CREDIT.SP,0,0,0,0.15789494736206,0,0,0,0,0,0,0,0,0,0,-0.305124588153466,0,0.0201641222637891,0,0,0,0,0,0,0,0,-0.81548008771777,0,-0.0330862795556423,0.0145734673641229,-0.808698929136639,0
