,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.165382467814017,0,0,0,0,0,0,0,0,-0.185332191897063,-0.120205021387188,0,0.366157577006863,0,0,0,0.170193793598257,0,0,0.156207883612725,0.378119712729517,0,0,0,0,0.0019962351230776,-0.0244199287974772,0.0217174767659427,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.174001169707101,0,0.00324726245278457,0,0,0.229709216831344,0,0,0,0,0,0,0,0,0.0658706566337668,0.232933103314907,0,0,0,0,0.00882041255268433,-0.00596378521079136,0,-0.0101291072093291
X601628.CH.EQUITY,0,0,0.187522481850916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165172644743322,0,0,0.182830792890585,0,0,0,0,0.208179632258039,0,0,0,0.0174249787377396,0.0442928895318917,0
X2628.HK.EQUITY,0,0.0639167797337391,0,0.706109502221927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19457246181085,0.00962073305589017,0,0,0.0420329765242489,0,0
X3328.HK.EQUITY,1.1448839916369,0,0,0,0,0,0,0,0,0,0.105105564132973,0,0,-0.0136852070181225,0,0,0,0,0,0,0,0,0,0,0,-0.0722375723891302,0,0,-0.0170203559644012,0.0457794009125294,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.13446736187442,0,0,0,0.157317908567526,0,0,0,0.111604602233967,0,0,0,0.233069813154023,0,0.0358095033426125,0.0947327200871417,-0.0825095876190108,-0.0171562186531316,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.349170555330269,0,0,0,0.0772207728822607,0,0,0,0.0314471354729195,0,0,0,-0.0480758221095917,0,0.0320839648539718,0,0,0,0.151049812608672,0,0,-0.00676230061787172,0.0314792664924512,0.0256976822794041,0
X600000.CH.EQUITY,0,0,0,0,0.0288773935178102,0,0,0,0,0,0,0,0,0,0.205374418784104,0,0,0,0,0,0,0,0.128947717512177,-0.0839332221520902,0,-0.0167709012965385,0,-0.0126536943596447,0,0,0.0570848178409
X601319.CH.EQUITY,0,0.0409283383811784,0.0985810223323472,0,-0.101407689878989,0,0,0,0,0,0,0,0,0.538877558781049,0,0,0,0,0,0.576381101667406,0,0,-0.0615287163994606,0.0283062993447235,0,8.67361737988404e-19,0,0,-0.0272975043779642,0.014178351126275,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.0264254372779514,0,0,0,0.585064845711532,0,0,0,0,0,0.122933585149298,0,0,0,0,0,0,0,0,-0.00190515049593192,2.16840434497101e-19,0.00561383062357275,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361170456771966,0.469309093197032,0,0,0,0,0.435761722014957,0,0,-0.0178749317434668,0.0375934885955494,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0385505304032101,0,0.0708736625512497,0,0,0,0,0,0,0,0,0,0.0418175840444059,0.31927899240791,0.142586570140596,-0.0171858232231765,0,-0.0106333330947109,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.642740940713891,0,0,0,0.26414283890952,0.216183553802034,0,0,0.0238447412982846,0,0,0,0,0,0,0,0.017352232021263,0.0328778120646578,0.116133783172837,0.345995233409108
X388.HK.EQUITY,0,0,0,0,0,0,0,0.567454245711324,0,0,0,0.20866891631894,0,0.0133915987251159,0.199336108676372,0,0,0,0.0420760316031476,0.0618737982355285,0,0,0,0,0,0.0134511620525889,0,-0.00115984756708943,0.0100620954884602,0,0
X000001.CH.EQUITY,0,0.00366219097463504,0,0.0493882456215068,0,0,0,0,0,0.125410985502697,0,0,0.295991096281498,0,0.158397900534099,0,0.0465434477715415,0,0,0,0.0984223775192164,0,0,0,0,0,0,0,-0.061288691443062,0.0465673593104163,-0.118965632771172
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307605276625846,-0.0637525667674784,0,0,0.0107341006816098,0,-0.928784212861132,-0.781307536705039
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0981338923781831,0.211088076520044,0,0,0,0,0,0,-0.0484316553419038,0.18895783617659,0,0,0,0,0,0.0225480987384524,0,-0.168020320222525,-0.00488946475852753,0,-0.15278171034926
VXFXI.INDEX,0,0,0,0,0,0,0,0,0.130652283670446,0,-0.493227726505116,0.873320976740235,-0.25499666544662,0,0,0,0,0,-0.274040401130927,0.48680865429632,0,0,0,0,0,0,-4.7789505661541,0,0.0356226678773788,0,-1.11880333420469
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53887122410082,0,0,1.45382273438895,0.359564396240776,0,0,0,2.62571734112506,0,0,-3.67284509195347,0,0,-0.150438213093704,0,0.852096164132384,-0.688264522593119
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0.0927446597634878,0,0,0,0,0,0,0,0,0.168487946643434,-0.0320160153056236,0.135745756700567,0,0,0.0377466672932696,0.00905706272996639,0,-0.877217381616055,0,0.0541060801232933,0.104865702960373,0,-0.672981012243872
CREDIT.SP,0,0,0,0,0,-0.301444039490905,0,0,0,0,-0.0999781505331596,0,0,-0.253806531880698,0,0,0,0,0.192862568775571,0.179218601833929,0,0,0.0230566575397893,0,-0.0417833751260686,-0.693968605312974,0,-0.0171647410012165,0,-0.676631490337666,0
