,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601328.CH.EQUITY,0,0,0,0,0.313789510452228,0,0,0,0,0,0,0,0,0,0,0,0.272967313277287,0,0,0,0,0.121480104689563,0,0.0236712062717734,0,0,0,0,0,0,0.0277597483318957
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264455824645757,0,0,0,0,0,0.0623802137272322,0.00308296249445418,0,0,0.159215274432308,0,0,0,0.0160133714704872,0,0,0.0311266310257988
X16.HK.EQUITY,0,0,0,0.0548163324475161,0,0,0,0,0,0,0,0,0.118571513192391,0,0,0,0,0,0,0,-0.0612201181044921,0.00927836986638749,0,0,0,-4.33680868994202e-19,0,0.00151423804455939,0.0161609995869808,0,-0.140675747837557
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603825810671449,0.0434506620105964,0.221147516622908,0.10888097620765,0.103245100144442,0,0,-0.011644404588903,0.0456264850553388,-0.0610758544848367,-0.0197236410925187
X600000.CH.EQUITY,0,0,0,0.0169739470494073,0,0,0,0,0,0,0.218502318046977,0,0.0778311142547547,0,0,0,0.176909730843797,0,0,0,0.0121371547001106,0,0.201774034637007,0.0937707560463074,0,0.0126258613553927,0,0.00803588537597312,-0.0173998924249088,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.356889666586841,0,0,3.46944695195361e-18,-0.0608692506869458,0,0,0,0,0,0,0.549151417028081,0,0,0,0,0,0.0207352164833352,-0.394670391843169,0,0
X000002.CH.EQUITY,0,0,0,0.627178597610192,0,0,0,0,0,0,0,0,0.207128766162706,0,-0.159377816011923,0.213644713740568,0,0,0,-0.138436630575141,0.0627564379677789,0,-0.193315043727215,0,0,0,0,0.0421528432351231,0.0149815604860978,-0.0591578730281534,-0.0535396978481555
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.00703124410729108,0,-0.465606035125895,0,0.369986008033531,0.522066472659135,0,0,0,0,0,0,0,-0.0490176296036457,0,0,0,0,0,0,0,-0.0734452691959004,0,-3.46944695195361e-18
X601601.CH.EQUITY,0.0673675293358472,0,0,0.297049294698283,0.0442959368990535,0,0,0,0,0,0.116644714656759,0,0.211303718123236,0.0832476117529871,0,0,0,0,0,0,-0.0198353263646156,0,0,0,0,0.0212221522329746,0,0.0116134812769459,0,-1.0842021724855e-19,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0180088280880224,-0.0356655088877917,0.0204455570703554,-0.00043157877974405,0.238107391387382,0,0,0.188888773837756,0,0,0.00581235175229754,0,0.0728464672242358,0,0,0.0245542550412179,0.0958411597219685,0.0370536875200445,0,0.023704538390803,-0.0709320776449992
CGB3M,0,0,0.0129716010098856,0,0,0,0,0,0,0,0,-0.0753387366731226,0.0684429859273195,0,0,0,0.145191832610133,0,0,0,0.0279431333065057,0,0,0,0,0,0.0112132868335757,0,-0.0466858659978717,-0.740765510521387,-0.169703443896709
FXI.US.EQUITY,0,0,0,-0.254924917187601,0,0,0,0,0,0,0,0,0.127447144069395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256410342084945,0.0382330579473492,0.0750521134068517,0.0842504275129013
VXFXI.INDEX,0,0,0.364973266324497,-1.27334970886212,0,0,0,-0.181499612820758,0,0,-0.440502381944521,0,0,0,0,0,0,0,0,0,0,0.662181832912834,0,-0.0783009097017506,0,-0.0215535271792093,-2.94179665707819,0,0.227007992635534,0.392980267495469,0.180179871466465
TED.SP,0,0,0,0,0,0,0,0,0,-0.62175471833524,0,0,0,0,0,0,0.308737297050306,0,0,0,0.0667586572244124,0.106037934909017,0,-0.35874202542549,0,0,0.574880497574825,0.165992793509418,0,0.474748379333611,-0.109719426195636
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0.150948616062428,0,0,0,0,0.163228212540552,0,0,0,0,0,0,0.013204682597628,0,0,0,0,-1.1673614318355,0.0696820004329809,0.0277170453698953,0,0,-0.238650160385775
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0.164116449078537,0,0,0.101648728400689,0,0.150991851375502,0,0,0,-0.200746670790496,0.138134368718485,-0.144176462334621,0,0,0,-0.339511018492278,-0.177243574280694,-0.0836053202584938,-0.0790141130050569,-0.399138005303221,0
