,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0.0475810081429042,0,0,0.249122657223601,0,0,0,0.288892460207467,0.170813502379439,0,0,0.517458911439826,0,0,0,0,0,0,0,0,0.0447604158660374,0,0,0,0,0,0,-0.00286528105065522,0.015183666066722,0
X600036.CH.EQUITY,0,0,0,0,0.54482537696453,0,0,0,0,0,0,0,0.0871286452591022,0.0593436919980844,-0.00499228907134191,0,0,0,0,0,0,0,0,0,0.120728950311658,0,0,0,0.0148630441862289,0,0.0421713871126262
X1299.HK.EQUITY,0,0,0,0.66372588385708,0,0,0,0,0,0.0687245791606998,0,0,0,0.407274184260891,0.336975521307662,0,0,0,0.231351236319457,0,0,0,0,0,0,0,0,-0.0665442242219832,-0.00107097168907365,0,0.10801949662506
X5.HK.EQUITY,0,0.0540567527544201,0,0,0,0.596068531815508,0,0,0.0751588767711739,0,-0.437241868175125,0.361137891948682,0.299565452751823,0,0,0,0,0,0,0,0,0,0,0,0,0.00066744609254232,0,-0.107785682493325,-0.0255777378517108,0,-0.347173003219084
X388.HK.EQUITY,-0.0239456554468428,0,0.190902163022121,0,0,0,0,0,0,0,0.0275907288841473,0,0.0830849150555848,0,0,0,0,0,0.515486781869746,0,0,0,0,0,0,-0.0990466583834325,0,0.0519529089037545,0,-0.0720939318042005,0.0108618915476945
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.116364851034662,6.93889390390723e-18,0,0.0673679865980376,0,0,0,0,0,0,0,0.455060037286325,0.0123506860882609,0.0638745250451765,0,0,0.0549307262021984,0,0,0.0255479032561531,-2.16840434497101e-19,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.0164695731673856,0,0.0128985544719587,0,0.0839106596238307,0.200546764073489,0,0,0,0,0,0,0,0.211356565175967,0.0728942637721348,0,0.0243356701354734,0.0117977728671322,0,0,0,0,0.00799276481988209,-0.00920825625758411,0
X601328.CH.EQUITY,0,0,0,0,0,0.0155767989157217,0.176631187545252,0,0,0,0,0.0882079143309036,0.0218316250065635,0,0,0.0690023865565872,0.0162664570802438,0,0,0,0,0,0,0,0,0,0,0,0.00232726846927888,-0.00371026691164073,0
X3328.HK.EQUITY,0,0.023926260446971,0,0,0,0,0,0,0.0554337958287845,0,0,0,0.189606391566779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633193686035124,-0.0129267764842829,-1.73472347597681e-18,-0.106417806180351
X600000.CH.EQUITY,0,0,0,0,0.0228298416909853,0,0,0,0,0,0.0153001501727421,0.0708332490411555,0.0342040929935316,0,0.00785613013055558,0,0.448072310840733,0,0,0,0.016206595043415,0,0,0,0,0,0,-0.0128584162373739,0.00215285880681546,0.000248801941774945,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.130949539431756,-0.0763339457056102,0,0,0,0,0,0.616857866867181,0,0,0,0,0,0,0,0,0,0,0,0.0199086067835852,8.67361737988404e-19,0.0552196640701419,-0.0981206217925391
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00765175004068917,0.0900954380435236,0,0,0,0,0,0,0,0,0,0,0,0.141486845041331,0,0.111163432233807,0,0,0,0,0.02958161953361,-0.065159015405117
X601319.CH.EQUITY,0,0,0,0,0,0,0.179902435069855,0,0.024754418620767,0,0.353954986137821,0,0,0,0,0,0,0,0,0,0.123882534974119,0,0,0,0.223533181901434,0,0,0.00849686273746139,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.371272166925747,0.00814352488680271,0,0,0,0,0,0,0,0.023995327376035,0,0,0,0.105310223049771,0,0,0,-0.0126954149602365,0.0302230266237878,-0.0594414608978685
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159814369681725,0.270797072947695,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.109278670479299,0,0,0.00335042638886919,0.138072232441758,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,-0.261867379614023,0.438671114790233,0,0,0,0,0,0,0.173134914330468,-0.0899399399202993,0,0,0,0,0,0.048859996336342,-0.00604663477083531,-1.02427319128395,-0.627676568117083
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.222188646685667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145300501616922,0,0.0072392154941321,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0.868581758779684,0,0,0,0.0562219234734794,0,0,0,0,0,-0.835305753835679,0,0,0,0.126932268919062,0,0.36753186428586,0.0358370855701917,-3.30601451656854,0,-0.0441340655230326,0,-0.103486295093218
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,-2.27342945592191,1.74521871983015,-0.301757591371691,0,0,0,0,0,0,-0.339266643438913,0,0,2.47692077432325,-0.707147117569785,-1.20126521074044,0.205343736121129,0,0,0.644050947464521
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,-0.207388451907735,0,0.0765057480203011,0,0,0,0,0,0,0.099927044460976,0,0,0,0,-0.912155505821144,0,0.0377537247818713,0.0208473492641379,0,-0.702710523319889
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.136865963455324,0,-0.0492139439123265,-0.117455751962017,0,0,0,0,0,0,0,0,0,0,0,-0.898663387644562,0,0.0766287767335399,0.0282704610071545,-0.931601033884464,0
