,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.427838616674678,0,0,0,0,0,0,0,0,-0.119364973196384,0,-0.113849595011347,0,0.327495566208809,0,0,0,0,0,0.103346871647623,0.231772514808591,0,0,0,0,-0.0287169879596702,0.000233059780484826,0,0.0346855217084861
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0250509543375195,0,0.0784187041977299,0,0,0,0,0.286783896768877,0,0,0,0,0,0,0,0.0679421097603145,0.485604782671374,-3.46944695195361e-18,0,-1.73472347597681e-18,0,0.0145185341869485,-0.0271633145862321,-0.0401560505332319,0
X2628.HK.EQUITY,0,0,0,0.674082565281746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288573407746979,0.0231578081113911,0,-0.000561932665470452,0.0456459494543394,0,0
X601628.CH.EQUITY,0,0,0.409945970172018,0,0,0,0.0156231350021961,0,0,0,0,0,0,0,0,0,0.337636936383515,0,0,0,0,0,0,0,0,0,0,-0.0481383888816887,-0.0107462219299408,0.163255137363415,0
X601328.CH.EQUITY,0,0,0.099689659587532,0,0,0,0,0,0,0,0.0819394518104287,0,0,0,0,0.158126745958031,0,0,0.0922156784872692,0,0,0,0.307766101278161,0,0,0.0473450970735097,-0.0508334792348595,-0.0146804639394252,0.00610875798507446,-0.080680420148501,0
X3328.HK.EQUITY,0,1.25425574607629,0,0,0,0,0,0,0,0,0,-0.0568039439960659,-0.0400741314760465,0,0,0,0,0,0,0,-0.0186964890419989,0,-0.0713314894609617,0,0,-0.0213481142251686,0,0,-2.71050543121376e-20,0.0783004495313501,0
X601166.CH.EQUITY,0.0303096737806258,0,0,0,0,0,0.382281707509473,0,0,0,0.103256507306164,0,0,0,0,0.0315999931795425,0,0,-0.0190655549524371,0,0.153971659616912,0,0,0,0.00450895516056373,0,0,-0.011493229193547,-4.33680868994202e-19,0.0584461102020102,0
X600000.CH.EQUITY,0,0,0,0,0.304963253096956,0,0,0,0,0,0,0,0,0,0,0.203891973120026,0,0,-0.0369412143359174,0,0,0,0.103498593753385,-0.221085535970725,0,-0.0115468305089504,0,-0.00817513033024016,0.0229932919306724,0,0.0466374762916209
X601319.CH.EQUITY,0,0,0.712733075176018,0,-0.0617611498138904,0,0,0,0,0,0,0,0.0444364313909559,0,0,-0.0346076528602086,0,0,0,0.500817750615564,0,0,-0.0361599657282477,0,0,0.0327936627574026,0,0.0264873412093442,0,0,-0.00660705529366038
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335672530997974,0,0.00238097678481634,0,0,0,0,0,0,0,0,0,0,0,-0.0153425132680345,0.0187981438680611,0.0853160424924302,0
X000002.CH.EQUITY,0,0,0,0.141962094781355,0,0,0,0,0,0,0.298138671890268,0,0,0,0,0,0.0986175113519757,0,-0.432568171936727,0.593781898427203,0,0,0,0,0,-0.0432233163224788,0,-0.0104440730669786,-0.0125989762114507,0,0
X11.HK.EQUITY,0,0,0,0.0466837511886568,0,0,0,0,0,0,0.0417110745333555,0,0,0,0,0,0,0,0,0.0570859918595746,0.272622042925136,0,0,0,0.179132867750014,0,0,-0.00823642511758726,0,0.0176204629354766,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.170462855689804,0,0,0,0,0.235398267512941,0,-0.0638683740066537,0,0,1.20696059074996,0,0,0,0.0552867260543932,0,0.0175611802209351,0.0945552145699204,0,0.121160238933139
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119081318791756,0,0,0,0.305275823817569,0,0,2.16840434497101e-19,0.255194639121613,0,0,0,0,0.04369648736606,0,0,-0.0192569144523748,0.00427984865291807,0,0
X2388.HK.EQUITY,0,0,0,0.6288247056009,0,0,0,0,0,0,0,0,0.331488103778257,0,0,0,0.0586437228743972,0,-0.294311118485964,0,0,0,0,0,0,-0.0370724675951523,0,-0.0228875572577004,-0.0244723756425919,0,0.0411111025979007
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369507184088306,0,0,0,0,0.245421455123425,0,0,0,0.00219863983701342,0.00105823942396975,-0.927007600196958,-0.80309538439392
FXI.US.EQUITY,0,0,0,0,0,0.185275392256986,0,0,0,0,-0.0720029658663674,0.114738789418032,0,0,0,0,0,0,-0.0331371970693532,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.177152423163472,-0.00720339138337047,0,-0.142159555646229
VXFXI.INDEX,0,0.22307973936114,0,0,0,0.286221917775699,0,0,0,0,-0.822353557413587,0.219472473832836,0,-0.503604288771847,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-4.64031809988776,0,0.125021003455131,0.307454764260795,-0.84899354815775
TED.SP,0,0,0,0,0,0,0,0,0,0,0.140000605854627,-1.14889973814312,0.97274960376567,0,0,0,-0.253419872928642,0,1.6517586804793,0,0,0,0.543692534591791,0,0,-0.327523737031124,0,0.176247191238962,0,0,-0.483943289156269
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130187417464904,0,0,-0.104710699995259,0.336540699935103,0,0,-0.0636711453487569,0,0,-1.00519446864153,0,0,0.0178920675517508,0,-0.820256473899359
CREDIT.SP,0,0,0,0,0,-0.253829550967287,0,0,0,0,-0.296169176368773,0,-0.17398304238967,0,0,0.121578836356081,0,0,0.0591881047699529,0.23685887577549,0.142345949399765,0,0.0290505952994965,0.0473382956094169,0,-0.820087990337779,0,-0.0198982069565244,0.0378067786879755,-0.873518362949821,0
