,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364543787334438,0,0,0.0504228864123913,0,0,0,0.163449788096224,0,0,0,0,0,0.00909542486059122,-0.00239027733681347,0.00291885457584365,-0.012866463610408
X1299.HK.EQUITY,0.22308167042664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27557622683381,0.00656254264716691,0,0.163983446103345,0,0.0231635646408211,0,0.0346395375858436,0,0.0103897991881379,0,0
X2628.HK.EQUITY,0,0,0,0.142040012568875,0,0,0,0,0,0,0,0,0,0.250603284378194,0,0,0,0.155451106196525,0,0,0,0,0,0,0.334538757480921,0.111115373899882,0,0,-0.0175651083726784,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.60386516483837,0,0,0,0,0,0,0,0,0.20095373407615,0,0,0,-2.71050543121376e-20,0,0.0344849644631222,0.0114100123682824,0.0165989929155202,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.1198102151495,0.0923971563442256,0,0,0,0,0,0,0,0.444109484487957,0,0,0,0.0298164377034615,0,8.67361737988404e-19,0.00371252199732402,0,0
X3328.HK.EQUITY,0.131549187855495,0,0,0,0.0283120883023094,0,0,0,0,0,0,0.229649692699022,0.161837043895681,0,0,0,0,0,0,0,0.101263077431251,0.00706582175610133,0,0,0.0414300150329882,0.00650695179145012,0,0.00925483605780984,-0.00171584930837474,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0782869026295984,0,0,0,0,0,0.230574337260752,0,0,0.191136859836289,0,0,1.0842021724855e-19,0.0369364850947267,0,0,0.00302751795818212,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0672727851094243,0,0,0,0,0,0,0,0,0.280721748899226,0.112022495687791,0,0.0345849110012118,0.00517875674313327,0,0,-0.0509630439210601,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.148306616502752,0.165630505526174,0,0,0,0,0,0,0.0373302154868651,0.323436850176072,0,0,0,0.112692394667531,0,0.0110100266174393,-1.0842021724855e-19,0,0
X388.HK.EQUITY,0,0,0,0,0.34980457164923,0,0,0,0,0,0,0.175317962400683,0,0,0,0,0,0,0,0,0.0590222624487993,0,0,0.115816875202938,0,0,0,0,-0.00543453338823565,0.022450688617824,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.228172656734827,0,0,0,0,0,0.106520892802998,0,0,0,0,0.164110166784247,0.262923820284481,0,0,0.0195188034408916,-0.00128853273143455,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.25787360716241,0.131888543369132,0.0353323002329926,0,0,0,0,0,0,0,0.316037404471168,0,0,0.104806518191927,0,0.0167012272457475,0.00490987406696011,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.0741657456593386,0,0,0.115877408235315,0,0.519570674998872,0.127978354135818,0,0,0,0,0,0,0,0,0,0.131593738160833,0,0,0,-0.00426305262620491,0.0402599828185652,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.24130582517825,0,0.0606758949850925,0,0,0,0,0,0.0350799835177177,0.23824758026,0,0.0842612091686919,0,0,0,0,-0.00396445355745891,-0.00618811895714988,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0786406455748292,0.362230615514583,0,0,0,0,0.123853510994352,0,0,0.174951696063718,0.0364514769110923,0,0,0,-3.46944695195361e-18,0,-0.00990753482260239,-0.0175343766541339,0.0574557647205984,-0.095931552301578
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.609715950933606,0,0,0,0,0.175831255793249,0,0,0,0.365291617364131,0,0,0,0,0,0.00447814870740059,-0.00946243639359886,-0.898950706871311,-0.588193511907541
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.292787755323706,0,-0.316459133548013,0,0,0,-0.00679168318292707,0,0,0,0,-0.145825656074166,0,0.163776085753259,0,0,-0.197868389061721,0.0290424290193097,-0.0451220196668821,-0.135224352479945
VXFXI.INDEX,0,0,1.09508941798493,0,0.133251505953989,0,0,-1.47159137892549,0,0,0,1.1579415207393,0,-0.450522664285355,0,1.31105286379567,0,-0.513654208914251,0,0,-1.91223075227405,0,-1.3160355859197,-0.268359147396449,1.673454042094,0,-4.71087062591257,0,0.103271051120586,-0.272333125280174,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5774078107281,0,0,0,0,0,0,1.51719740390378,0,-1.59991154732592,0,-0.324361197645984,-1.21072831806457,0,-0.12504066559583,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.308655224749241,0,0,0,0,0.246572442537844,0,0,0,0,0.173680590805684,0,0,-0.793138299192222,-0.0594500780994083,0,-0.0222582982127962,0,-0.654182595011386
CREDIT.SP,-0.411724805556401,0,0,0,0,0,0,0,0,0,0,0,0.345363635870603,0,0,0,0,-6.93889390390723e-18,0.199177295079264,0,0.259179944770069,0,0,0,0,-0.720538616338909,-0.15140309541373,-0.0212135922652622,-0.0446640228029043,-0.709674899540933,0
