,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.244900622579981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178766386739688,0,0.259919250763227,0.135421520796565,0,0,0.132306091741188,0,0,0,0,0.0224242102826774,0.0173533179665812,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210003734317123,0,0,0,0,0.186745539114125,0,0,0.269820530759046,0,0,0,0.0355120642371925,0.00300322414092684,0.110076886085887,-0.0377213864930014
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.141368632484186,0,0,0,0.0276456208392218,0,0,0,0,0,0,0.0520648586796733,0,0,0,0.32272832211619,0,0,0,0,0.0295653336043423,0.0103554465663501,0.0215313702551256,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126273567578824,0,0,0.439128053742348,0,0,0,0,0.225262720519112,0.273721921588713,0,0,-0.00687783680475657,0.0026494057892629,0.0230382256318662,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109134567229234,0,0,0.429486109573827,0,0,0.0215369162315828,0,-0.0163283924505996,0.0230838073964143,-0.0110020149869036,0
X3328.HK.EQUITY,0,0,0,0.0150980404840387,0,0,0,0,0,0,0,0,0,0.0492011305536638,0.0376430812705731,0,0,0,0.0720164852071406,0.0230933287782024,0,0,0.0738608829561791,0.168569479224976,0.0829362377566492,0.0893725590955969,0,0,-0.018694817719996,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.083694807494466,0,0.103081793211185,0,0,0,0,0,0,0.0250876385591003,0,0,0.115865823445044,0.1623038802247,0.0792803586876265,0,0,0,0,0.0202324103201561,0,0,-0.00187329928661155,4.33680868994202e-19,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.239887919362273,0,0,0,0.371992254541717,0,0,0,0,0.142833959030666,0,0,0.0412465558260403,0,0,0,0,0.00758293944942496,-0.044803998590152,-1.73472347597681e-18,0
X601319.CH.EQUITY,0,0,0.225019053341333,0,0,0,0,0,0,0,0,0.0264746986598606,0.15984732309934,0.251295752055719,0,0,0,0,0,-3.46944695195361e-18,0.0530020977920626,0,0,0,0.0912769145897211,0,0,0.0266314708162373,-0.0451054922208569,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.4941871433775,0,0,0,0.160947577136673,0,0,0,0.414941391355459,0,0.0495853043407954,0.0345649706357955,0,0,0,0,0,-0.0420225013939577,0,-0.171964560779397,1.73472347597681e-18
X16.HK.EQUITY,0,0.23852534304543,0,0,0,0,0,0,0,0,0,0.131074377348944,0,0,0,0,0,0,0,-0.0406680117590032,0,0,0,0.420036656949724,0,0.191032699661689,0,-0.0450551785108288,0.0272143987622121,0.15414423927625,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.249609018461771,0,0,0,-0.167965294210198,0,0,0,0,0,0,0,0.231775383166852,-0.264297509158185,0,0.428197152850612,0,0,0,0,-0.0142691700548161,-0.0242733059738559,0.0796430096684412,0
X601601.CH.EQUITY,0,0.327151324400777,0,0,0,0,0,0,0,0,0.154584127165153,0,0.107140598629281,0,0,0.0532520724988612,0,0,0,0.226140316162278,-0.107555560505399,0.403009633879627,0,0,0.0752471792010575,0,0,-0.0316139360598435,-0.0164212046188154,0,0.138629992838279
X11.HK.EQUITY,0.398739556576123,0,0,0,0,0,0,0.418105337749319,0,0,-0.0955887282469148,0.440762120133456,0,0,0,0,0,0,0,0,0.0149014989175927,0,-0.3149544933059,0,0,0,-0.0322259157158139,0,-0.0253482818570453,0.0196480647496052,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.497814111045614,0,0,0,0.391887857933518,0,0,0,0,0,0,0,0,0,0,0,0.00591628722207444,0.0531128749319013,-0.0238760782214183,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595816890251001,0.114992964261695,0.00462117906892003,0,0,0,0,0,0,0.0160009685601349,-0.0231226442980651,-0.817801724031643,-0.798138972945841
FXI.US.EQUITY,0,0.0187086025518867,0,0,0,0,0,0,0,0,0,0,0,0.157840258373017,0.062539825029497,0,0,0,0,-0.0209138057625803,0,0.25364573668961,0,0.0502761421586124,0,0.0404492236681691,0,-0.114640241233413,0.017036271810727,-3.46944695195361e-18,0
VXFXI.INDEX,0,0,0,0,0,0.299906046753019,0,0,0,0,0,5.55111512312578e-17,0,1.05251330038133,0,0,0,0,0,0.0481525473580283,0,2.73502875461894,0,0.471955349451816,0,0,-7.92130811197614,0,0.237215740503524,-0.378081273670491,0
TED.SP,0,0,0,-3.04462941314411,0,0,0,0,0,0,0,0,0.964688735609625,0.487468273575339,0,0,0,0,-0.954814540831437,0,0,-0.283503647164726,0,0,0.913480197390513,-0.0526366281978632,0,0.0659253709665519,0,0.58990619534029,0.162117031613026
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.835771196267164,0,-0.0258997760680642,0,0,-0.85229337776039
CREDIT.SP,0,0,0,0,0,0,0,-0.299174463589553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109676726380048,0.0425770819886867,0,0,-0.647614545617242,0,-0.0467728586912942,0.00780083141038019,-0.731953803383551,0
