,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0474277592222337,0,0,0,0,0,0,0,0,0,0.122154211435176,0,0.27825128469545,0,0.262065550911552,0,0.173042133908402,0,0,0,0.00174884887808258,0.0176398444320254,0.00698853411506578,-0.0462439870889023
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0707324654739772,0,0,0,0,0,0,0,0,0,0,0.0483896409580459,0.276728334672019,0.277765991975852,0.16009568032756,0,0,-5.42101086242752e-20,-0.018539699210827,0.0406449622981905,-0.116404372980233
X2628.HK.EQUITY,0,0.0857267618727068,0.0841635026757035,0,0,0,0,0,0,0,0,0.178837647018535,0,0.269660881101331,0,0,0,0,0,0,0.0463694221219632,0,0,0,0.0441782427744073,0,0,-0.0027706150107317,-0.00262408257951798,0,0.0371960360626474
X601628.CH.EQUITY,0.232041841549957,0,0.202944185634539,0,0,0,0,0,0,0,0,0,0.083692523843118,0,0.192440997248622,0,0,0.0515570520904216,0,0,0,0,0,0,0,-0.011066720052407,0,0.00282521889635103,-0.0225536502314875,0.187719876424398,0.079473062061073
X601166.CH.EQUITY,0.0596568538509907,0,0,0,0,0,0,0,0,0,0.0479581510713892,0,0,0.0785486449091795,0,0,0,0,0,0.110571674351863,0,0.482379105438753,0,0,0,0.110746199369423,0,0.0115566025972026,0,-0.013713911828921,0
X3328.HK.EQUITY,0,0.367095026519439,0,0,0.185530050650313,0,0,0,0,0,0,0,0,0,0.126400876853881,0,0,0,0,0,0.00193922072308541,0.0951808454049518,0,0.102037675635066,0,0.0602859999003297,0,0,0,0,0.0112948570370189
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0367530129700391,0,0,0,0.100736119011014,0,0.104685408620862,0,0,0.0794700842230266,0,0.0743248637313801,0,0.0127436549430154,0,0,0.0898331115090935,0,0,0,0,-0.0412159470830724,0
X600000.CH.EQUITY,0.100701805684944,0,0.156756136004164,0,0,0,0,0,0,0,0.27186695468061,0,0,0.0236574888463512,0.160326255561267,0,0.347237478580631,0,0,0.0413910241326225,0.0318925522825998,0,0,0,0,0,0,0.00863989879843721,-0.0206973351537435,0,0.0752683607749534
X000002.CH.EQUITY,0,-0.213664538015143,0,0,0,0,0,0,0,0,0,-0.0560948650799319,0,0.0877158030254307,0,0,0,0,0,0.0901010329208528,0.0690519327212739,0.298552010017163,0.0421345406986362,0,0.0573063933023127,0.0751518943661202,0,-0.01894117457342,0.00986540665709455,0,-0.19811383457612
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.326061276459916,0,0,-0.0526626012825419,0,0,0,0.0555937450968607,0.0944342383363915,0,-0.129684171724659,0.402934017685797,0,0,0.234100173109559,0,0,0.00127723500513029,-0.0498213263743058,-0.0613065752836595,0
X16.HK.EQUITY,0,0,0,0,0.126115648967034,0,0,0,0,0,0,0.223302123065775,0,0,0,0,0,0,0,0,0,0,0.430118677658132,0.556045473253181,0,0.0569461342345366,0,-0.0465464210312442,0.0155476755391521,0.0278849457862316,-0.0157900144067617
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244368891584077,0.126468015209298,0.547225583510748,0,0,0,0,0,0,0.091293036577974,0,0.0526515094030398,0,0,-0.031031739417625,0.0111893517227559,-0.004670453003859,0.0233618620829845
X388.HK.EQUITY,0,0.0331966514575188,0,0,0,0,0,0.402514348982587,0,0,0,0.308149402768303,0,-0.0353444018560072,0,0,0,0,-0.0729574802891004,0,0.141231368222066,0.0310816903141837,0,0,0,-0.258698637830898,0,0.0238763666405335,0.0472428103261585,-0.302819368826352,-0.0737344234649268
X11.HK.EQUITY,0,0,0,0,0,-0.101999847143919,0,0.40503910321339,0,0,0,0.393151078062576,0,0,0,0,0,0,-0.0326071525858577,8.67361737988404e-19,0.352228551077966,-0.197785107291738,0,0,0,0,0,0.00525442752131617,0.00400849675987099,-0.0298072325124017,-0.0739406746814135
X688.HK.EQUITY,0,0,0,0,0.0399238117750673,0,0,0,0,0,0,0,0.144792516146739,0,0,0,0,0,0.3948041922572,0,0,0,0.185293342997264,0,0,-0.0712158637181065,0,0.000989632971229205,0.0161125076920564,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470353126594377,0,0,0,0,0,0,0,0.0246668457427293,-0.918362257192769,-0.750707491949836
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207527044863064,0,0,0,0,0,0.126796802217842,0,0,0,0,0,0,0,0,-0.17222195784955,-0.000820026549638033,-0.0334981435315917,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0.870388154599539,0,0,0,0,0.0792016934274153,0,0.0469205341710912,0,0,0,0,0,0,0,0,-5.55988280494031,0,0,-0.146046466487996,0
TED.SP,0,0,-0.544724742422304,-0.859647142031788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.843992527433743,0,0.108014695427005,0,0.501446167282028,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,-0.178965891206794,0,0,0,0,0,0,0,0.059364646507597,0,0,0,0,-0.655764527138603,0,0,0,0,-0.452388527499959
CREDIT.SP,0,0,0.16480745121715,0,0,0,0,0,0,0,0,0,0,0.0806829891114372,0,0,0,0,0,0,0,0,0,0,0,-0.809681608502861,0,-0.0101389017579199,0.0169584570745946,-0.856270267999772,0
