,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.684038776276176,0,0,0,0,0,0,0,0,0,-0.164573087761181,0,0,0,0.104149657671481,0,0,0,0,0.0974503542727342,0,0,0,0,0.0304425050769289,0.00806015141013831,0.0921357281988447,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270731874430549,0,0,0,-0.0652953064855579,0,0,0.270649429106365,0.21757917573435,0,0,0,0.0389867633286106,0.0241700426105979,0.0495052391768549,-0.0154186775828133
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188864450335106,0,0,0.422159186384134,0,0,0,0,0.290974150531739,0.207657429548122,0,0,-0.00712220437405924,0.00277405292702159,0.0173785134652616,0
X601628.CH.EQUITY,0,0,0,0.0805283435177887,0,0,0,0,0,0,0,0,0,0,0.0350283728628517,0,0,0,0.132674329350328,8.67361737988404e-19,0,0.433207005529322,0,0,0,0,0,0.0251792097585302,-0.028099597831233,0.0596966038633646,0
X601166.CH.EQUITY,0,0,0,0,0.0180579221880189,0,0,0,0,0,0,0,0,0.222403967587506,0,0,0,0,0,0.143408396075897,0,0.205585253104886,0,0,0,0.0710848171992222,0.0800281741390573,-0.0166389397549453,0.0191581527556479,1.73472347597681e-18,0
X3328.HK.EQUITY,0,0,0,0,0,0.0826364415020334,0,0,0,0,0,0,0,0,0.0334181080649834,0,0,0,0.121765394759831,0,0,0.0759529472442947,0,0.170123843715577,0.0458026424150582,0.130758745960828,0,0.00297442209457678,-0.0298758951902681,0.0407225030163183,0
X601328.CH.EQUITY,0.150720380744655,0,0,0,0,-3.46944695195361e-18,0.0869903087883988,0,0,0,0,0,0,0,0,0,0,0,0,0.195853708684068,0,0,0,0.149503040878084,0,0.27078666552511,0,-0.0505620026933342,-0.00999511488766643,0,-0.11818164153433
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.271103443682498,0,0,0,0.373140026694252,0,0,0,0.0337572201931507,0,0,0.0601138120949147,0,0,0,0.0367356891386903,0,-0.00963205309392579,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.20815783168678,0.321900805509551,0,0,0,0,0,0,0,0,0.0651853186541415,6.93889390390723e-18,0,0.211453263263162,0,0,0.0346392710252004,0,0,0
X000001.CH.EQUITY,0,0,0,0.352603531037862,0,0,0,0,0,0,0,0,0.326649742731505,0,0.513649820241302,-0.133705731030505,0,0,0.11354983050803,0,0.239610318130038,-0.189312756886606,0,0,0,-1.38777878078145e-17,0,-0.029231127609674,0.0232544857327459,-0.184409711784652,-0.00739353065649124
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.238373229422564,0,0,0,-0.0599877738228312,0,0,0,0,0,0,0,0.204737284803934,0,0.447827602443728,-0.356018510862725,0,0,-0.0638214997899419,0,-0.0261095731493711,-0.0282252797161912,0.0286893731924995,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0326329444780186,0,0.190250651282708,0,0.0112095071361165,0,0,0,0.27232874300771,0.381117926803833,0,0,0,0.2190437968127,0,0,-0.0563529332156831,0.0168012236781836,0,0.0799491109453184
X16.HK.EQUITY,0,0,0,0.0482356693189427,0,0,0,0,0,0,0,0.345492180262159,0,0,0,0,0,0.305525570635816,0,-0.0483133385780258,0,0,0,0.0990958719990081,0,0.204050204572548,0,-0.0597323748531713,0.0559594560469229,0.139575904429126,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.679571021085308,0,0,-0.391971102306109,0.495736671534772,0,0,0,0,0,0,0,0,0,0,0.0815049419636224,0,0,-0.0340757714819423,-0.170833459513164,0,0.0142304604551536,0,0
X388.HK.EQUITY,0,0,0,-0.0167182276064964,0,0,0,0.0923178145475651,0,0,0,0.643372456749834,0,0,0,0.120853971470501,0,0.326111312305986,0,0,-0.39754939369142,0.187943782768346,0,0,0,0,0,-0.0170405525443969,0.0257444060710283,-0.0136778928619561,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467575269584756,0,0,0.101383120084183,0,0,0,0,0,0,0,0.00788561015133036,0,-0.930446994244354,-0.943015121258885
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0685294416163593,0,0.0202068382414639,-0.0142046662678822,0.229138993496573,0,0,0,0,-0.067334650192879,0.156704453232912,0,0,0.147775882451919,0,0,0,-0.103765751331416,0.00881371667898771,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339247755417777,0,0,0,0,0,0,2.64840351125825,0,0,0,0,0.337539115103914,-7.2882930154135,0,0.141683687513195,0,-0.00591969049221443
TED.SP,0,0,-0.561923908105495,0,0,0.511965515676633,0,0,0,0,0,0,0,0,0,0,0,0,-0.837326535761231,0,0,0,0,0,0,-0.639757445701745,0,0.0815038585303346,0,0.327220980698729,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.70794858926874,0,-0.0590294655095613,0,0,-0.934691164030126
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.0120667514329742,-0.102350327089326,0,0,0,0,0,0,0.192913114599501,-0.0194836606676058,0,0,-0.0924346715710344,0,0,-0.417557736095854,0,-0.051061902523893,0.0040514180800491,-0.74900871477539,0
