,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0,0,0,0,0.0951392670005716,0,0.306352555255735,0,0,0,0.324970425879703,0.214105286198719,0.142949454696057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388953489815898,0.0758168991385581,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.147378462142082,0,0,-0.26532629783642,0,0.83848175005976,0,0,0,0,0,0.102567301768911,0,0,0.170913376647048,-0.0359754095688771,0.349227695961253,-0.0378780317042345,0.0217794582912033,-0.0734272993401927,0.0987439280416704
X1299.HK.EQUITY,0,-0.0555911203723966,0,0.210759559541048,0,0,0,0,0,0,0.0232958070200185,0,0,0.79572947893187,0.142314375594029,0,0,0.00576140716781298,0,0,0,0,0,0,0,0,0,-0.0565038252372749,0.0505447177807632,0.0437829431777868,0.0471007768616332
X5.HK.EQUITY,0.0561378949725926,0,0,0,0,0,0,0,0,0.0888720710896352,0,-0.227667082818291,0.406122593112462,0,0,-0.046056214468692,0,0,0,0.299732429861992,0,0,0,0,0,0.110739473206199,0,-0.0449597212640064,0.0239302120423973,0.112540532961969,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.162178098599769,0.246475301061683,0,0.112463519130793,0,0,0,0,0,0,0,0,-0.156494518823111,-0.0596675403944266,0,-0.00611468049432103,0.054991364299677,-0.0809091839579002,-0.0444469435633932,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.141581322366344,0.12926553239083,0,0,0.0658450660654804,0,0,0,0,0,0,0.398749971618213,0.254239609451267,-6.93889390390723e-18,0,0.0264886232014171,0,0.0349396504212463,-0.0303787556152594,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.813161199754882,0.0229967128185258,0,0.0520970115504224,0,0,0,0,0,0,0,0,0.0241025051042069,0,0,0.00347747235610682,0.0514095625318876,0,0,0,0.0033196185076623,0.0015280335962468,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0.0327329339766595,0.00716338129699892,0,0,-0.0356710809938214,0.254170644729594,0,0,0,0.0275588771522247,0,0,0,0,0,0,0,0,0,0,-0.0310870450078503,-0.0210037579987191,0.0309328588786641,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.207620632000183,0,0,0,0,0,0.0247416137533507,0,0,0,0,0.127814369934905,0,0.0262553905695476,0,0,0,0,0.0207335183194635,0,0,-0.0183541702462856
X000002.CH.EQUITY,0,0,0,0,0,0.1211545432454,0,0,0,0,0.0747373480356623,0,0,0,0,0,0.010226659607026,0,0,0,0,0,0.101487670551585,0,0,0,0,0,0,0.0279922321715835,-0.0738034943069141
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.264955427555761,0,0.0742741894904392,-0.135449724192774,0,1.38777878078145e-17,0,0.193314319971646,0,0.0727098492446325,0,0,0,0,0.25309116830459,0,0,0,-0.0260512101065392,-0.0170421463215398,0.0141230824715917,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.16447514873335,0,0,0.00936501510100031,0,0,0,0,0.963221996279188,0,0,0,-0.121033607878167,0,0,0,0,0,0.0264124409587628,0.107059075576439,0,-0.0219610724162651,0.032613751856211,-0.0478802787368288
X601319.CH.EQUITY,0,0,0,0,0,0,0.172794367922811,0.00917078721687814,0,0,0.180814417854467,0,0,0,0,0,0,0,0,0,0,0.102019413706556,0,0,0.502036736620583,0,0,0.06017411150602,-0.0316320102632988,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.268360020897564,0.0528173144512092,-1.73472347597681e-18,0,0,0,0.0419248452375631,0.0976966452885549,0,0,0,0,0,0,0,0.146856552354295,0,0,0,-0.0195780416221253,0.0233734055780171,-0.0273710903338559
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.501142520483,0,0,0.112731951591763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145971225540268,0.0633952918613812,-0.0272045025332184
CGB3M,0,0,0,0,0,0,0,0,0.465560663640404,0,0,0,0,0.364463681982631,-0.121244592450943,0,0,0,0,0,0,0.223028507041763,0,0,0,0,0,-0.0397418257261323,0.00625345474571327,-0.782254970258344,-0.116929716749371
FXI.US.EQUITY,0,0,0,0,0,0,0,0.138142983092058,0,0,0.0738615217541041,0,0,0,0,0,0,0,0,0,0,0.0843022459023842,0,0,0,0,0,-0.0890672449072885,-0.00706392502447884,0.023807563418388,0
VXFXI.INDEX,0,0,0,0,0,0,0,0.199796594963768,0.142732034446264,-0.79447797608645,0,0,0,0,0,0,0,-0.630350301071341,0,0.682803719232893,0,0,0,0,0.687408690067362,1.38777878078145e-17,-2.64388953049412,0,-0.0145119785401386,-0.00917823089724307,0
TED.SP,0,-1.06228127080211,-0.732562768489958,0,0,2.76788825052744,0,0,0,0,0,0,-2.71328642514723,2.84794861335362,0,0,0,0,0,-0.400789407002748,0,0,-0.515712805870964,0,1.84847405597001,-0.57357368216073,-2.02661992024579,0.0866795685792822,0,0,0.0243683842847373
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190668100453893,0,0,0,0,0,0,0.170144158569171,0,0,0,-0.973695775430664,0,-0.0275413485981709,0,0,-0.629629270340532
CREDIT.SP,0,0,0,0.128972906864831,0,0,0,0,0,0.156256219925455,0,0,0,0,-0.28456430513651,0,0,0,0,0,0,0.0211320510609399,0,0,0,-0.848140046411987,0,1.38777878078145e-17,0,-0.82905020269064,0
