,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601988.CH.EQUITY,0,0,0,0,0,0,-0.0658982440920943,0,0,0,0,0,0,0,0,0,0,0.84729631065178,0,0,0,0,-0.0334629855790183,0,0,0.0170000924061245,0,0.0147988809383925,-0.00277532911833817,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0.0830262928203782,0,0,0,0,0,0,0.170448378119668,0,0,0.0243080391359945,0,0,0,0,0,0.105310674697859,0,0,0,0,0,-2.16840434497101e-19,0.011742866275771,0
X1299.HK.EQUITY,-0.225939716737015,0,0,0.0438294000054646,0,0.168758916493863,0.278291322902746,0,0,0,0,0,0,0.465411970388447,0.15835171273691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016723675910484,-0.0401004709290095,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.366859730596847,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106750009220419,0,-0.0971200183464673,0.0134371320641671,0.0619620889070752,0.0694840080277907
X388.HK.EQUITY,0,0,0,0,0,0,0.175655314048475,0.188287803384697,0,0,0,0,0,0,0,0,0.0243673468081122,0,0,0,0,0,-0.196705645326477,0,0,0,0.163069592776695,-0.130863434755161,-0.0321924682073893,0.0139274822355872,-0.0627054925365968
X600030.CH.EQUITY,0,0,0,0,0,0,0.128782778146733,0.191546474693081,0,0,0,0,0,0,0,0,0.472273616680904,0,0,0,0,0,0.0908281393280203,0.202491792205242,0,0.0289333179491067,0,0.0661769960168542,-0.022768755506077,0,-0.0302720413669175
X601066.CH.EQUITY,0,0,0,0,0,0,0.127379237530358,-0.0536623164003553,0,-0.072451308857639,0,0.0643852544141564,0,0,0.045939138194976,0.89361933749321,0,0,0,0,0,0,0,0,0,0,0,-0.00904042780783835,-0.0226939217374865,0.0125050296481925,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0530563061300395,0,0,0.774632295547376,0,0,0,0,0,0,0,0,0,0,0,0,0.154379805754983,0,0,0,0,0.00481732793413442,0.000884373268277198,-0.0155146221093954
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.150679776069251,0,0,0,0,0,0.0095981548543946,0,0,0,0,0.167410339418376,0,0.101258418532757,0,0,0,0,0.0335895012206485,0.00407948546009675,0,-0.0266012501405311
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.034464007225116,0.220558232080002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387036797301275,-0.0241936391042389,0.0221365823772321,-0.0349068775942873
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0127302901234474,0,0.0120355049503257,0,0,0,0,0,0,0,0,0.0444073732181886,0,0,0,0,0.665145361482341,0,0,0,0,-0.00708106243362755,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368736247367744,0,0.0149347614816567,0.218038708461407,0,0,0,0,0,0,0,0,0,0,0.0681280723214162,-0.00671347987143724,0.0891785676977611,0
X601319.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0.141892700815944,0,0.12073994652038,0,0,0.0303169198310848,0,0,0,0,0.0682176458772022,0,0,0,0,0,0,0,0.573730467041172,0,0,0.0767164511790397,-0.00303079195793659,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0476458524932259,0,0.144693294373617,0,0,0,0,0,0.038713150261088,0.00825804246046411,0,0,0,0.00397300093629707,0,0,0,0.126435858220418,0,0,0,-0.0180569219994989,0,-0.13768173949729
X601601.CH.EQUITY,0,0,0,0,0,0,0.148243806431912,0.146434234675831,0,0,0,0,0,0.0398517920817934,0,0,0.0592809512849325,0,0,0,0,0,0.263533146022759,0.275212876240336,0,0.0610254260599381,0,-0.109597785964225,0.021491134081495,0,0
CGB3M,0,0,0.0450228107687125,0,0,0,0,0,0,0,0.168718757384672,0,0,0,0,0.0526678735461305,0.249461544831857,0,0,0,0,0,0,0,0,0,0,0,0,-0.809649672349542,-0.2838448647453
FXI.US.EQUITY,0,0,0,0,0,0,0.0219836574753744,0,0,0,0,0.182772521719958,0,0,0,0,0.0666610382648952,0,0,0,0,0,0.022309528381292,0,0,0,0,-0.109543571513761,0,0.00281701561317452,0
VXFXI.INDEX,0,0,0,0,0,0,-0.125528402654973,-0.00759526147965372,0,0,0,0,0,0.323230937648194,0,0,0,0,0,0,0,0,0,0,0,0.0375107024606595,-0.17775043785505,0,0.154051457137027,-0.220218545333555,0
TED.SP,-1.87374646168039,0,0,0,0,0,0,0.866690663131022,0,0,0,0,-1.31835604933494,0.511342629648994,0,0,0,0,0,-1.50314756364967,0,-0.96894913405575,-0.314220760979418,0,3.42212213248644,-0.681811892499253,-1.84328143239116,0.25284024765582,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0.298088129438615,0,0,0,0,0,0,0,-0.29648278941662,0,0.111252917454445,0,0,0,0,0,0,0,0,-0.954380450637399,0,-0.0234132612015139,0.0158766730180668,0,-0.676153019703849
CREDIT.SP,0,0,0,0,0,0,0,0,0,0.172911564775045,0,0,0,0,-0.252543551392176,0,0,0,0,0,0,0,0,0,0,-0.637711704497208,0,-0.00629988318754535,0.0107620210638763,-0.599905705676127,0
