,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.17520528903006,0,0,0,0,0,0,0,0,0,0,0,0.34330789254828,0,0,3.46944695195361e-18,0,0,0.257479784614348,0,0,0,-0.0149783144142294,0,-0.00587034281796892,-0.0320714692284686,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0593101600307417,0,0,0,0.254791914586124,0,0,0,0,0,0,0,0.376927410688744,0,0.0460672472184657,0.0410448121380168,0,0,0.0138212761887744,-0.0189343643584994,-0.0265137912637896,0
X2628.HK.EQUITY,0,0,0.40912059302266,0.0663793670729911,0,0,0,0,0,0,0,0,0,0.137610712109815,0,0.0465359085448421,0,0,0,0.13355844962738,0,0,0,0,0.0624151643947298,0,0,0.00790028886105022,0,0.0114581435836447,0
X601628.CH.EQUITY,0,0,0,0.416380512124231,0,0,0.111302064378844,0,0,0,0,0,0,0,0,0,0.103038135636188,0,0,0,0,0,0,0,0,0,0,-0.0499642046628707,-0.0145621294396884,0.170235391176516,0
X601328.CH.EQUITY,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.380317273738256,0,0,0,0,0.0430065194389735,0,0,0.0514531026406956,0,0,0.0499926921450275,0,0,0,0.0699780972455346,0,0.00304545451386344,0,-0.0131799188240457,0
X3328.HK.EQUITY,1.21423716749412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115135162875737,0,0.00228638256687488,0,-2.16840434497101e-19,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.28195384954382,0,0,0,0,0,0,0.240722714853477,0,0,0,0.176387524984603,-0.140201684846363,0,0.0392212751550076,0,0,0,0,0,0,-0.00920718793238225,-0.0146082466789322,0.0674548790261731,0
X600000.CH.EQUITY,0,0,0,0,0.0241429708693819,0,0,0,0,0,0,0,0.0204245562985446,0,0,0.120111160757759,0.175897218313678,0,-0.137993849423983,0.144693077198912,0,0,0,0,0,0,0,-0.0166262324885412,-0.00039971137344852,0,0.128811706722702
X601319.CH.EQUITY,0,0,0,0.595670487952505,0,0,0,0,0,0,0,0,0.212554688162543,0,0,-0.126093553291385,0,0,0,0.388784504227896,0,-0.0509045853183743,0,0,0,0.0348348429568114,0,0.0335517862855765,0.057822831086978,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507031182731326,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118198654560373,0,0.0183070674739495,0
X000002.CH.EQUITY,0,0,0.254324711880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278617354989203,0.272125852915566,-0.0452486337898202,0.149123753034059,0,0,0.213335093417399,0,0,0,0,0,0.037390858852898,0.0641674827482263,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.217552974504838,0,0,0.0697985407201591,0,0.103717570385832,0,-0.00985056468926641,0,0,0,0.534889945282685,0,0,0,0,-0.00480769996025878,0.123972773213812,0,0
X11.HK.EQUITY,0,0,0.0118906382119893,0,0,0,0,0,0,0,0.201557717579733,0,0,0,0,0,0,0,0,0,0.236992103036429,0.000170519310181909,0,0.0276333375410999,0.189988080696489,0,0,0,-0.0182146573937214,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.131328610734304,0,0,0,0.211117106128191,0,0,0,0.227210246074358,0,0,0,0,0.352212581836116,0.0273983264553289,0,-0.0156466488805528,-0.0308678211478709,0,0
X2388.HK.EQUITY,0,0,0.159641380808799,0.416038598244667,0,0,0,0,0,0,0,0,0.273199984838654,0,0,0,0,0,-0.152692842194632,0,0,0,0,0,0,0,0,0,-0.0351531871773421,-0.00791131562940068,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108609603592357,-0.259190162823878,0,0,0.332215817859817,0,0,0,0,0.0109014519089587,-0.942270893327705,-0.740290667829827
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0231429814513489,0,0,0,0,0,-0.136459569469096,0,0,0,0,0,0,0,0,0,-0.17930688302581,0.00943739305195449,0.0276550313686034,-0.205884150572236
VXFXI.INDEX,0,0,0,-0.280166461620983,0,0,0,0,0,0,-0.562014327632844,0.198593808752101,0,-0.336353708749315,0,0,0,0,0,0,0,0,0,0,0,0,-4.6448139598251,0,0.172655636282632,0.308419870207536,-0.755399540694498
TED.SP,0,0,0,-0.915944950165129,0,0,0,0,0,0,0,0.393900596416531,0,0.0652822170232389,0,0,0,0,0,0,0,0,1.48841418090495,0,0,-0.598546694769014,0,-0.060760988290286,0,0,0
CN3M10YSLOPE,0,0,0,0,0.221406430434573,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0461034797222906,-0.0170427467255348,0.238251851626126,-0.0781847037549228,0,0,0,0,-0.970653477440269,0,0,0.00979225654259722,0,-0.755732934964322
CREDIT.SP,0,0,0,0,0,0,0,-0.19463993295695,0,0,0,0,0,0,0,-0.120608039688443,0,0,0,0.232157466835086,0,0,0,0,0,-0.743538820772249,0,-0.0230617149071267,-0.0555912754361346,-0.723226239551138,0
