,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.169247603013228,0,0.449894802574656,0.029435133308088,0,0,0.0592771511016277,0.148380614260484,0.237577134316752,0,0,-0.0107544232346144,0.00855217840960502,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.209369683655105,0,0,0,0,0,0,0.165967292198156,0,0.212877067860563,0,0,0,0.0630118774535651,0.0616980134248926,-0.0205718224241018,0.0194008592436455,0,0
X601328.CH.EQUITY,0,0.124909414800554,0,0,0.114553810056542,0,0,0.021397446986239,0,0,0,0,0,0,0,0,0,0.117220562148965,0.154692554927863,0.0725359871482891,0,0,0,0,0.0432137919640679,0,0,0,0.00408264951836178,-0.00020334247699898,0
X3328.HK.EQUITY,0,0,0,0,0.0236437635313939,0,0,0,0,0,0,0,0,0.0196102724699729,0.0286617079749382,0,0,0,0.110874989227359,0.0302371807555766,0,0.0579991913007016,0,0.167697272089566,0.0533656347557119,0.146457286199903,0,0.00227204397535854,-0.0291927004172081,0.0514216192251168,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.238184284290906,0,0,0,0.416713619832384,0,0,0,0.0960877428458723,0.0614902188189244,0,0.0977846088986649,0,0,-0.0433518742247278,0,0,0,-0.0279256104190129,-0.0192127623074046,0
X601319.CH.EQUITY,0,0,0,0.336377654021649,0,0,0,0,0,0,0,0.12856706450186,0.0573228851505382,0.361715567356143,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-0.018613024757144,0,0.0105483269557715,-0.0236878939120998,0,0
X000001.CH.EQUITY,0,0,0,0.276063259706088,0,0,0,0,0,0,0,0,0.0341596226474958,0.24645957544789,0.467689486550447,0,0,0,0,0,0.0968751119331744,-0.0702260188497377,0,0.0660569369495959,0,-1.38777878078145e-17,0,-0.0293966361162971,0.020368671760398,-0.149384738255089,0
X000002.CH.EQUITY,0,0,0,-0.1419202992435,0,0,0,0.242663980474875,0,0,0,-0.00290229040213748,0,0,0,0,0,0,0,0.316165569295831,0,0.462308053783967,-0.33718458548113,0,0,0,0,-0.0296309469837186,-0.0253273792612794,0.0651636929205051,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,-0.219985719600818,0,0,-0.0370161070146663,0.20715306819655,0,0,0,0.164927458980846,0,0,0.32534395719663,0.316007573043292,0,0,0,0.191628613520482,-0.0244892125590987,0,-0.0315267610905348,0,1.73472347597681e-18,0.125643751277202
X16.HK.EQUITY,0,0,0,0.0665407464776745,0,0,0.293414150180924,0,0,0,0,0.336397728182747,0,0,0,0,0,0.257025016257523,0,-0.190566780816278,0,0,0,0.399435181117804,0,0.170977293394061,0,-0.0443825163752725,0.0378075602646533,0.0885816274556762,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.476480335830194,0,0,-0.218504119006093,0.551201297691167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701115539300314,0,0.00280925410683174,0,0
X388.HK.EQUITY,0,0,0,-0.0476217623847171,0,0,0,0.0835034364533112,0,0,0,0.616436011293083,0,0,0,0,0.150062731937413,0.260680473591036,0,0,-0.33720957335471,0.165597283353145,0,0,0,0,0,0,0.0263755681405407,-0.0154709750346747,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156035296904523,0,0,0,0,0,0,0,0.011915128730711,0,-0.684553947263901,-0.622351138919571
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362261242374214,0.0958487696205052,0.105151916041095,0,0,0,0,-0.0504886868767873,0.234654299867153,0,1.73472347597681e-18,0,0,0,0,-0.109437245818374,0.00653274975785574,0,0
VXFXI.INDEX,0,0,0,0,0.320853906742022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267348899489061,2.37246029602089,0,0,0,0,0.310907413241065,-6.82742590088399,0,0.10710449766423,0,0
TED.SP,0,0,-2.36094941043663,0,0.151491714737467,0,0,0,-2.16172707151033,0,0,0,1.70001201316593,0,0,0,0,0,-1.02130869612405,0,0,0,0.291831802580939,0,0.521117709130681,-0.1876895735027,0,0.0457799882695642,0,0.209777961427107,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275867765980899,0,0,-0.796062524217535,0,-0.040468153522227,0,0,-0.780129593296106
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103796127652129,-0.168040740065147,0,0,0,0,0,-0.0872638096782389,0.263644971350806,0,-0.0105338008545641,0,-0.786848516341675,0,-0.0291323603119615,0.00213090366845879,-0.889416667519157,0
