,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.125485127015745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127513282379728,0.272576390882448,0,0,0.0192239650117072,0.193270030447762,0.126896158946896,0,0,0,0.0372890373507971,0.015295669521747,0,0
X601628.CH.EQUITY,0,0,0.317357283403127,0,0,0,0,0,0,0,0,0,0,0,0.170701987003462,0,0,0.0361717337241701,0,0.168206802340709,0.0202972981094135,0,0,0,0,0,0,-0.0019962404355145,-0.0139113013480361,0.1721248946306,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.161203688187131,0,0.0389925924372711,0,0,0,0,0,0.147738666413522,0,0,0.251431021860986,0.08255575527675,0,0.0522168831769149,0,0.00844453140314185,0.0243512112459561,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.10708264471604,0,0,0,0,0,0,0,0,0,0,0.0779642391933831,0,0.369548589292483,0.325561299258157,0,0,0,-0.0154846771754404,0.0174301402903311,-0.0948795549167274
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.102513055783613,0,0,0,0,0,0,0.156988061551381,0,0,0.279943680607475,0,0,0,0.126632143561694,0,-0.0258927382220652,0.00658536984231918,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131046000704193,0,0,0,0,0,0,0,0.220203118698404,0,0,0.00726674739083137,0,0,-0.0139747814641679,-0.00342265611384278,0
X601328.CH.EQUITY,0,0,0,0,0,0.109906910314364,0,0,0,0,0,0,0.00613233477339946,0,0,0,0,0.115409677164532,0.0461403923686923,0.130092750271588,0,0,0,0,0,0,0,0,0,-0.0222939224518584,0.0405655548355715
X600000.CH.EQUITY,0,0,0.030702335271745,0,0,0,0,0,0,0,0.173767343232293,0,0,0,0.271122238092814,0,0,0,0.188366170091842,0.0921316503456075,0,0.070066454855342,0,0,0,0,0,0.00235192193481554,-0.0366767100730259,0,0.0435724596530419
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.135110970175632,-0.0694054484132251,0,0,0,0,0,0,0,0.446201422497879,0.313662036339172,0,0,0,0,-0.210232880164927,0,-0.03905191755423,0.0496143501071128,-0.441894277553953,-0.0879476392271918
X601319.CH.EQUITY,0,0,0.353184331930666,0,-8.67361737988404e-19,0,0,0,0,0.289390074753591,0,0.0623375398271169,0,0.136664030930941,0.144969166741143,0,0,0,0,0,0.0610196862485055,0,0,0,0,0,0,0.00363311955107548,-0.0162573628880499,0.0251248128444535,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.221019615612324,0,0,0.164797582617414,0.0553472081311101,0,0,0,0,0,0,0,0.303886442786586,0,0,-0.0847839208849337,-0.133907774127559,0,0.0585724534621332,0,0,0.0346022084202995,-0.0294969462182935,-0.0421949630808811
X601601.CH.EQUITY,0,0.273603639996183,0.291930561405188,0,0,0,0,0,0,0,0.109829747997538,0.1137131779693,0,0,0,0.234092331918337,0,0,0.113903439519445,0,0,0,-0.0470901062412054,0,0.177494856855182,0,0,-0.0100050796566633,-0.0490400128061638,0,0.116377837708179
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.125824600251895,0.178048609156881,0,0,0,0,0,0,0,0,0,0.532820766456703,0.0812347762691319,0.0523275942191517,0,-0.0294703356647829,0.0555036130688176,0.0552087982251767,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.318463729745676,0,0,0,0,0,0.561681645063,0,0,0,0,0,0,0,-0.334326616555445,0,0,-0.1251103530034,0,0,0.0140139364204284,-0.00289814792986521,0,0.0163828460227171
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752064599969226,0,0,0,0,0,-0.239682763704488,0,0.0304785352338411,0.0549486647272271,0,0,-0.0642011034497381,0,-0.00137291056029821,0.0206289383846455,-0.121539630630678,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.0996193530439654,0,0,0,0,0,0,0.11176515774374,-0.135534706675944,0,0,0.0307504849684378,0,0,0,0,0,-0.00180567835039554,-0.924943621854614,-0.724480283973609
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.24234574333489,0,0.103496313825542,0,0,0.00869961564268225,0,0,0.0994413100207654,0,0,0,0,0,0,-0.112219827703501,0.00975564676593967,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.20292891890698,0,0,1.11296190699241,0,0,0,0,0.73391104043377,0,0,0.00776790678607304,0,0.133718364860934,-6.09699209351915,0,0.0308052395938311,-0.291489704792978,0
TED.SP,0,0,-0.20846439855249,-0.184435419597573,0,0,0,0,0,0,0,1.64755765994403,0,0,-0.605350757799472,0,0,0,-0.296359775009863,-2.11313320607906,0,0,0.225554932751176,0,0.255815640866047,0,0,0.0881079549524041,0,0.324921664374555,0.0241851141064379
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150880530309694,0,0,0.0867888821566196,0.0167064761562394,0,-0.777270205137804,0,0.0332172930680068,0.0172261814418222,0,-0.584410064748643
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.185825766107348,0,0,0,0,0,0,0,0,0,-0.538443265398113,0,-0.0480531274613932,0,-0.592553180815974,0
