,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.354221917643751,0,0,0.227169983182028,0,-0.0521162538399363,0,0,-0.280662491557668,0,-0.0806887065964907,0,0.363876649277017,0,0,0.0444400467438218,0,0,0.0297185373527166,0.239523078000619,0,0,-0.00865144676117794,0,0,0,0,0.00626069453502926
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.173982595159108,0,0.00322644709552789,0,0,0,0.229707294390551,0,0,0,0,0,0,0,0.0658705004150597,0.23297065407182,0,0,0,0,0.00882171266437644,-0.00596440270308159,-8.67361737988404e-19,-0.0101517250471724
X2628.HK.EQUITY,0,0,0.640171146205215,0,0.224674802591278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137713491675678,0.114944684188624,0.0442177722902809,0,0.00784198201369148,0.0290407601784148,0,0
X601628.CH.EQUITY,0,0,0,0.187522481850916,0,0,0,0,0,0,0,0,0,0,0.165172644743324,0,0,0,0,0.182830792890586,0,0,0,0,0.208179632258038,0,0,-2.16840434497101e-19,0.0174249787377398,0.0442928895318917,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.356039905667511,0,0,0,0.0771078150828092,0,0,0.0414054986982397,0,0.0301621522516044,0,0,-0.0741451860903843,0,0.00700083419868779,0,0,0,0.166212688777407,0,0,-0.0072545408374383,0.0288582177078357,0.0262295846341207,-0.00903838537141917
X3328.HK.EQUITY,0,1.2356265390054,0,0,0,0,0,0,0,0,0,-0.019615222023598,-0.0733688581447944,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296134142565615,0,0,-0.00886505712721395,0.0872693184750724,0
X601328.CH.EQUITY,0,0,0.0818039665053572,0.134922037765109,0,0,0,0,0,0,0,0,0,0,0,0.212730805572104,0,0,0.0626943620104079,0,0,0,0.281853153440734,0,0,0.0256687444430542,-0.0967825053306002,-0.0210996508079961,0,-0.0749823034843897,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183694632132721,0,0,-0.0312612588412526,0,0,0,0.0701830115930989,0,0,-0.0176876521118027,0,-0.0164704268907217,0,0,0.0893865176855818
X601319.CH.EQUITY,0.0127604114257645,0,0,0.301450904498824,0,-0.0915151301190019,0,0,0,0,0,0,0.356896819713145,0,0,0,0,0,0,0.53981549773798,0,0,0,0,0,0.018807417209319,0,0.0104435064783144,0,0,0
X601601.CH.EQUITY,0,0,0,0.132983999583051,0,-0.152474797334107,0,0,0,0,0.0360945693364161,0,0,0.473647029232225,0,0,0,0,0.0759236426591521,0,0,0,0,0,0,6.93889390390723e-18,0,-0.00607390437488204,0.0129216660539266,0.0240685247185907,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338044912135917,0.434275586035208,0,0,0,0,0.475979866763578,0,0,-0.0192445692345718,0.0453818514032496,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.112537352885659,0,0,0,0,0,0,0,0,0,0.016003591623372,0,0.0693618784434767,0.298713700198743,0.162648502886481,-0.00935338867561482,0,-0.0068081751429499,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.0819335812225893,0,0,0,0,0.260962998630897,0,0,0.246251109174159,0,0.0775972668327604,0,0,0,0,1.00563828568048,0,0,0,0,0,0,0.00803536129422384,0.0259667406222755,0.254168564569818
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.338608361249421,0.0870260871517966,0,0,0.22104710338134,0,0,0,0,0,0,0,0,0.0326129758928428,0.0266903477862375,0,0,0.0366773589984169,0,0
X000001.CH.EQUITY,0,0,0.0820511966255546,0.063316457408099,0,0,0,0,0,0.158042478213729,0,0,0,0.246950826998426,0.0877883051864723,0.150010872292156,0,0,0,0,0.0527147651969547,0,0,0,0,0,0,0,-0.0579924435580987,0.0465168532494135,-0.105685112428317
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096602940557798,0,-0.952614217778327,-0.803372219873716
FXI.US.EQUITY,0,0,0,0,0.161520311820593,0,0,0,0,0,-0.01165448249436,0,0,0,0,0,0,0,0,0,0.16247085657597,0,0,0,0,0.0785974585559759,0,-0.168961229023549,0,0,-0.0698269369199353
VXFXI.INDEX,0,0,0.297036001885797,0,1.9020041677808,0,0,0,0,0,-0.725549084024002,0.284671955140063,0,-0.298187216645945,0,0,0,0,-0.55961183715241,0.503293987802474,0,0,0,0,0,0,-4.70721223264353,0,0,-1.38777878078145e-17,-0.959129215672015
TED.SP,0,4.80947814200792,0,0,0,0,1.26191538071968,0.150465121879218,0,0,0,0,0.994525188125243,0.48844294528058,0,0,0,0,0,0,0,1.11022302462516e-16,0,0,-2.80907918832771,-0.432965544159153,0,0.103599042838223,0,0.528228814888772,-0.490967407294192
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0.0923167735182357,0,0,0,0,0,0,0,0,0.165527146549915,-0.0348064283219874,0.139151904289789,0,0,0.0376603293222531,0.0108286857073481,0,-0.87880427235691,0,0.0548370121784136,0.104798108090493,0,-0.674586902121501
CREDIT.SP,0,0,0,0,-0.246837672756665,0,0,0,0,0,-0.107459634348298,0,-0.270246539041579,0,0,0,0,0,0.170871603256436,0.197386365423988,0,0,0.028740026657466,0,0,-0.702415642319965,0,-0.0176026746719104,0,-0.70021121313003,0
