,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.0830528627461072,0,0,0,0,0,0.211050451394674,0,0,0.0761349439899037,0,0,0.377290867425642,0.0115918469784626,0,0,0,0.0370776805632571,0,-0.0302705755018742,0.218176975949346,0,0,0,0.0163802256266066,-0.0703488742551473,0.0431241349481461,0.114026713203555
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174786294448853,0,0,0,0,0,0,0,0,0.198850394855841,0,0.112499884434499,0.019788791640317,0,0.0363402990333857,0.0530343583817658,0,0.110819289772217
X601628.CH.EQUITY,0,0,0,0.414570597328088,0.181924073055108,0,0,0,0,0,0,0,0,0.043532795061374,0,0,0.244529272519874,0,0,0,0.156226594755089,-6.93889390390723e-18,0,0.305877177923246,0,0,0,-0.00885662831009355,0,0.0749363622845342,0
X2628.HK.EQUITY,0,0,0,0.195431031887118,0,0,0,0,0,0,0,0,0.168593750300395,0,0,0,0,0,0,0,-0.0213796606725587,0,0,0.178556675982294,0,0,0,-0.0507576324585671,0,0,-0.0564572386853313
X3328.HK.EQUITY,0,0,0,0,0,0.070289699184733,0,0,0,0,0,0,0,0.20410449183387,0,0,0.0167488644588612,0,0,0.0555040272796754,0,0,0,0,0.14564550814548,0,0,0.0061688710376561,-0.00781092183205038,0.0432802336258786,0.0428307820051204
X601328.CH.EQUITY,0,0,0,0,0.288115672649883,0,0,0,0,0,0,0,0,0,0,0,0.292329505205784,0,0,0,0,0.122902391668577,0,0.012572166365851,0,0,0,0,-0.00999903995736031,0,0.028540647449792
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0914278408688857,0,0.286111561556914,0,0,0,0,0,0,0.141204710702377,0,0,0,0.0601485149770103,0,0.0369802787932453,0,0.013217274718746,-0.0059306021451025,0,0.0417154878885044
X16.HK.EQUITY,0,0,0,0.074492629315183,0,0,0,0,0,0,0,0,0,0.0968815582985196,0,0,0,0,0,0,-0.0533749860559806,0,0,8.67361737988404e-19,0,4.33680868994202e-19,0,0.00108471703304673,0.0159803735949754,0,-0.14736258733778
X11.HK.EQUITY,0,0,0.0839649087427259,0,0,0,0,0,0,0,0,0.00328872388604842,0,0,0,0,0,0,0,0,0,0.0722996126631454,0.222421473407586,0.066049701628642,0,0,0,-0.025269854739523,0.0425610961293229,-0.056731255626751,-0.097216886137824
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.252218222260799,0,0.0801993426229747,0,0,0,0.157669152399717,0,0,0,0,0,0.145890474200091,0.137327541335059,0,0,0,0,0,-0.00440075111169736,0
X601319.CH.EQUITY,0,0,0,0.0609563971300958,0,0,0,0,0,0,0.370164784745648,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.520967064397566,0,0,-0.180919253243837,0,0,0.019337403342025,-0.399051466471381,0,0
X000002.CH.EQUITY,0,0,0,0.52367525832249,0,0,0,0,0,0,0,0,0,0.252652822539773,0,0,0,0,0,-0.0829210212027188,0.0818113112786652,0,-0.345134061058118,0.116120120430303,-0.144368442580014,0,0,0.0429064970098575,-1.73472347597681e-18,-0.0624754976995166,-0.028892765929479
X2388.HK.EQUITY,0,0,0.124083404712427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595729691085092,0,0,0,0.440546558675885,0,0,-0.0318087232682143,0,-0.0328865948983177,0.0500621257960871
X601601.CH.EQUITY,0,0.0468375541573809,0,0.312160095808089,0.0331304465730072,0,0,0,0,0,0.106424129862723,0,0.114924819746939,0.205775206718651,0,0,0,0,0,0,-0.0452261774384322,0,0,0,0,0,0,0.0141608340030353,-0.025849689910356,-1.0842021724855e-19,0
X388.HK.EQUITY,0,0,0,0,0,0.0178649884388099,0,0,0,0,0,0,0.070946379545247,0.288584798438582,0,0,0.121447302340749,0,0,0,0,0,0.256620387415178,0,0,0,0,-0.0354658052800469,-0.00402535959622468,0,0
CGB3M,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.026501747625404,0.0565004441303706,0,0,0,0.0745604369561317,0,0,0,0.0254559868964748,0,0,0,0,0,0.0157780429435099,0,-0.0528042580823129,-0.726069313730028,-0.180971803653994
FXI.US.EQUITY,0,0,0,-0.207691712867238,0,0,0,0,0,0,0,0,0,0.0200466985321142,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259783549443452,0.0186154272186285,0.0936681334527838,0.0798803181781993
VXFXI.INDEX,0,0,0.364973266324497,-1.27334970886212,0,0,0,-0.181499612820758,0,0,-0.440502381944521,0,0,0,0,0,0,0,0,0,0,0.662181832912834,0,-0.0783009097017506,0,-0.0215535271792093,-2.94179665707819,0,0.227007992635534,0.392980267495469,0.180179871466465
TED.SP,0,0,0,0,0,0,0,0,0,-0.621821713933383,0,0,0,0,0,0,0.308719593517057,0,0,0,0.0667922185739425,0.106041984376738,0,-0.358741518146265,0,0,0.574932138278049,0.166009543346613,0,0.474718105951565,-0.109714654101464
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0.152874118699608,0,0,0,0.129942878516113,0.0605090984343612,0,0,0,0,0,0,0,0,0,0,0,-1.16555765370903,0,0.0136621559456438,0,0,-0.18676590735733
CREDIT.SP,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0.21441338358386,0,0.0641674049444663,0,0,0,0,0,0,-0.181162157667182,0.161514263897038,-0.134166576603833,0,0,0,-0.328316469990666,-0.0981007445999837,-0.0583369778357083,-0.108223655431609,-0.411010663630846,0
