,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.212852161839222,0,0,0,0.0757259025836677,0,0,0,0,0,0.273685635210033,0,0.193327945033416,0.106215039687464,0,0,0,0,0.0169595294788704,0,0,0.00815198480523765,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332332387471169,0,0,0,0,0,0,0.0828499183786263,0.250776126543628,0.482928453458609,0.10146647855559,0,0,0,0.0131595612085672,0.00932784514913009,0,0
X601628.CH.EQUITY,0,0,0.322705361859005,0,0,-0.0629450695554016,0,0,0,0,0.0947709435039718,0,0,0.368223604386463,0,0,0,0,0,0,0,0,0,0.0930495259874854,0,0,0,0.0174506700712895,0.011595163089918,0,0
X2628.HK.EQUITY,0,0.202695886076823,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.138689444879021,0.176391569739084,0,0,0,0,0,0,0,-0.0108731960576499,0,0,0,0.145050067193313,0,0,-0.00796901379743735,-0.0241354753433978,0,0.0461412449010887
X601166.CH.EQUITY,0,0,0,0.0142093930809057,0,0,0,0,0,0,0.0871596631130293,0,0,0.0200503791873575,0,0,0,0,0,0.324496398822776,0.14716781148275,0,0,0,0,0,0,-1.0842021724855e-19,-0.0111582106651795,0,0
X3328.HK.EQUITY,0,0.150978958807489,0,0,0,0.0429785544780656,0,0,0,0,0,0.278353203808125,0,0.0967760708005986,0,0,0,0.171472259034018,0,0,-3.46944695195361e-18,0.0710177538205838,0,0,0,0.0069949123792937,0,0.0109537667924496,-0.00382440995825092,-0.00744951485019149,0
X601328.CH.EQUITY,0,0,0,0,0,0.00605682284554969,0,0,0.0518634567779153,0.0226753692952803,0,0,0,0,0.0685386275558576,0,0,0.0982417270661534,0,0.11981962939626,0.0311765525899013,0,0,0.0726048410564388,0,0,0,-0.00250433608022982,0.00931971538172268,0,0.0588940161126505
X600000.CH.EQUITY,0,0,0.149256083182675,0,0,0,0,0,0,0,0.116127849746439,0,0,0,0.320344851486374,0,0,0,0.109470777786684,0.0676371596136866,0.0198621686357595,0.0610046636634353,0,0.0137915191568096,0,0,0,0.00489559893151931,0.00993573577657126,0,0.108466889597408
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973411855677074,0,0,0,-0.0327007662762026,0,0,0.0709903069910255,0,0.325555796919846,0.084329134867137,0.17120881168759,0.0222665898994056,0,0.0119512227067893,-0.0200822915340407,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.213718423315467,0,0,0,0.16338988150991,0,0,0,0.0594878605208745,0,0.163628260167635,-0.0949282897465459,0.249457377672203,0.0442498890395722,0,-0.116828319606499,0.0791751692278525,0,0.0239388774849911,-0.18272353779264,0
X601601.CH.EQUITY,0,0.243745750907033,0,0,0,0,0,0,0.227624111290721,0,0.0243117702825046,0.129837505505258,0.277250978178041,0,0.0371325115128454,0,0,0,0.0594316234385079,0,0,0,0,0.0612463735061277,0.0321821533951248,0,0,0,0.00362932958811933,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.390475814191271,0,0,0,0.513362554450111,0,0.129742710888517,-0.0460725888488991,0,0,0,0,0,0,0,0,-0.0971819987758886,-1.73472347597681e-18,0,0,-0.0144621032377164,-0.0123152903358299,0.0949181510139715,0.10039741735389
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.303368120263045,0,0.0715612422745829,0,0,0,0,0,0.0419384491913426,-5.42101086242752e-20,0.114887781085816,0,0,0.100107368572223,0.0272927024780523,0,0,-0.00948745717702308,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.171996943001073,-0.136231313871697,0,0,0,0.500020114936818,0.401749524331014,0,0,0,0,0,-0.0154138384333297,0.523515451202927,0,0,0.0133922962543609,0.411111712003924,-0.118342362755176
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0709047331473667,0,0.303320132111035,0,0,0,0,0.349857226003755,0,0,0,0.315926681271641,-0.0933564222995906,0,-0.0959609803661422,0,2.16840434497101e-19,-0.000548529374985626,0,0.0308012107018269
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760140229008304,0,0,0,0,0,-0.0259215310868984,-0.0155236591778302,-0.942024587415004,-0.757072263801169
FXI.US.EQUITY,0,0,0,0,0,0,0,-0.0603026697677138,0,0,0,0,0,0,0,0,0,0,-0.126346124825391,-0.132883623728369,0,0,0,-0.0387085621517545,0,-0.067141832954852,0,-0.175815318521995,0.0017778474692311,-0.160809584071593,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.439994398436648,0,0,1.09519485241078,0,0,-0.377118929788798,0,-0.633656445222774,0,0,-0.775745245327172,0.612475855996855,0,-5.13245457302975,0,0.11723438533546,-0.655506059794766,0
TED.SP,0,0,0,0.151478430239405,0.932787285082139,0,0,0,0,0,0,0,-0.363944152104753,0,-0.538949876393808,0,0,0,0,0,0.451121289758683,-0.370047313428417,0,0,0.216720980382646,-0.952691007419204,0,0,0,-0.281532049598504,-0.37323593388156
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.0303592228288697,0,0,0,0,0,0,0,0,0,0.076260876247113,0,0,-0.0358861405225153,-0.846608757531561,0,-0.00626550974902681,0,0,-0.624416760707669
CREDIT.SP,0.148316297516356,0,0,0,0,0,0,0,0,0,0,0,0.0228097098334375,0.00823740694046401,0,0,0,0,-0.118122107173859,0,-0.0305519734589199,0,0,-0.220166443499083,0.0746854049793514,-0.474489807781254,0,0,0.0108832843529225,-0.470145174356542,0
